AC ID,Module,FR/BR,Primary owner,Related FR,Owner evidence,Scenario,Priority,Test type,Source,Gherkin
AC-011,ALL,BR-011;FR-235;FR-236;FR-237;FR-238;FR-239;FR-240;FR-241;FR-269,BR-011,FR-235;FR-236;FR-237;FR-238;FR-239;FR-240;FR-241;FR-269,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-011.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,High,Integration/contract,ADR-009; архитектура,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-011
When выполняется сценарий «Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-012,ALL,BR-012;FR-231;FR-232;FR-233;FR-234;FR-268,BR-012,FR-231;FR-232;FR-233;FR-234;FR-268,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-012.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,[STATE-007] Проверить правило: Realtime signal является invalidation; durable recovery выполняется через change feed.,High,Integration/contract,ADR-005,"Given применимый модуль и authoritative server state и проверяемое значение относится к BR-012
When выполняется сценарий «[STATE-007] Проверить правило: Realtime signal является invalidation; durable recovery выполняется через change feed.» на допустимой границе и за её пределом
Then допустимое значение принимается, а недопустимое отклоняется authoritative validation с canonical field path
And UI сохраняет ввод, показывает точную ошибку и не подменяет type/required/nullable/enum/limit"
AC-013,ALL,BR-013;FR-159;FR-275;FR-277;FR-278,BR-013,FR-159;FR-275;FR-277;FR-278,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-013.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,High,Integration/contract,DEC-040; Search Contract,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-013
When выполняется сценарий «Search фильтруется по authorization и filters до pagination; client post-filter запрещён.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-014,ALL,BR-014;FR-210;FR-228;FR-244;FR-276,BR-014,FR-210;FR-228;FR-244;FR-276,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-014.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: UI hidden/disabled state не заменяет server-side permission check.,Critical,Integration/contract,DEC-030,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-014
When выполняется сценарий «UI hidden/disabled state не заменяет server-side permission check.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-015,ALL,BR-015;FR-031;FR-087;FR-101;FR-117;FR-141;FR-172;FR-174;FR-176,BR-015,FR-031;FR-087;FR-101;FR-117;FR-141;FR-172;FR-174;FR-176,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-015.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: PATCH omitted означает unchanged; explicit null очищает только nullable field.,High,Integration/contract,DEC-037,"Given применимый модуль и authoritative server state и проверяемое значение относится к BR-015
When выполняется сценарий «PATCH omitted означает unchanged; explicit null очищает только nullable field.» на допустимой границе и за её пределом
Then допустимое значение принимается, а недопустимое отклоняется authoritative validation с canonical field path
And UI сохраняет ввод, показывает точную ошибку и не подменяет type/required/nullable/enum/limit"
AC-016,MOD-001,FR-003;BR-016;FR-221;FR-222,BR-016,FR-003;FR-221;FR-222,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-016.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Каждый сотрудник использует отдельную учётную запись.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.5","Given MOD-001 и authoritative server state, actor и данные удовлетворяют предусловиям BR-016
When выполняется сценарий «Каждый сотрудник использует отдельную учётную запись.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-017,MOD-001,FR-007;BR-017,BR-017,FR-007,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-017.).,Проверить бизнес-правило: Refresh token ротируется; повторное использование завершает семейство сессий.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.5","Given MOD-001 и authoritative server state, actor и данные удовлетворяют предусловиям BR-017
When выполняется сценарий «Refresh token ротируется; повторное использование завершает семейство сессий.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-018,MOD-001,FR-006;BR-018;FR-226;FR-227,BR-018,FR-006;FR-226;FR-227,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-018.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Блокировка или деактивация пользователя отзывает активные сессии.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.5","Given MOD-001 и authoritative server state, actor и данные удовлетворяют предусловиям BR-018
When выполняется сценарий «Блокировка или деактивация пользователя отзывает активные сессии.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-019,MOD-001,FR-003;BR-019,BR-019,FR-003,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-019.).,"Проверить бизнес-правило: Клиент не раскрывает, логин или пароль были неверны.",High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.5","Given MOD-001 и authoritative server state, actor и данные удовлетворяют предусловиям BR-019
When выполняется сценарий «Клиент не раскрывает, логин или пароль были неверны.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-020,MOD-002,FR-008;BR-020;FR-244;FR-245,BR-020,FR-008;FR-244;FR-245,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-020.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Маршрут восстанавливается только после повторной авторизации.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.5","Given MOD-002 и authoritative server state, actor и данные удовлетворяют предусловиям BR-020
When выполняется сценарий «Маршрут восстанавливается только после повторной авторизации.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-021,MOD-002,BR-021;FR-245,BR-021,FR-245,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-021.).,"Проверить бизнес-правило: Command bar, context menu и palette используют единый command registry.",High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.5","Given MOD-002 и authoritative server state, actor и данные удовлетворяют предусловиям BR-021
When выполняется сценарий «Command bar, context menu и palette используют единый command registry.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-022,MOD-002,FR-015;FR-016;BR-022;FR-244,BR-022,FR-015;FR-016;FR-244,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-022.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Скрытая кнопка не является проверкой permission.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.5","Given MOD-002 и authoritative server state, actor и данные удовлетворяют предусловиям BR-022
When выполняется сценарий «Скрытая кнопка не является проверкой permission.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-023,MOD-002,BR-023;FR-244;FR-245,BR-023,FR-244;FR-245,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-023.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Deep link не раскрывает данные скрытого объекта.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.5","Given MOD-002 и authoritative server state, actor и данные удовлетворяют предусловиям BR-023
When выполняется сценарий «Deep link не раскрывает данные скрытого объекта.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-024,MOD-003,FR-017;BR-024;FR-249,BR-024,FR-017;FR-249,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-024.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,"Проверить бизнес-правило: Просрочка вычисляется, а не хранится как статус.",High,Integration/domain,"§9, §27.1.17, §29; Stage 3.5","Given MOD-003 и authoritative server state, actor и данные удовлетворяют предусловиям BR-024
When выполняется сценарий «Просрочка вычисляется, а не хранится как статус.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-025,MOD-003,BR-025;FR-246,BR-025,FR-246,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-025.).,Проверить бизнес-правило: Ошибка одной секции не заменяет весь экран ошибкой.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.5","Given MOD-003 и authoritative server state, actor и данные удовлетворяют предусловиям BR-025
When выполняется сценарий «Ошибка одной секции не заменяет весь экран ошибкой.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-026,MOD-003,BR-026;FR-246,BR-026,FR-246,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-026.).,Проверить бизнес-правило: В offline показывается только кэш с timestamp.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.5","Given MOD-003 и authoritative server state, сохранён draft и известны connection/version state для BR-026
When выполняется сценарий «В offline показывается только кэш с timestamp.»
Then неподтверждённая запись не считается успешной, offline write queue и blind overwrite не используются
And draft сохраняется; UI предлагает contract-backed refresh/retry/recovery с точным state/error"
AC-027,MOD-003,FR-017;BR-027,BR-027,FR-017,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-027.).,Проверить бизнес-правило: Scope-фильтр отправляется только контрактно поддерживаемыми параметрами.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.5","Given MOD-003 и authoritative server state, actor и данные удовлетворяют предусловиям BR-027
When выполняется сценарий «Scope-фильтр отправляется только контрактно поддерживаемыми параметрами.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-028,MOD-004,FR-018;FR-019;FR-021;FR-022;BR-028,BR-028,FR-018;FR-019;FR-021;FR-022,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-028.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: InboxItem принадлежит создателю до явного преобразования.,High,Integration/domain,"§10, §27.1, §33; Stage 3.5","Given MOD-004 и authoritative server state, actor и данные удовлетворяют предусловиям BR-028
When выполняется сценарий «InboxItem принадлежит создателю до явного преобразования.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-029,MOD-004,FR-023;FR-024;BR-029,BR-029,FR-023;FR-024,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-029.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Преобразование создаёт целевой объект и помечает source как converted в одной транзакции.,High,Integration/domain,"§10, §27.1, §33; Stage 3.5","Given MOD-004 и authoritative server state, actor и данные удовлетворяют предусловиям BR-029
When выполняется сценарий «Преобразование создаёт целевой объект и помечает source как converted в одной транзакции.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-030,MOD-004,FR-023;FR-024;BR-030;FR-247,BR-030,FR-023;FR-024;FR-247,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-030.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: При отказе целевого permission исходный InboxItem остаётся неизменён.,High,Integration/domain,"§10, §27.1, §33; Stage 3.5","Given MOD-004 и authoritative server state, actor и данные удовлетворяют предусловиям BR-030
When выполняется сценарий «При отказе целевого permission исходный InboxItem остаётся неизменён.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-031,MOD-005,FR-028;BR-031;FR-038;FR-250,BR-031,FR-028;FR-038;FR-250,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-031.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,"Проверить бизнес-правило: Статусы: new, in_progress, review, completed, cancelled; overdue вычисляется.",High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.5","Given MOD-005 и authoritative server state, actor и данные удовлетворяют предусловиям BR-031
When выполняется сценарий «Статусы: new, in_progress, review, completed, cancelled; overdue вычисляется.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-032,MOD-005,BR-032;FR-032;FR-038,BR-032,FR-032;FR-038,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-032.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Business completion не архивирует задачу автоматически.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.5","Given MOD-005 и authoritative server state, actor и данные удовлетворяют предусловиям BR-032
When выполняется сценарий «Business completion не архивирует задачу автоматически.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-033,MOD-005,FR-031;BR-033;FR-033;FR-036;FR-038;FR-040;FR-248,BR-033,FR-031;FR-033;FR-036;FR-038;FR-040;FR-248,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-033.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Полный editor сохраняется явно; узкие команды отправляются отдельно.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.5","Given MOD-005 и authoritative server state, actor и данные удовлетворяют предусловиям BR-033
When выполняется сценарий «Полный editor сохраняется явно; узкие команды отправляются отдельно.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-034,MOD-005,FR-028;BR-034;FR-038;FR-250,BR-034,FR-028;FR-038;FR-250,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-034.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Переходы определяет сервер; клиент не формирует их из названия роли.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.5","Given MOD-005 и authoritative server state, actor и данные удовлетворяют предусловиям BR-034
When выполняется сценарий «Переходы определяет сервер; клиент не формирует их из названия роли.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-035,MOD-005,BR-035;FR-038;FR-250,BR-035,FR-038;FR-250,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-035.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Review → completed и review → in_progress выполняются только разрешёнными transition.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.5","Given MOD-005 и authoritative server state, actor и данные удовлетворяют предусловиям BR-035
When выполняется сценарий «Review → completed и review → in_progress выполняются только разрешёнными transition.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-036,MOD-006,BR-036;FR-050;FR-051,BR-036,FR-050;FR-051,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-036.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Подзадача является Task с parentTaskId.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.5","Given MOD-006 и authoritative server state, actor и данные удовлетворяют предусловиям BR-036
When выполняется сценарий «Подзадача является Task с parentTaskId.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-037,MOD-006,BR-037;FR-051;FR-251,BR-037,FR-051;FR-251,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-037.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить бизнес-правило: Глубина вложенности ограничена одним уровнем.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.5","Given MOD-006 и authoritative server state, actor и данные удовлетворяют предусловиям BR-037
When выполняется сценарий «Глубина вложенности ограничена одним уровнем.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
