event,source,payload,publication,delivery,replay,retention,consumers
ObjectLinked,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ObjectPurgeRequested,trash,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ObjectRestored,trash,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ObjectTagsChanged,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ObjectUnarchived,archive,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ObjectUnlinked,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
OrganizationSettingsChanged,settings,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
PasswordChanged,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
PasswordResetByAdmin,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectArchived,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectCreated,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectDeleted,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectMemberAdded,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectMemberPermissionsChanged,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectMemberRemoved,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectMemberRoleChanged,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectOwnershipTransferred,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectRestored,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectRolePermissionsChanged,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectUnarchived,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ProjectUpdated,projects,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceOccurrenceSkipped,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceOccurrencesGenerated,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesCancelled,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",business transaction writes domain event and outbox atomically,at-least-once,yes; source event ID is the consumer deduplication key,90 days domain / 30 days delivered outbox,idempotent change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesChanged,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesCreated,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesDeleted,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesRestored,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RecurrenceSeriesUpdated,recurrence,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderCancelled,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",business transaction writes domain event and outbox atomically,at-least-once,yes; source event ID is the consumer deduplication key,90 days domain / 30 days delivered outbox,idempotent change-feed projector; audit/history; notification/search/realtime as applicable
ReminderCreated,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderDeleted,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderDismissed,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderDue,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderRestored,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderSnoozed,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ReminderUpdated,reminders,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RestoreRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RoleCreated,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RoleDeactivated,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",business transaction writes domain event and outbox atomically,at-least-once,yes; source event ID is the consumer deduplication key,90 days domain / 30 days delivered outbox,idempotent change-feed projector; audit/history; notification/search/realtime as applicable
RoleDeleted,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RolePermissionsChanged,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RoleRestored,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
RoleUpdated,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SearchDocumentDeleteRequested,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SearchDocumentUpsertRequested,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SearchReindexRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SessionRefreshed,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SessionRevoked,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
StorageThresholdExceeded,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SubtaskCreated,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SyncBootstrapped,sync,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
SyncCursorAcknowledged,sync,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TagCreated,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TagDeleted,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TagRestored,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TagUpdated,tags,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskArchived,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskAssigneesChanged,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskCreated,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskDeleted,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskDependencyAdded,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskDependencyRemoved,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskOverdue,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskRestored,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskScheduled,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskStatusChanged,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskUnarchived,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskUpdated,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
TaskWatchersChanged,tasks,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserActivated,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserBlocked,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserCreated,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserDeactivated,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserLoggedIn,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserLoggedOut,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserReactivated,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserRolesChanged,roles,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserSettingsChanged,settings,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserUnblocked,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
UserUpdated,users,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
