"SCR ID","Module","Surface name","Surface type","Primary pattern","Shared components","Roles","Permission","Purpose","Entry points","Actions","States","Errors","Related SCR","Dependencies","Priority","Style dependency","Inventory status","Source line"
"SCR-012","Inbox","Входящие","page","Page","BulkResultSummary; ConflictNotice; ConnectivityBanner; DataList; EmptyState; FilterBar; PageLayout; PermissionState; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle","Владелец InboxItem","Inbox.ReadOwn","Захват и очередь классификации","Alt+2","Capture; edit; convert; batch; trash","empty; filtered; offline read-only; conflict","VERSION_CONFLICT; OBJECT_DELETED; FORBIDDEN","SCR-013; SCR-020; SCR-080","Own-scope policy, transactional conversion","P0","VIS-001","Mapped","61"
"SCR-013","Inbox","Обработка входящего","drawer/dialog","Drawer","ConflictNotice; DialogShell; ErrorMessage; FocusTrap; InspectorPanel; PermissionState; ProjectPicker; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Владелец InboxItem","Inbox.ManageOwn","Преобразовать в Task/CatalogItem","Selection/context action","Set target fields; convert","validation; target forbidden; duplicate; conflict","VALIDATION_FAILED; FORBIDDEN; DUPLICATE_RESOURCE; VERSION_CONFLICT","SCR-024 or SCR-081","Own-scope policy, transactional conversion","P0","VIS-001","Mapped","62"
"SCR-014","Inbox","Контекстное меню Входящих","context menu","Context menu","ContextMenu; PermissionState; ProjectPicker; SurfaceTitle","Владелец InboxItem","Inbox.ManageOwn","Быстрые операции над item/selection","Right click; Shift+F10","Convert; edit; trash; restore","disabled reason; stale selection","FORBIDDEN; OBJECT_DELETED","SCR-013; SCR-141","Own-scope policy, transactional conversion","P0","VIS-001","Mapped","63"
"SCR-020","Tasks","Задачи: список/дерево","page","Data list","ConnectivityBanner; DataList; EmptyState; FieldLabel; FilterBar; FormLayout; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SelectionBar; SurfaceTitle; TaskRow; TaskStatusControl; TreeView; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Read","Найти, отфильтровать и выполнить задачи","Alt+4; project/contact/search links","Open; select; quick transition; create; multi-select","loading; empty; filtered; partial; stale; offline","OBJECT_NOT_VISIBLE","SCR-024; SCR-031; SCR-034","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","69"
"SCR-021","Tasks","Фильтры задач","panel","Panel","DateTimePicker; EmptyState; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; PeoplePicker; PermissionState; ProjectPicker; RecurrenceEditor; ReminderEditor; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Read","Project/assignee/department/status/priority/date/contact/file filters","SCR-020","Apply; reset; save local view state","filtered empty; removed filter value","OBJECT_NOT_VISIBLE","SCR-020","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","70"
"SCR-022","Tasks","Быстрое создание задачи","popover/dialog","Popover","ConnectivityBanner; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PeoplePicker; PermissionState; PopoverSurface; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Create","Создать task минимально","Ctrl+N; Today/Calendar slot; Project","Create; create and open","validation; offline; forbidden","VALIDATION_FAILED; FORBIDDEN; DATABASE_UNAVAILABLE","SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","71"
"SCR-023","Tasks","Полный редактор задачи","page/dialog","Modal dialog","ConflictNotice; DialogShell; FieldLabel; FocusTrap; FormLayout; LifecycleBanner; PageLayout; PeoplePicker; PermissionState; RecurrenceEditor; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Create/Task.Update","Явно сохранить сложный Task draft","Create/Edit","Save; save-close; cancel; sub-editors","dirty; validation; conflict; archived; trashed; field forbidden","VERSION_CONFLICT; PRECONDITION_REQUIRED; OBJECT_ARCHIVED; OBJECT_DELETED","SCR-024; SCR-032","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","72"
"SCR-024","Tasks","Карточка задачи","page","Page","CommentThread; ConflictNotice; ConnectivityBanner; DataList; FileLocationView; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator","Все с Task.Read; write по capability","Task.Read","Полный рабочий контекст Task","List/Today/Calendar/Search/Notification/deep link","Transition; edit; assign; comments/files; lifecycle","loading; stale; partial; archived; trashed; unavailable","OBJECT_NOT_VISIBLE; FORBIDDEN; VERSION_CONFLICT","Related Project/Contact/File/History","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","73"
"SCR-025","Tasks","Инспектор задачи","side panel","Details inspector","ConflictNotice; ConnectivityBanner; ErrorMessage; InspectorPanel; PeoplePicker; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Task.Read; write по capability","Task.Read","Быстрый просмотр и узкие команды","Selection in list/calendar/today","Open full; transition; complete; move","stale; offline; partial","VERSION_CONFLICT; INVALID_STATE_TRANSITION","SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","74"
"SCR-026","Tasks","Редактор recurrence","dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; PeoplePicker; RecurrenceEditor; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.ManageRecurrence","Создать/изменить rule, timezone, termination","Task editor/details","Preview; save; pause/cancel","invalid rule; DST; conflict","RECURRENCE_RULE_INVALID; VERSION_CONFLICT","SCR-027; SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","75"
"SCR-027","Tasks","Scope изменения серии","dialog","Modal dialog","ConflictNotice; DialogShell; FieldLabel; FocusTrap; FormLayout; LoadingState; PeoplePicker; ProgressIndicator; RecurrenceEditor; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.ManageRecurrence","Выбрать one/current+future/all","Edit occurrence/series","Apply scope; cancel","conflict; occurrence exists; background apply","VERSION_CONFLICT; RECURRENCE_OCCURRENCE_EXISTS","SCR-024; SCR-209","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","76"
"SCR-028","Tasks","Напоминания","dialog/panel","Panel","ConnectivityBanner; DialogShell; ErrorMessage; FocusTrap; InspectorPanel; PeoplePicker; PermissionState; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Task.Read; write по capability","Reminder.ManageOwn","Absolute/offset reminders, snooze/dismiss","Task/Event details; Settings","Add; edit; remove; snooze","invalid time; offline; target unavailable","VALIDATION_FAILED; OBJECT_NOT_VISIBLE; FORBIDDEN","SCR-024; SCR-153","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","77"
"SCR-029","Tasks","Исполнители и наблюдатели","dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; FieldLabel; FocusTrap; FormLayout; PeoplePicker; PermissionState; RecurrenceEditor; ReminderEditor; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Assign / Task.Watch","Изменить people relations","Task details/editor","Add/remove; primary; search","partial directory; inactive user; conflict","FORBIDDEN; VERSION_CONFLICT; OBJECT_NOT_VISIBLE","SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","78"
"SCR-030","Tasks","Зависимости задач","panel/dialog","Panel","ConflictNotice; DateTimePicker; DialogShell; FieldLabel; FocusTrap; FormLayout; InspectorPanel; PeoplePicker; PermissionState; RecurrenceEditor; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Update","Создать finish-to-start links без cycles","Task details","Add/remove/open related","cycle; hidden target; conflict","DEPENDENCY_CYCLE; OBJECT_NOT_VISIBLE; VERSION_CONFLICT","SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","79"
"SCR-031","Tasks","Массовые действия задач","action bar","Selection action bar","BulkResultSummary; ConflictNotice; ErrorMessage; PeoplePicker; RecurrenceEditor; ReminderEditor; SelectionBar; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Task.Read; write по capability","Task.ChangeStatus","Безопасные batch transitions","Multi-select SCR-020","Transition; clear selection; inspect failures","mixed state; request too large; stale selection","INVALID_STATE_TRANSITION; REQUEST_TOO_LARGE; VERSION_CONFLICT","SCR-020; SCR-209","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","80"
"SCR-032","Tasks","Разрешение конфликта Task","dialog/page","Modal dialog","ConflictNotice; DialogShell; FieldLabel; FocusTrap; FormLayout; LifecycleBanner; PageLayout; PeoplePicker; RecurrenceEditor; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Original command permission","Сравнить base/server/local и повторить безопасно","VERSION_CONFLICT","Reload; compare; reapply; discard","same field; different fields; deleted/completed/archived","VERSION_CONFLICT; OBJECT_DELETED; OBJECT_ARCHIVED","SCR-023; SCR-024","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","81"
"SCR-033","Tasks","Подзадачи и чек-листы","tab/panel","Panel","ConflictNotice; ConnectivityBanner; FieldLabel; FormLayout; InspectorPanel; PeoplePicker; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Task.Read; write по capability","Task.Read/Update/ChangeStatus","Один уровень subtasks и lightweight checklist","Task card tab","Create subtask; toggle; reorder; delete","depth exceeded; conflict; offline","SUBTASK_DEPTH_EXCEEDED; VERSION_CONFLICT","SCR-024; SCR-023","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","82"
"SCR-034","Tasks","Контекстное меню задачи","context menu","Context menu","ContextMenu; LifecycleBanner; PeoplePicker; PermissionState; RecurrenceEditor; ReminderEditor; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Task.Read; write по capability","Capability-dependent","Быстрые применимые команды","Right click; Shift+F10","Open; transition; assign; move; archive; trash; copy link","disabled for temporary state; mixed selection","FORBIDDEN; OBJECT_ARCHIVED; OBJECT_DELETED","Relevant dialog/screen","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","83"
"SCR-035","Tasks","Комментарии объекта","tab/panel","Panel","CommentThread; ConflictNotice; ConnectivityBanner; InspectorPanel; LoadingState; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Task.Read; write по capability","Comment.Read/Create/UpdateOwnOrModerate","Обсуждение с сохранением versions","Object card tab","Add; edit own; delete; restore moderate","loading; tombstone; permission revoked; offline","FORBIDDEN; OBJECT_NOT_VISIBLE; VERSION_CONFLICT","SCR-201","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","84"
"SCR-036","Tasks","История объекта","tab/panel","Panel","DateTimePicker; InspectorPanel; PeoplePicker; PermissionState; RecurrenceEditor; RedactionMarker; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator","Все с Task.Read; write по capability","History.Read","Структурированные изменения без raw JSON","Object card tab","Page; inspect version; copy timestamp","redaction; access revoked","OBJECT_NOT_VISIBLE; FORBIDDEN","SCR-201","ETag/If-Match, task aggregate, directory","P0","VIS-001","Mapped","85"
"SCR-040","Calendar","Календарь","page","Page","ConnectivityBanner; DateTimePicker; EmptyState; FieldLabel; FilterBar; FormLayout; LoadingState; PageLayout; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Calendar.Read; write по target capability","Calendar.Read","Day/week/month schedule projection","Alt+3; Today; Project","Range/view/filter; create; drag; resize; open","range loading; empty; offline; partial; timezone","CALENDAR_RANGE_TOO_LARGE; DATABASE_UNAVAILABLE","SCR-041..047; SCR-025","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","91"
"SCR-041","Calendar","Календарь: день","tab/view","Tab workspace","ConflictNotice; ConnectivityBanner; DateTimePicker; FieldLabel; FormLayout; PermissionState; ReadOnlyBanner; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Calendar.Read; write по target capability","Calendar.Read","Почасовой день","SCR-040 view switch","Create by slot; move; resize; open","overlap; current time; offline","VERSION_CONFLICT; FORBIDDEN","SCR-044; SCR-047","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","92"
"SCR-042","Calendar","Календарь: неделя","tab/view","Tab workspace","DateTimePicker; FilterBar; PeoplePicker; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Calendar.Read; write по target capability","Calendar.Read","Сравнить дни/lanes сотрудников","SCR-040 view switch","Move/resize; navigate; filter employees","dense overlap; partial scope","CALENDAR_RANGE_TOO_LARGE","SCR-044; SCR-047","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","93"
"SCR-043","Calendar","Календарь: месяц","tab/view","Tab workspace","ConnectivityBanner; DateTimePicker; ReadOnlyBanner; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Calendar.Read; write по target capability","Calendar.Read","Обзор дат компактными cards","SCR-040 view switch","Open day/item; move date-only by date","overflow +N; offline","CALENDAR_RANGE_TOO_LARGE","SCR-041; SCR-025","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","94"
"SCR-044","Calendar","Редактор CalendarEvent","page/dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; LifecycleBanner; PageLayout; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Calendar.Read; write по target capability","CalendarEvent.Create/Update","Создать event без task workflow","Calendar slot/event details","Save; archive; trash; respond invite","validation; conflict; archived/trashed","VERSION_CONFLICT; INVALID_STATE_TRANSITION; OBJECT_ARCHIVED","SCR-040; SCR-028","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","95"
"SCR-045","Calendar","Фильтры календаря","panel","Panel","DateTimePicker; EmptyState; FieldLabel; FilterBar; FormLayout; InspectorPanel; PermissionState; ProjectPicker; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Calendar.Read; write по target capability","Calendar.Read","Projects/users/departments/status/types","SCR-040","Apply; reset; local save","partial scope; empty","FORBIDDEN","SCR-040","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","96"
"SCR-046","Calendar","Предупреждение overlap","inline/dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; FocusTrap; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все с Calendar.Read; write по target capability","Target update permission","Предупредить, не блокируя overlap","Create/move/resize","Proceed; adjust; inspect","partial visibility; race conflict","VERSION_CONFLICT","SCR-040; SCR-044","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","97"
"SCR-047","Calendar","Conflict после drag/resize","dialog","Modal dialog","ConflictNotice; DateTimePicker; DialogShell; FieldLabel; FocusTrap; FormLayout; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все с Calendar.Read; write по target capability","Target update permission","Откатить preview и разрешить conflict","409 after move","Reload; choose slot; reapply","changed/deleted/completed target","VERSION_CONFLICT; OBJECT_DELETED","SCR-040; SCR-032","Range API, timezone, virtualized canvas","P1","VIS-001","Mapped","98"
"SCR-060","Projects","Проекты: список","page","Data list","ConnectivityBanner; DataList; EmptyState; FieldLabel; FilterBar; FormLayout; PageLayout; PeoplePicker; PermissionState; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Project.Read","Найти active/planning/paused/completed projects","Alt+5","Open; create; filter; lifecycle","empty; filtered; partial; offline","OBJECT_NOT_VISIBLE","SCR-061; SCR-070","Project context, authorization scope invalidation","P1","VIS-001","Mapped","104"
"SCR-061","Projects","Проект: обзор","page","Page","LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ProjectPicker; SearchBox; SemanticStatus; SurfaceTitle","Project readers; write по project capability","Project.Read","Сводка и рабочие tabs","List/Search/links","Edit; status; add member; tabs; lifecycle","loading; partial tabs; completed; archived; trashed","OBJECT_NOT_VISIBLE; OBJECT_ARCHIVED","SCR-062..072","Project context, authorization scope invalidation","P1","VIS-001","Mapped","105"
"SCR-062","Projects","Проект: задачи","tab","Tab workspace","BulkResultSummary; EmptyState; FieldLabel; FormLayout; LifecycleBanner; PeoplePicker; PermissionState; ProjectPicker; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Project readers; write по project capability","Project.Read + Task.Read","Task list scoped by project","SCR-061","Create; open; bulk transition","empty; partial; project archived","FORBIDDEN","SCR-020; SCR-024","Project context, authorization scope invalidation","P1","VIS-001","Mapped","106"
"SCR-063","Projects","Проект: календарь","tab","Tab workspace","ConnectivityBanner; DateTimePicker; FieldLabel; FormLayout; PeoplePicker; PermissionState; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Calendar.Read","Schedule scoped by project","SCR-061","Open; create/move if allowed","offline; partial","FORBIDDEN","SCR-040","Project context, authorization scope invalidation","P1","VIS-001","Mapped","107"
"SCR-064","Projects","Проект: участники","tab/page","Tab workspace","ConflictNotice; PageLayout; PeoplePicker; PermissionState; ProjectPicker; SurfaceTitle","Project readers; write по project capability","Project.ManageMembers for write","Members, roles, overrides, ownership","SCR-061","Add; role; remove; transfer ownership","owner invariant; duplicate; scope changed","DUPLICATE_RESOURCE; FORBIDDEN; VERSION_CONFLICT","SCR-071; SCR-179","Project context, authorization scope invalidation","P1","VIS-001","Mapped","108"
"SCR-065","Projects","Проект: файлы","tab","Tab workspace","ConnectivityBanner; FieldLabel; FileLocationView; FormLayout; PeoplePicker; PermissionState; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Project readers; write по project capability","Project.Read + FileCatalog.Read","Связанные CatalogItems","SCR-061","Open; link/unlink; create item","partial path; file unavailable","FILE_NO_LOCATION; FORBIDDEN","SCR-080; SCR-081; SCR-084","Project context, authorization scope invalidation","P1","VIS-001","Mapped","109"
"SCR-066","Projects","Проект: контакты","tab","Tab workspace","PeoplePicker; PermissionState; ProjectPicker; RedactionMarker; SurfaceTitle","Project readers; write по project capability","Project.Read + Contact.Read","Связанные contacts/companies","SCR-061","Open; link/unlink","partial access","OBJECT_NOT_VISIBLE","SCR-110..114","Project context, authorization scope invalidation","P1","VIS-001","Mapped","110"
"SCR-067","Projects","Проект: комментарии","tab","Tab workspace","CommentThread; ConnectivityBanner; PeoplePicker; PermissionState; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle","Project readers; write по project capability","Comment.Read/Create","Обсуждение проекта","SCR-061","Add/edit/delete per capability","offline; permission change","FORBIDDEN","SCR-035","Project context, authorization scope invalidation","P1","VIS-001","Mapped","111"
"SCR-068","Projects","Проект: история","tab","Tab workspace","PeoplePicker; PermissionState; ProjectPicker; RedactionMarker; SurfaceTitle; TimelineHistory","Project readers; write по project capability","History.Read","История project/member changes","SCR-061","Inspect changes","redacted; access revoked","OBJECT_NOT_VISIBLE","SCR-201","Project context, authorization scope invalidation","P1","VIS-001","Mapped","112"
