"Component","Surface count","Sample SCR","Modules","Priority","Status","Dependency"
"ErrorMessage","38","SCR-001; SCR-002; SCR-206; SCR-008; SCR-010; SCR-013; SCR-022; SCR-025; SCR-026; SCR-028","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"DataList","37","SCR-012; SCR-020; SCR-024; SCR-060; SCR-080; SCR-081; SCR-089; SCR-110; SCR-132; SCR-133","Inbox; Tasks; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"SemanticStatus","34","SCR-003; SCR-160; SCR-206; SCR-004; SCR-005; SCR-007; SCR-008; SCR-211; SCR-212; SCR-010","Sync; Shell; Today; Tasks; Calendar; Projects; Files; Notifications; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"TaskRow","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025","Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM","P0","Requires design","VIS-001 for visual styling"
"TaskStatusControl","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025","Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM","P0","Requires design","VIS-001 for visual styling"
"UrgencyIndicator","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025","Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM","P0","Requires design","VIS-001 for visual styling"
"InspectorPanel","28","SCR-160; SCR-011; SCR-013; SCR-021; SCR-024; SCR-025; SCR-028; SCR-030; SCR-033; SCR-035","Sync; Today; Inbox; Tasks; Calendar; Files; CRM; Notifications; Search; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"EmptyState","20","SCR-005; SCR-010; SCR-012; SCR-020; SCR-021; SCR-040; SCR-045; SCR-060; SCR-062; SCR-080","Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Admin","P0","Requires design","VIS-001 for visual styling"
"LoadingState","18","SCR-001; SCR-002; SCR-003; SCR-160; SCR-206; SCR-010; SCR-020; SCR-024; SCR-027; SCR-035","Auth; Sync; Today; Tasks; Calendar; Projects; Files; Search; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"CommandBar","3","SCR-004; SCR-150; SCR-170","Shell; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"ConnectionStatus","3","SCR-004; SCR-150; SCR-170","Shell; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"NavigationRail","3","SCR-004; SCR-150; SCR-170","Shell; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"ProfileMenu","3","SCR-004; SCR-150; SCR-170","Shell; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"PeoplePicker","32","SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028","Today; Tasks; Calendar; Projects","P1","Requires design","VIS-001 for visual styling"
"DateTimePicker","30","SCR-160; SCR-206; SCR-005; SCR-008; SCR-021; SCR-022; SCR-026; SCR-029; SCR-030; SCR-036","Sync; Shell; Tasks; Calendar; Projects; Files; CRM; Notifications; Lifecycle; Settings; Admin","P1","Requires design","VIS-001 for visual styling"
"TimelineHistory","28","SCR-024; SCR-036; SCR-068; SCR-081; SCR-140; SCR-141; SCR-142; SCR-143; SCR-170; SCR-171","Tasks; Projects; Files; Lifecycle; Admin; Shared","P1","Requires design","VIS-001 for visual styling"
"ProjectPicker","23","SCR-012; SCR-013; SCR-014; SCR-021; SCR-040; SCR-045; SCR-060; SCR-061; SCR-062; SCR-063","Inbox; Tasks; Calendar; Projects; Files; CRM; Search; Admin","P1","Requires design","VIS-001 for visual styling"
"FilterBar","22","SCR-005; SCR-010; SCR-011; SCR-012; SCR-020; SCR-021; SCR-040; SCR-042; SCR-045; SCR-060","Shell; Today; Inbox; Tasks; Calendar; Projects; CRM; Notifications; Search; Lifecycle; Admin","P1","Requires design","VIS-001 for visual styling"
"ReminderEditor","22","SCR-010; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027","Today; Tasks; Notifications","P1","Requires design","VIS-001 for visual styling"
"FileLocationView","21","SCR-004; SCR-021; SCR-024; SCR-065; SCR-080; SCR-081; SCR-082; SCR-083; SCR-084; SCR-085","Shell; Tasks; Projects; Files; CRM; Search; Settings; Admin","P1","Requires design","VIS-001 for visual styling"
"RecurrenceEditor","19","SCR-006; SCR-003; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027","Auth; Sync; Tasks","P1","Requires design","VIS-001 for visual styling"
"ProgressIndicator","18","SCR-001; SCR-002; SCR-003; SCR-160; SCR-206; SCR-010; SCR-020; SCR-024; SCR-027; SCR-035","Auth; Sync; Today; Tasks; Calendar; Projects; Files; Search; Admin; Shared","P1","Requires design","VIS-001 for visual styling"
"LifecycleBanner","15","SCR-023; SCR-024; SCR-032; SCR-034; SCR-044; SCR-061; SCR-062; SCR-072; SCR-081; SCR-089","Tasks; Calendar; Projects; Files; CRM; Lifecycle","P1","Requires design","VIS-001 for visual styling"
"NotificationItem","15","SCR-212; SCR-130; SCR-131; SCR-132; SCR-150; SCR-151; SCR-152; SCR-153; SCR-154; SCR-155","Shell; Notifications; Settings","P1","Requires design","VIS-001 for visual styling"
"SearchBox","15","SCR-004; SCR-020; SCR-024; SCR-029; SCR-061; SCR-081; SCR-110; SCR-111; SCR-113; SCR-133","Shell; Tasks; Projects; Files; CRM; Search; Admin; Shared","P1","Requires design","VIS-001 for visual styling"
"RedactionMarker","10","SCR-036; SCR-066; SCR-068; SCR-090; SCR-115; SCR-118; SCR-133; SCR-134; SCR-186; SCR-201","Tasks; Projects; Files; CRM; Search; Admin; Shared","P1","Requires design","VIS-001 for visual styling"
"Pagination","7","SCR-003; SCR-160; SCR-206; SCR-133; SCR-134; SCR-135; SCR-156","Sync; Search; Settings","P1","Requires design","VIS-001 for visual styling"
"PopoverSurface","7","SCR-160; SCR-206; SCR-005; SCR-008; SCR-022; SCR-133; SCR-204","Sync; Shell; Tasks; Search; Shared","P1","Requires design","VIS-001 for visual styling"
"ContextMenu","6","SCR-014; SCR-034; SCR-072; SCR-089; SCR-119; SCR-207","Inbox; Tasks; Projects; Files; CRM; Shared","P1","Requires design","VIS-001 for visual styling"
"BulkResultSummary","4","SCR-012; SCR-031; SCR-062; SCR-213","Inbox; Tasks; Projects; Shared","P2","Requires design","VIS-001 for visual styling"
"CommentThread","4","SCR-024; SCR-035; SCR-067; SCR-202","Tasks; Projects; Shared","P2","Requires design","VIS-001 for visual styling"
"SelectionBar","4","SCR-020; SCR-031; SCR-080; SCR-213","Tasks; Files; Shared","P2","Requires design","VIS-001 for visual styling"
"TreeView","2","SCR-020; SCR-080","Tasks; Files","P2","Requires design","VIS-001 for visual styling"
