"FLOW ID","Flow","Scenario group","Roles","Permission","API","Outcome","SCR references","STATE references","Modules","Shared components","Mapping basis","Priority","Required design evidence","Inventory status"
"FLOW-011","Изменить один occurrence","Task management","Allowed editor","Task.ManageRecurrence","POST /recurrence-series/{id}/apply-change","Single occurrence safely diverged","SCR-024; SCR-026; SCR-027","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-012","Изменить future/all series","Task management","Allowed editor","Task.ManageRecurrence","POST /recurrence-series/{id}/apply-change","Series changed without silent exception overwrite","SCR-024; SCR-026; SCR-027; SCR-209","","Shared; Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-013","Создание проекта","Projects","Admin/Manager/allowed Employee","Project.Create","POST /projects","Project created","SCR-060; SCR-061; SCR-070","","Projects","ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FilterBar; FocusTrap; FormLayout; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-014","Добавление участника","Projects","Owner/Manager","Project.ManageMembers","Project member/role/override endpoints","Membership and authorization updated","SCR-061; SCR-064; SCR-071","","Projects","ConflictNotice; DialogShell; FieldLabel; FocusTrap; FormLayout; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ProjectPicker; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-015","Открытие файла","Files","Metadata reader with open permission","FileReference.Open","GET locations; POST resolve-location; POST check-result","OS opened file or explicit diagnosis","SCR-080; SCR-081; SCR-084; SCR-090","","Files","ConnectivityBanner; DataList; DialogShell; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PermissionState; ProgressIndicator; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SelectionBar; SurfaceTitle; TimelineHistory; TreeView; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-016","Недоступный файл","Files","File reader","FileReference.Open; optional FileLocation.Update","GET locations; POST check-result","No destructive change; clear recovery","SCR-081; SCR-084; SCR-085; SCR-090","","Files","ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FileLocationView; FocusTrap; InspectorPanel; LifecycleBanner; PageLayout; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SurfaceTitle; TimelineHistory","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-017","Перепривязка файла","Files","Location editor","FileLocation.Update","PATCH location or POST alternative; check-result","Metadata updated; physical file untouched","SCR-081; SCR-083; SCR-086; SCR-210","","Files","ConflictNotice; ConnectivityBanner; DataList; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; PageLayout; PermissionState; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TimelineHistory; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-018","Создание контакта","CRM","CRM editor","Contact.Create/Update","POST /contacts + channels/company links","Contact created in allowed scope","SCR-110; SCR-111; SCR-112; SCR-115","","CRM","ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FilterBar; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; PageLayout; PermissionState; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-019","Глобальный поиск","Search","Все роли","Search.Use","GET /search/suggestions; GET /search","Allowed target or explicit zero/partial result","SCR-133; SCR-134; SCR-135; SCR-136","","Search","ConnectivityBanner; DataList; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; LoadingState; PageLayout; Pagination; PermissionState; PopoverSurface; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-020","Действие из notification","Notifications & reminders","Recipient","Notification.ManageOwn + target permission","POST /notifications/{id}/action + target API","Action confirmed or safely rejected","SCR-130; SCR-131; SCR-132","STATE-026; STATE-030","Notifications","ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; EmptyState; ErrorMessage; FilterBar; InspectorPanel; NotificationItem; PageLayout; PermissionState; ReadOnlyBanner; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-021","Snooze reminder","Notifications & reminders","Recipient","Reminder.ManageOwn","POST /reminders/{id}/snooze","New due time persisted","SCR-028; SCR-130; SCR-131; SCR-132","","Notifications; Tasks","ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FilterBar; FocusTrap; InspectorPanel; NotificationItem; PageLayout; PeoplePicker; PermissionState; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-022","Потеря сервера","Resilience & conflict","Все logged-in","Authenticated","Health/sync/realtime; no business writes","Honest read-only/degraded mode","SCR-004; SCR-160; SCR-206","","Shell; Sync","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-023","Работа в read-only cache","Resilience & conflict","Все роли","Last-known read only","Local cache; Windows file access","Inspect prior data without freshness claim","SCR-004; SCR-160; SCR-206","","Shell; Sync","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-024","Восстановление соединения","Resilience & conflict","Все роли","Sync.Read","auth/session; sync/changes/ack/bootstrap; capabilities","Current authorized cache and online writes","SCR-003; SCR-004; SCR-160; SCR-206","","Shell; Sync","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; PageLayout; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-025","Optimistic conflict","Resilience & conflict","Any editor","Original command permission","Target GET + original command","No silent overwrite","SCR-023; SCR-024; SCR-032","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-026","Архивирование","Lifecycle","Authorized user","Object archive/update permission","Object archive endpoint","Archived lifecycle, not deleted","SCR-034; SCR-072; SCR-089; SCR-140; SCR-208","","Files; Lifecycle; Projects; Shared; Tasks","ConflictNotice; ConnectivityBanner; ContextMenu; DataList; DialogShell; EmptyState; ErrorMessage; FileLocationView; FilterBar; FocusTrap; LifecycleBanner; PageLayout; PeoplePicker; PermissionState; ProjectPicker; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-027","Перемещение в корзину","Lifecycle","Authorized user","Object Delete permission","Object DELETE endpoint","Trashed with retention","SCR-034; SCR-089; SCR-119; SCR-141; SCR-208","","CRM; Files; Lifecycle; Shared; Tasks","ConflictNotice; ContextMenu; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FileLocationView; FocusTrap; LifecycleBanner; PageLayout; PeoplePicker; PermissionState; RecurrenceEditor; ReminderEditor; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-028","Восстановление из корзины","Lifecycle","Authorized user","Trash.Restore/object Restore","POST /trash/{id}/restore or object-specific","Active object restored","SCR-141; SCR-142","","Lifecycle","ConflictNotice; DataList; DateTimePicker; DialogShell; EmptyState; FocusTrap; LifecycleBanner; PageLayout; PermissionState; SurfaceTitle; TimelineHistory","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-029","Блокировка пользователя","Administration","Admin","User.Block","POST /users/{id}/block + session effects","Account blocked, sessions revoked, audit","SCR-170; SCR-171; SCR-172; SCR-174; SCR-181","","Admin","CommandBar; ConflictNotice; ConnectionStatus; DataList; DialogShell; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FocusTrap; FormLayout; InspectorPanel; NavigationRail; PageLayout; PermissionState; ProfileMenu; SemanticStatus; SurfaceTitle; TimelineHistory; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-030","Изменение permissions","Administration","Admin/Project owner/manager","Role.Manage/Project.ManageMembers","Role/project member override APIs; sync/capabilities","No stale unauthorized data/actions","SCR-170; SCR-177; SCR-178; SCR-179","","Admin","CommandBar; ConflictNotice; ConnectionStatus; DataList; DialogShell; FieldLabel; FocusTrap; FormLayout; InspectorPanel; NavigationRail; PageLayout; PermissionState; ProfileMenu; ProjectPicker; SurfaceTitle; TimelineHistory; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-031","Создание CalendarEvent","Calendar","Authorized user","CalendarEvent.Create/Update","POST /calendar-events; attendees; reminders","CalendarEvent created, distinct from Task","SCR-040; SCR-044; SCR-046","","Calendar","ConflictNotice; ConnectivityBanner; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FilterBar; FocusTrap; FormLayout; LifecycleBanner; LoadingState; PageLayout; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-032","Drag/resize календаря","Calendar","Authorized editor","Relevant update permission","POST task move; PATCH event","Explicit time model updated","SCR-040; SCR-041; SCR-042; SCR-047","","Calendar","ConflictNotice; ConnectivityBanner; DateTimePicker; DialogShell; EmptyState; FieldLabel; FilterBar; FocusTrap; FormLayout; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-033","Массовая смена статуса","Task & Inbox","Manager/Employee with capability","Task.ChangeStatus","POST /tasks/bulk-transition","Transparent batch result","SCR-020; SCR-031; SCR-209","","Shared; Tasks","BulkResultSummary; ConflictNotice; ConnectivityBanner; DataList; DialogShell; EmptyState; ErrorMessage; FieldLabel; FilterBar; FocusTrap; FormLayout; InspectorPanel; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SelectionBar; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TreeView; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-034","Inbox capture и conversion","Task & Inbox","Admin/Manager/Employee","Inbox.ManageOwn + target create","Inbox create/update/convert","Auditable target conversion","SCR-012; SCR-013; SCR-014; SCR-022; SCR-082","","Files; Inbox; Tasks","BulkResultSummary; ConflictNotice; ConnectivityBanner; ContextMenu; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FocusTrap; FormLayout; InspectorPanel; PageLayout; PeoplePicker; PermissionState; PopoverSurface; ProjectPicker; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-035","Завершение и архивирование проекта","Projects","Owner/Manager","Project.Update/Archive","Project update/transition/archive","Completion and archive remain distinct","SCR-061; SCR-069; SCR-072; SCR-140; SCR-153","STATE-007; STATE-014; STATE-025","Lifecycle; Projects; Settings","ConflictNotice; ConnectivityBanner; ContextMenu; DataList; DialogShell; EmptyState; ErrorMessage; FieldLabel; FilterBar; FocusTrap; FormLayout; LifecycleBanner; LoadingState; NotificationItem; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TimelineHistory; ValidationMessage","Stage 3 section + Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-036","Добавить альтернативный FileLocation","Files","Location editor","FileLocation.Update","POST locations; resolve/check","Additional path without replacing old","SCR-081; SCR-083; SCR-087; SCR-090; SCR-210","","Files","ConflictNotice; ConnectivityBanner; DataList; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; PageLayout; PermissionState; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TimelineHistory; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-037","Создать Interaction","CRM","CRM editor","Interaction.Create/Update","POST /interactions; PUT participants","Manual interaction history","SCR-110; SCR-111; SCR-113; SCR-116; SCR-117; SCR-118","STATE-014; STATE-025","CRM","ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; PageLayout; PermissionState; ProjectPicker; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
