method,path,canonical_traceability_source,catalog_present,openapi_present,operation_id,openapi_permission,catalog_permission,request_contract,response_contract,status,difference
GET,/api/v1/calendar-events,catalogs/api_catalog.csv,True,True,GET_api_v1_calendar_events,Calendar.Read,Calendar.Read,"query: filter,sort,page,cursor",Page<CalendarEvent>,match,
POST,/api/v1/calendar-events,catalogs/api_catalog.csv,True,True,POST_api_v1_calendar_events,CalendarEvent.Create,CalendarEvent.Create,CalendarEventCreate,CalendarEvent,match,
DELETE,/api/v1/calendar-events/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_calendar_events_id,CalendarEvent.Delete,CalendarEvent.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/calendar-events/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_calendar_events_id,Calendar.Read,Calendar.Read,path:id,CalendarEvent,match,
PATCH,/api/v1/calendar-events/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_calendar_events_id,CalendarEvent.Update,CalendarEvent.Update,CalendarEventPatch,CalendarEvent,match,
POST,/api/v1/calendar-events/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_calendar_events_id_archive,CalendarEvent.Update,CalendarEvent.Update,ArchiveRequest,CalendarEvent,match,
PUT,/api/v1/calendar-events/{id}/attendees,catalogs/api_catalog.csv,True,True,PUT_api_v1_calendar_events_id_attendees,CalendarEvent.Update,CalendarEvent.Update,AttendeesReplace,CalendarEvent,match,
POST,/api/v1/calendar-events/{id}/respond,catalogs/api_catalog.csv,True,True,POST_api_v1_calendar_events_id_respond,CalendarEvent.Respond,CalendarEvent.Respond,AttendeeResponse,EventAttendee,match,
POST,/api/v1/calendar-events/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_calendar_events_id_restore,CalendarEvent.Delete,CalendarEvent.Delete,RestoreRequest,CalendarEvent,match,
POST,/api/v1/calendar-events/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_calendar_events_id_unarchive,CalendarEvent.Update,CalendarEvent.Update,—,CalendarEvent,match,
GET,/api/v1/calendar/conflicts,catalogs/api_catalog.csv,True,True,GET_api_v1_calendar_conflicts,Calendar.Read,Calendar.Read,"query:from,to,userIds,excludeObjectId",ScheduleConflict[],match,
GET,/api/v1/capabilities,catalogs/api_catalog.csv,True,True,GET_api_v1_capabilities,Authenticated,Authenticated,—,ServerCapabilities,match,
GET,/api/v1/catalog-items,catalogs/api_catalog.csv,True,True,GET_api_v1_catalog_items,FileCatalog.Read,FileCatalog.Read,"query: filter,sort,page,cursor",Page<CatalogItem>,match,
POST,/api/v1/catalog-items,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items,FileCatalog.Create,FileCatalog.Create,CatalogItemCreate,CatalogItem,match,
DELETE,/api/v1/catalog-items/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_catalog_items_id,FileCatalog.Delete,FileCatalog.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/catalog-items/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_catalog_items_id,FileCatalog.Read,FileCatalog.Read,path:id,CatalogItem,match,
PATCH,/api/v1/catalog-items/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_catalog_items_id,FileCatalog.Update,FileCatalog.Update,CatalogItemPatch,CatalogItem,match,
POST,/api/v1/catalog-items/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_archive,FileCatalog.Update,FileCatalog.Update,ArchiveRequest,CatalogItem,match,
GET,/api/v1/catalog-items/{id}/locations,catalogs/api_catalog.csv,True,True,GET_api_v1_catalog_items_id_locations,FileReference.Open,FileReference.Open,query:deviceId,FileLocation[],match,
POST,/api/v1/catalog-items/{id}/locations,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_locations,FileLocation.Update,FileLocation.Update,FileLocationCreate,FileLocation,match,
DELETE,/api/v1/catalog-items/{id}/locations/{locationId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_catalog_items_id_locations_locationId,FileLocation.Update,FileLocation.Update,—,204,match,
PATCH,/api/v1/catalog-items/{id}/locations/{locationId},catalogs/api_catalog.csv,True,True,PATCH_api_v1_catalog_items_id_locations_locationId,FileLocation.Update,FileLocation.Update,FileLocationPatch,FileLocation,match,
POST,/api/v1/catalog-items/{id}/move,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_move,FileCatalog.Update,FileCatalog.Update,CatalogMoveRequest,CatalogItem,match,
POST,/api/v1/catalog-items/{id}/resolve-location,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_resolve_location,FileReference.Open,FileReference.Open,ResolveLocationRequest,ResolvedLocation,match,
POST,/api/v1/catalog-items/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_restore,FileCatalog.Restore,FileCatalog.Restore,RestoreRequest,CatalogItem,match,
POST,/api/v1/catalog-items/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_catalog_items_id_unarchive,FileCatalog.Update,FileCatalog.Update,—,CatalogItem,match,
GET,/api/v1/catalog/tree,catalogs/api_catalog.csv,True,True,GET_api_v1_catalog_tree,FileCatalog.Read,FileCatalog.Read,"query:parentId,depth,includeArchived",CatalogTree,match,
POST,/api/v1/comments/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_comments_id_restore,Comment.Moderate,Comment.Moderate,—,Comment,match,
GET,/api/v1/comments/{id}/versions,catalogs/api_catalog.csv,True,True,GET_api_v1_comments_id_versions,History.Read,History.Read,query:page,Page<CommentVersion>,match,
GET,/api/v1/companies,catalogs/api_catalog.csv,True,True,GET_api_v1_companies,Contact.Read,Contact.Read,"query: filter,sort,page,cursor",Page<Company>,match,
POST,/api/v1/companies,catalogs/api_catalog.csv,True,True,POST_api_v1_companies,Contact.Create,Contact.Create,CompanyCreate,Company,match,
DELETE,/api/v1/companies/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_companies_id,Contact.Delete,Contact.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/companies/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_companies_id,Contact.Read,Contact.Read,path:id,Company,match,
PATCH,/api/v1/companies/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_companies_id,Contact.Update,Contact.Update,CompanyPatch,Company,match,
POST,/api/v1/companies/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_companies_id_archive,Contact.Update,Contact.Update,ArchiveRequest,Company,match,
POST,/api/v1/companies/{id}/contacts,catalogs/api_catalog.csv,True,True,POST_api_v1_companies_id_contacts,Contact.Update,Contact.Update,ContactCompanyRoleCreate,ContactCompanyRole,match,
DELETE,/api/v1/companies/{id}/contacts/{contactId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_companies_id_contacts_contactId,Contact.Update,Contact.Update,—,204,match,
POST,/api/v1/companies/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_companies_id_restore,Contact.Restore,Contact.Restore,RestoreRequest,Company,match,
POST,/api/v1/companies/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_companies_id_unarchive,Contact.Update,Contact.Update,—,Company,match,
GET,/api/v1/contacts,catalogs/api_catalog.csv,True,True,GET_api_v1_contacts,Contact.Read,Contact.Read,"query: filter,sort,page,cursor",Page<Contact>,match,
POST,/api/v1/contacts,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts,Contact.Create,Contact.Create,ContactCreate,Contact,match,
DELETE,/api/v1/contacts/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_contacts_id,Contact.Delete,Contact.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/contacts/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_contacts_id,Contact.Read,Contact.Read,path:id,Contact,match,
PATCH,/api/v1/contacts/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_contacts_id,Contact.Update,Contact.Update,ContactPatch,Contact,match,
POST,/api/v1/contacts/{id}/addresses,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts_id_addresses,Contact.Update,Contact.Update,AddressCreate,Address,match,
POST,/api/v1/contacts/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts_id_archive,Contact.Update,Contact.Update,ArchiveRequest,Contact,match,
POST,/api/v1/contacts/{id}/channels,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts_id_channels,Contact.Update,Contact.Update,CommunicationChannelCreate,CommunicationChannel,match,
DELETE,/api/v1/contacts/{id}/channels/{channelId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_contacts_id_channels_channelId,Contact.Update,Contact.Update,—,204,match,
PATCH,/api/v1/contacts/{id}/channels/{channelId},catalogs/api_catalog.csv,True,True,PATCH_api_v1_contacts_id_channels_channelId,Contact.Update,Contact.Update,CommunicationChannelPatch,CommunicationChannel,match,
POST,/api/v1/contacts/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts_id_restore,Contact.Restore,Contact.Restore,RestoreRequest,Contact,match,
POST,/api/v1/contacts/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_contacts_id_unarchive,Contact.Update,Contact.Update,—,Contact,match,
GET,/api/v1/departments,catalogs/api_catalog.csv,True,True,GET_api_v1_departments,Department.Read,Department.Read,"query: filter,sort,page,cursor",Page<Department>,match,
POST,/api/v1/departments,catalogs/api_catalog.csv,True,True,POST_api_v1_departments,Department.Manage,Department.Manage,DepartmentCreate,Department,match,
GET,/api/v1/departments/tree,catalogs/api_catalog.csv,True,True,GET_api_v1_departments_tree,Department.Read,Department.Read,query:includeArchived,DepartmentTree,match,
DELETE,/api/v1/departments/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_departments_id,Department.Manage,Department.Manage,path:id,DeletionReceipt,match,
GET,/api/v1/departments/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_departments_id,Department.Read,Department.Read,path:id,Department,match,
PATCH,/api/v1/departments/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_departments_id,Department.Manage,Department.Manage,DepartmentPatch,Department,match,
POST,/api/v1/departments/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_departments_id_archive,Department.Manage,Department.Manage,ArchiveRequest,Department,match,
PUT,/api/v1/departments/{id}/managers,catalogs/api_catalog.csv,True,True,PUT_api_v1_departments_id_managers,Department.Manage,Department.Manage,DepartmentManagersReplace,Department,match,
POST,/api/v1/departments/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_departments_id_restore,Department.Manage,Department.Manage,RestoreRequest,Department,match,
POST,/api/v1/departments/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_departments_id_unarchive,Department.Manage,Department.Manage,—,Department,match,
GET,/api/v1/devices,catalogs/api_catalog.csv,True,True,GET_api_v1_devices,Device.ReadOwnOrAll,Device.ReadOwnOrAll,"query: filter,sort,page,cursor",Page<Device>,match,
GET,/api/v1/devices/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_devices_id,Device.ReadOwnOrAll,Device.ReadOwnOrAll,path:id,Device,match,
PATCH,/api/v1/devices/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_devices_id,Device.UpdateOwnOrAll,Device.UpdateOwnOrAll,DevicePatch,Device,match,
POST,/api/v1/devices/{id}/heartbeat,catalogs/api_catalog.csv,True,True,POST_api_v1_devices_id_heartbeat,Authenticated,Authenticated,DeviceHeartbeat,204,match,
POST,/api/v1/devices/{id}/revoke,catalogs/api_catalog.csv,True,True,POST_api_v1_devices_id_revoke,Device.Revoke,Device.Revoke,RevokeDeviceRequest,Device,match,
GET,/api/v1/feature-flags,catalogs/api_catalog.csv,True,True,GET_api_v1_feature_flags,Authenticated,Authenticated,—,FeatureFlags,match,
POST,/api/v1/file-locations/{id}/check-result,catalogs/api_catalog.csv,True,True,POST_api_v1_file_locations_id_check_result,FileReference.Open,FileReference.Open,FileLocationCheckCreate,204,match,
GET,/api/v1/inbox-items,catalogs/api_catalog.csv,True,True,GET_api_v1_inbox_items,Inbox.ReadOwn,Inbox.ReadOwn,"query: filter,sort,page,cursor",Page<InboxItem>,match,
POST,/api/v1/inbox-items,catalogs/api_catalog.csv,True,True,POST_api_v1_inbox_items,Inbox.ManageOwn,Inbox.ManageOwn,InboxItemCreate,InboxItem,match,
DELETE,/api/v1/inbox-items/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_inbox_items_id,Inbox.ManageOwn,Inbox.ManageOwn,path:id,DeletionReceipt,match,
GET,/api/v1/inbox-items/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_inbox_items_id,Inbox.ReadOwn,Inbox.ReadOwn,path:id,InboxItem,match,
PATCH,/api/v1/inbox-items/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_inbox_items_id,Inbox.ManageOwn,Inbox.ManageOwn,InboxItemPatch,InboxItem,match,
POST,/api/v1/inbox-items/{id}/convert-to-catalog-item,catalogs/api_catalog.csv,True,True,POST_api_v1_inbox_items_id_convert_to_catalog_item,Inbox.ManageOwn,Inbox.ManageOwn,InboxConvertCatalog,CatalogItem,match,
POST,/api/v1/inbox-items/{id}/convert-to-task,catalogs/api_catalog.csv,True,True,POST_api_v1_inbox_items_id_convert_to_task,Inbox.ManageOwn,Inbox.ManageOwn,InboxConvertTask,Task,match,
POST,/api/v1/inbox-items/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_inbox_items_id_restore,Inbox.ManageOwn,Inbox.ManageOwn,RestoreRequest,InboxItem,match,
GET,/api/v1/interactions,catalogs/api_catalog.csv,True,True,GET_api_v1_interactions,Contact.Read,Contact.Read,"query: filter,sort,page,cursor",Page<Interaction>,match,
POST,/api/v1/interactions,catalogs/api_catalog.csv,True,True,POST_api_v1_interactions,Interaction.Create,Interaction.Create,InteractionCreate,Interaction,match,
DELETE,/api/v1/interactions/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_interactions_id,Interaction.Update,Interaction.Update,path:id,DeletionReceipt,match,
GET,/api/v1/interactions/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_interactions_id,Contact.Read,Contact.Read,path:id,Interaction,match,
PATCH,/api/v1/interactions/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_interactions_id,Interaction.Update,Interaction.Update,InteractionPatch,Interaction,match,
PUT,/api/v1/interactions/{id}/participants,catalogs/api_catalog.csv,True,True,PUT_api_v1_interactions_id_participants,Interaction.Update,Interaction.Update,InteractionParticipants,Interaction,match,
POST,/api/v1/interactions/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_interactions_id_restore,Interaction.Update,Interaction.Update,RestoreRequest,Interaction,match,
GET,/api/v1/network-resources,catalogs/api_catalog.csv,True,True,GET_api_v1_network_resources,FileCatalog.Read,FileCatalog.Read,"query:status,page",Page<NetworkResource>,match,
POST,/api/v1/network-resources,catalogs/api_catalog.csv,True,True,POST_api_v1_network_resources,NetworkResource.Manage,NetworkResource.Manage,NetworkResourceCreate,NetworkResource,match,
PATCH,/api/v1/network-resources/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_network_resources_id,NetworkResource.Manage,NetworkResource.Manage,NetworkResourcePatch,NetworkResource,match,
POST,/api/v1/network-resources/{id}/probe,catalogs/api_catalog.csv,True,True,POST_api_v1_network_resources_id_probe,NetworkResource.Manage,NetworkResource.Manage,ProbeRequest,ProbeResult,match,
GET,/api/v1/notifications,catalogs/api_catalog.csv,True,True,GET_api_v1_notifications,Notification.ReadOwn,Notification.ReadOwn,"query: filter,sort,page,cursor",Page<Notification>,match,
GET,/api/v1/notifications/preferences,catalogs/api_catalog.csv,True,True,GET_api_v1_notifications_preferences,Settings.ReadOwn,Settings.ReadOwn,—,NotificationPreferences,match,
PUT,/api/v1/notifications/preferences,catalogs/api_catalog.csv,True,True,PUT_api_v1_notifications_preferences,Settings.UpdateOwn,Settings.UpdateOwn,NotificationPreferencesPatch,NotificationPreferences,match,
POST,/api/v1/notifications/read-all,catalogs/api_catalog.csv,True,True,POST_api_v1_notifications_read_all,Notification.ReadOwn,Notification.ReadOwn,ReadAllRequest,ReadAllResult,match,
GET,/api/v1/notifications/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_notifications_id,Notification.ReadOwn,Notification.ReadOwn,path:id,Notification,match,
POST,/api/v1/notifications/{id}/action,catalogs/api_catalog.csv,True,True,POST_api_v1_notifications_id_action,Notification.ManageOwn,Notification.ManageOwn,NotificationActionRequest,ActionResult,match,
POST,/api/v1/notifications/{id}/read,catalogs/api_catalog.csv,True,True,POST_api_v1_notifications_id_read,Notification.ReadOwn,Notification.ReadOwn,—,Notification,match,
GET,/api/v1/objects/{objectId}/comments,catalogs/api_catalog.csv,True,True,GET_api_v1_objects_objectId_comments,Comment.Read,Comment.Read,"query: filter,sort,page,cursor",Page<Comment>,match,
POST,/api/v1/objects/{objectId}/comments,catalogs/api_catalog.csv,True,True,POST_api_v1_objects_objectId_comments,Comment.Create,Comment.Create,CommentCreate,Comment,match,
DELETE,/api/v1/objects/{objectId}/comments/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_objects_objectId_comments_id,Comment.DeleteOwnOrModerate,Comment.DeleteOwnOrModerate,path:id,DeletionReceipt,match,
GET,/api/v1/objects/{objectId}/comments/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_objects_objectId_comments_id,Comment.Read,Comment.Read,path:id,Comment,match,
PATCH,/api/v1/objects/{objectId}/comments/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_objects_objectId_comments_id,Comment.UpdateOwnOrModerate,Comment.UpdateOwnOrModerate,CommentPatch,Comment,match,
GET,/api/v1/objects/{objectId}/history,catalogs/api_catalog.csv,True,True,GET_api_v1_objects_objectId_history,History.Read,History.Read,"query:cursor,limit",Page<HistoryEntry>,match,
GET,/api/v1/objects/{objectId}/history/{version},catalogs/api_catalog.csv,True,True,GET_api_v1_objects_objectId_history_version,History.Read,History.Read,path:version,HistoryVersion,match,
GET,/api/v1/objects/{objectId}/links,catalogs/api_catalog.csv,True,True,GET_api_v1_objects_objectId_links,ObjectLink.Read,ObjectLink.Read,"query:type,page",Page<ObjectLink>,match,
POST,/api/v1/objects/{objectId}/links,catalogs/api_catalog.csv,True,True,POST_api_v1_objects_objectId_links,ObjectLink.Create,ObjectLink.Create,ObjectLinkCreate,ObjectLink,match,
DELETE,/api/v1/objects/{objectId}/links/{linkId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_objects_objectId_links_linkId,ObjectLink.Delete,ObjectLink.Delete,—,204,match,
PUT,/api/v1/objects/{objectId}/tags,catalogs/api_catalog.csv,True,True,PUT_api_v1_objects_objectId_tags,Tag.Assign,Tag.Assign,TagIds,Tag[],match,
GET,/api/v1/permissions,catalogs/api_catalog.csv,True,True,GET_api_v1_permissions,Role.Read,Role.Read,query:resource,Permission[],match,
GET,/api/v1/project-roles,catalogs/api_catalog.csv,True,True,GET_api_v1_project_roles,Project.Read,Project.Read,—,ProjectRole[],match,
PUT,/api/v1/project-roles/{id}/permissions,catalogs/api_catalog.csv,True,True,PUT_api_v1_project_roles_id_permissions,Role.Manage,Role.Manage,PermissionCodes,ProjectRole,match,
GET,/api/v1/projects,catalogs/api_catalog.csv,True,True,GET_api_v1_projects,Project.Read,Project.Read,"query: filter,sort,page,cursor",Page<Project>,match,
POST,/api/v1/projects,catalogs/api_catalog.csv,True,True,POST_api_v1_projects,Project.Create,Project.Create,ProjectCreate,Project,match,
DELETE,/api/v1/projects/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_projects_id,Project.Delete,Project.Delete,path:id,DeletionReceipt,match,
GET,/api/v1/projects/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_projects_id,Project.Read,Project.Read,path:id,Project,match,
PATCH,/api/v1/projects/{id},catalogs/api_catalog.csv,True,True,PATCH_api_v1_projects_id,Project.Update,Project.Update,ProjectPatch,Project,match,
POST,/api/v1/projects/{id}/archive,catalogs/api_catalog.csv,True,True,POST_api_v1_projects_id_archive,Project.Archive,Project.Archive,ArchiveRequest,Project,match,
GET,/api/v1/projects/{id}/history,catalogs/api_catalog.csv,True,True,GET_api_v1_projects_id_history,History.Read,History.Read,"query:cursor,page",Page<HistoryEntry>,match,
GET,/api/v1/projects/{id}/members,catalogs/api_catalog.csv,True,True,GET_api_v1_projects_id_members,Project.ManageMembers,Project.ManageMembers,"query:status,page",Page<ProjectMember>,match,
POST,/api/v1/projects/{id}/members,catalogs/api_catalog.csv,True,True,POST_api_v1_projects_id_members,Project.ManageMembers,Project.ManageMembers,ProjectMemberCreate,ProjectMember,match,
DELETE,/api/v1/projects/{id}/members/{userId},catalogs/api_catalog.csv,True,True,DELETE_api_v1_projects_id_members_userId,Project.ManageMembers,Project.ManageMembers,—,204,match,
PATCH,/api/v1/projects/{id}/members/{userId},catalogs/api_catalog.csv,True,True,PATCH_api_v1_projects_id_members_userId,Project.ManageMembers,Project.ManageMembers,ProjectMemberPatch,ProjectMember,match,
PUT,/api/v1/projects/{id}/members/{userId}/overrides,catalogs/api_catalog.csv,True,True,PUT_api_v1_projects_id_members_userId_overrides,Project.ManageMembers,Project.ManageMembers,PermissionOverrides,ProjectMember,match,
POST,/api/v1/projects/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_projects_id_restore,Project.Restore,Project.Restore,RestoreRequest,Project,match,
POST,/api/v1/projects/{id}/transfer-ownership,catalogs/api_catalog.csv,True,True,POST_api_v1_projects_id_transfer_ownership,Project.TransferOwnership,Project.TransferOwnership,TransferOwnershipRequest,Project,match,
POST,/api/v1/projects/{id}/unarchive,catalogs/api_catalog.csv,True,True,POST_api_v1_projects_id_unarchive,Project.Archive,Project.Archive,—,Project,match,
GET,/api/v1/realtime/negotiate,catalogs/api_catalog.csv,True,True,GET_api_v1_realtime_negotiate,Authenticated,Authenticated,query:cursor,RealtimeNegotiation,match,
GET,/api/v1/recurrence-series,catalogs/api_catalog.csv,True,True,GET_api_v1_recurrence_series,Task.Read,Task.Read,"query: filter,sort,page,cursor",Page<RecurrenceSeries>,match,
POST,/api/v1/recurrence-series,catalogs/api_catalog.csv,True,True,POST_api_v1_recurrence_series,Task.ManageRecurrence,Task.ManageRecurrence,RecurrenceSeriesCreate,RecurrenceSeries,match,
DELETE,/api/v1/recurrence-series/{id},catalogs/api_catalog.csv,True,True,DELETE_api_v1_recurrence_series_id,Task.ManageRecurrence,Task.ManageRecurrence,path:id,RecurrenceSeries,match,
GET,/api/v1/recurrence-series/{id},catalogs/api_catalog.csv,True,True,GET_api_v1_recurrence_series_id,Task.Read,Task.Read,path:id,RecurrenceSeries,match,
