AC ID,Categories,Module,One scenario,One expected result,Correct owner,Unambiguous test,No hidden tests,No FR/BR conflict,No duplicate,No MVP expansion,Known entities,Result,Evidence
AC-1917,stratified 10% remainder,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-243;DATA-002; scenario=Contract projection for FR-243
AC-1940,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-245;PERM-002; scenario=Permission denial for FR-245
AC-1941,permissions/partial access; security audit,MOD-003,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-246;PERM-003; scenario=Permission denial for FR-246
AC-1942,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-019;PERM-004; scenario=Permission denial for FR-019
AC-1943,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-020;PERM-004; scenario=Permission denial for FR-020
AC-1944,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-021;PERM-004; scenario=Permission denial for FR-021
AC-1945,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-022;PERM-004; scenario=Permission denial for FR-022
AC-1946,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-023;PERM-004; scenario=Permission denial for FR-023
AC-1947,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-024;PERM-004; scenario=Permission denial for FR-024
AC-1948,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-025;PERM-004; scenario=Permission denial for FR-025
AC-1949,permissions/partial access; security audit,MOD-004,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-247;PERM-004; scenario=Permission denial for FR-247
AC-1950,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-027;PERM-005; scenario=Permission denial for FR-027
AC-1951,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-028;PERM-005; scenario=Permission denial for FR-028
AC-1952,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-029;PERM-005; scenario=Permission denial for FR-029
AC-1953,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-030;PERM-005; scenario=Permission denial for FR-030
AC-1954,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-031;PERM-005; scenario=Permission denial for FR-031
AC-1955,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-032;PERM-005; scenario=Permission denial for FR-032
AC-1956,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-033;PERM-005; scenario=Permission denial for FR-033
AC-1957,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-034;PERM-005; scenario=Permission denial for FR-034
AC-1958,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-035;PERM-005; scenario=Permission denial for FR-035
AC-1959,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-036;PERM-005; scenario=Permission denial for FR-036
AC-1960,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-037;PERM-005; scenario=Permission denial for FR-037
AC-1961,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-038;PERM-005; scenario=Permission denial for FR-038
AC-1962,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-039;PERM-005; scenario=Permission denial for FR-039
AC-1963,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-040;PERM-005; scenario=Permission denial for FR-040
AC-1964,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-248;PERM-005; scenario=Permission denial for FR-248
AC-1965,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-249;PERM-005; scenario=Permission denial for FR-249
AC-1966,permissions/partial access; security audit,MOD-005,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-250;PERM-005; scenario=Permission denial for FR-250
AC-1967,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-042;PERM-006; scenario=Permission denial for FR-042
AC-1968,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-043;PERM-006; scenario=Permission denial for FR-043
AC-1969,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-044;PERM-006; scenario=Permission denial for FR-044
AC-1970,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-045;PERM-006; scenario=Permission denial for FR-045
AC-1971,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-046;PERM-006; scenario=Permission denial for FR-046
AC-1972,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-047;PERM-006; scenario=Permission denial for FR-047
AC-1973,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-048;PERM-006; scenario=Permission denial for FR-048
AC-1974,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-049;PERM-006; scenario=Permission denial for FR-049
AC-1975,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-050;PERM-006; scenario=Permission denial for FR-050
AC-1976,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-051;PERM-006; scenario=Permission denial for FR-051
AC-1977,permissions/partial access; security audit,MOD-006,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-251;PERM-006; scenario=Permission denial for FR-251
AC-1978,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-053;PERM-007; scenario=Permission denial for FR-053
AC-1979,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-054;PERM-007; scenario=Permission denial for FR-054
AC-1980,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-055;PERM-007; scenario=Permission denial for FR-055
AC-1981,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-056;PERM-007; scenario=Permission denial for FR-056
AC-1982,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-057;PERM-007; scenario=Permission denial for FR-057
AC-1983,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-058;PERM-007; scenario=Permission denial for FR-058
AC-1984,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-059;PERM-007; scenario=Permission denial for FR-059
AC-1985,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-060;PERM-007; scenario=Permission denial for FR-060
AC-1986,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-061;PERM-007; scenario=Permission denial for FR-061
AC-1987,permissions/partial access; security audit,MOD-007,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-252;PERM-007; scenario=Permission denial for FR-252
AC-1988,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-063;PERM-008; scenario=Permission denial for FR-063
AC-1989,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-064;PERM-008; scenario=Permission denial for FR-064
AC-1990,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-065;PERM-008; scenario=Permission denial for FR-065
AC-1991,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-066;PERM-008; scenario=Permission denial for FR-066
AC-1992,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-067;PERM-008; scenario=Permission denial for FR-067
AC-1993,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-068;PERM-008; scenario=Permission denial for FR-068
AC-1994,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-069;PERM-008; scenario=Permission denial for FR-069
AC-1995,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-070;PERM-008; scenario=Permission denial for FR-070
AC-1996,permissions/partial access; security audit,MOD-008,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-253;PERM-008; scenario=Permission denial for FR-253
AC-1997,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-072;PERM-009; scenario=Permission denial for FR-072
AC-1998,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-073;PERM-009; scenario=Permission denial for FR-073
AC-1999,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-074;PERM-009; scenario=Permission denial for FR-074
AC-2000,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-075;PERM-009; scenario=Permission denial for FR-075
AC-2001,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-076;PERM-009; scenario=Permission denial for FR-076
AC-2002,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-077;PERM-009; scenario=Permission denial for FR-077
AC-2003,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-078;PERM-009; scenario=Permission denial for FR-078
AC-2004,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-079;PERM-009; scenario=Permission denial for FR-079
AC-2005,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-080;PERM-009; scenario=Permission denial for FR-080
AC-2006,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-081;PERM-009; scenario=Permission denial for FR-081
AC-2007,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-082;PERM-009; scenario=Permission denial for FR-082
AC-2008,permissions/partial access; security audit,MOD-009,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-254;PERM-009; scenario=Permission denial for FR-254
AC-2009,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-084;PERM-010; scenario=Permission denial for FR-084
AC-2010,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-085;PERM-010; scenario=Permission denial for FR-085
AC-2011,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-086;PERM-010; scenario=Permission denial for FR-086
AC-2012,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-087;PERM-010; scenario=Permission denial for FR-087
AC-2013,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-088;PERM-010; scenario=Permission denial for FR-088
AC-2014,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-089;PERM-010; scenario=Permission denial for FR-089
AC-2015,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-090;PERM-010; scenario=Permission denial for FR-090
AC-2016,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-091;PERM-010; scenario=Permission denial for FR-091
AC-2017,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-092;PERM-010; scenario=Permission denial for FR-092
AC-2018,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-093;PERM-010; scenario=Permission denial for FR-093
AC-2019,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-094;PERM-010; scenario=Permission denial for FR-094
AC-2020,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-095;PERM-010; scenario=Permission denial for FR-095
AC-2021,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-096;PERM-010; scenario=Permission denial for FR-096
AC-2022,permissions/partial access; security audit,MOD-010,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-255;PERM-010; scenario=Permission denial for FR-255
AC-2023,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-098;PERM-011; scenario=Permission denial for FR-098
AC-2024,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-099;PERM-011; scenario=Permission denial for FR-099
AC-2025,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-100;PERM-011; scenario=Permission denial for FR-100
AC-2026,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-101;PERM-011; scenario=Permission denial for FR-101
AC-2027,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-102;PERM-011; scenario=Permission denial for FR-102
AC-2028,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-103;PERM-011; scenario=Permission denial for FR-103
AC-2029,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-104;PERM-011; scenario=Permission denial for FR-104
AC-2030,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-105;PERM-011; scenario=Permission denial for FR-105
AC-2031,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-106;PERM-011; scenario=Permission denial for FR-106
AC-2032,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-107;PERM-011; scenario=Permission denial for FR-107
AC-2033,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-108;PERM-011; scenario=Permission denial for FR-108
AC-2034,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-109;PERM-011; scenario=Permission denial for FR-109
AC-2035,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-110;PERM-011; scenario=Permission denial for FR-110
AC-2036,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-111;PERM-011; scenario=Permission denial for FR-111
AC-2037,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-112;PERM-011; scenario=Permission denial for FR-112
AC-2038,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-256;PERM-011; scenario=Permission denial for FR-256
AC-2039,permissions/partial access; security audit,MOD-011,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-257;PERM-011; scenario=Permission denial for FR-257
AC-2040,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-114;PERM-012; scenario=Permission denial for FR-114
AC-2041,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-115;PERM-012; scenario=Permission denial for FR-115
AC-2042,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-116;PERM-012; scenario=Permission denial for FR-116
AC-2043,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-117;PERM-012; scenario=Permission denial for FR-117
AC-2044,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-118;PERM-012; scenario=Permission denial for FR-118
AC-2045,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-119;PERM-012; scenario=Permission denial for FR-119
AC-2046,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-120;PERM-012; scenario=Permission denial for FR-120
AC-2047,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-121;PERM-012; scenario=Permission denial for FR-121
AC-2048,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-122;PERM-012; scenario=Permission denial for FR-122
AC-2049,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-123;PERM-012; scenario=Permission denial for FR-123
AC-2050,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-124;PERM-012; scenario=Permission denial for FR-124
AC-2051,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-125;PERM-012; scenario=Permission denial for FR-125
AC-2052,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-126;PERM-012; scenario=Permission denial for FR-126
AC-2053,permissions/partial access; security audit,MOD-012,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-127;PERM-012; scenario=Permission denial for FR-127
