Matrix source row,Requirement,Type,Module,Requirement title,Resolution status,API operationId,API method,API path,Permission,Server handler planned,Screen Stage 3.5,FLOW Stage 3.5,Test type,Source evidence,Resolution rationale
wave-b.csv:284,AC-1607,AC,MOD-010,[STATE-007] Field contract: PermissionOverrides.deny respects type/required/nullable/limits/PATCH semantics,resolved,PUT_api_v1_projects_id_members_userId_overrides,PUT,/api/v1/projects/{id}/members/{userId}/overrides,Project.ManageMembers,Task.Application.MOD-010.PUT_api_v1_projects_id_members_userId_overridesHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:284 Source='dto_field_catalog.csv:PermissionOverrides.deny; openapi.yaml operation PUT_api_v1_projects_id_members_userId_overrides'; openapi.yaml operationId PUT_api_v1_projects_id_members_userId_overrides = PUT /api/v1/projects/{id}/members/{userId}/overrides; traceability 4.5 FR-093 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId PUT_api_v1_projects_id_members_userId_overrides; method and path verified in openapi.yaml; permission confirmed via traceability FR-093.
wave-b.csv:285,AC-1608,AC,MOD-010,[STATE-007] Field contract: PermissionOverrides.expectedMemberVersion respects type/required/nullable/limits/PATCH semantics,resolved,PUT_api_v1_projects_id_members_userId_overrides,PUT,/api/v1/projects/{id}/members/{userId}/overrides,Project.ManageMembers,Task.Application.MOD-010.PUT_api_v1_projects_id_members_userId_overridesHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:285 Source='dto_field_catalog.csv:PermissionOverrides.expectedMemberVersion; openapi.yaml operation PUT_api_v1_projects_id_members_userId_overrides'; openapi.yaml operationId PUT_api_v1_projects_id_members_userId_overrides = PUT /api/v1/projects/{id}/members/{userId}/overrides; traceability 4.5 FR-093 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId PUT_api_v1_projects_id_members_userId_overrides; method and path verified in openapi.yaml; permission confirmed via traceability FR-093.
wave-b.csv:286,AC-1609,AC,MOD-010,[STATE-007] Field contract: ProjectCreate.ownerUserId respects type/required/nullable/limits/PATCH semantics,resolved,POST_api_v1_projects,POST,/api/v1/projects,Project.Create,Task.Application.MOD-010.POST_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:286 Source='dto_field_catalog.csv:ProjectCreate.ownerUserId; openapi.yaml operation POST_api_v1_projects'; openapi.yaml operationId POST_api_v1_projects = POST /api/v1/projects; traceability 4.5 FR-084 Permission=Project.Create,Source field of the matrix row confirms operationId POST_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-084.
wave-b.csv:287,AC-1610,AC,MOD-010,[STATE-007] Field contract: ProjectMemberCreate.projectRoleId respects type/required/nullable/limits/PATCH semantics,resolved,POST_api_v1_projects_id_members,POST,/api/v1/projects/{id}/members,Project.ManageMembers,Task.Application.MOD-010.POST_api_v1_projects_id_membersHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:287 Source='dto_field_catalog.csv:ProjectMemberCreate.projectRoleId; openapi.yaml operation POST_api_v1_projects_id_members'; openapi.yaml operationId POST_api_v1_projects_id_members = POST /api/v1/projects/{id}/members; traceability 4.5 FR-090 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId POST_api_v1_projects_id_members; method and path verified in openapi.yaml; permission confirmed via traceability FR-090.
wave-b.csv:288,AC-1837,AC,MOD-010,Permission denial for FR-083,resolved,GET_api_v1_projects,GET,/api/v1/projects,Project.Read,Task.Application.MOD-010.GET_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:288 Source='OpenAPI `GET_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId GET_api_v1_projects = GET /api/v1/projects; traceability 4.5 FR-083 Permission=Project.Read,Source field of the matrix row confirms operationId GET_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-083.
wave-b.csv:289,AC-1858,AC,MOD-010,Stable error handling for FR-083,resolved,GET_api_v1_projects,GET,/api/v1/projects,Project.Read,Task.Application.MOD-010.GET_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Error handling,implementation_matrix.csv wave-b.csv:289 Source='OpenAPI `GET_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement ERR-010'; openapi.yaml operationId GET_api_v1_projects = GET /api/v1/projects; traceability 4.5 FR-083 Permission=Project.Read,Source field of the matrix row confirms operationId GET_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-083.
wave-b.csv:291,AC-1900,AC,MOD-010,Audit evidence for FR-083,resolved,GET_api_v1_projects,GET,/api/v1/projects,Project.Read,Task.Application.MOD-010.GET_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Audit/security,implementation_matrix.csv wave-b.csv:291 Source='OpenAPI `GET_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement AUDIT-010'; openapi.yaml operationId GET_api_v1_projects = GET /api/v1/projects; traceability 4.5 FR-083 Permission=Project.Read,Source field of the matrix row confirms operationId GET_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-083.
wave-b.csv:292,AC-2009,AC,MOD-010,Permission denial for FR-084,resolved,POST_api_v1_projects,POST,/api/v1/projects,Project.Create,Task.Application.MOD-010.POST_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:292 Source='OpenAPI `POST_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects = POST /api/v1/projects; traceability 4.5 FR-084 Permission=Project.Create,Source field of the matrix row confirms operationId POST_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-084.
wave-b.csv:293,AC-2010,AC,MOD-010,Permission denial for FR-085,resolved,DELETE_api_v1_projects_id,DELETE,/api/v1/projects/{id},Project.Delete,Task.Application.MOD-010.DELETE_api_v1_projects_idHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:293 Source='OpenAPI `DELETE_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId DELETE_api_v1_projects_id = DELETE /api/v1/projects/{id}; traceability 4.5 FR-085 Permission=Project.Delete,Source field of the matrix row confirms operationId DELETE_api_v1_projects_id; method and path verified in openapi.yaml; permission confirmed via traceability FR-085.
wave-b.csv:294,AC-2011,AC,MOD-010,Permission denial for FR-086,resolved,GET_api_v1_projects_id,GET,/api/v1/projects/{id},Project.Read,Task.Application.MOD-010.GET_api_v1_projects_idHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:294 Source='OpenAPI `GET_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId GET_api_v1_projects_id = GET /api/v1/projects/{id}; traceability 4.5 FR-086 Permission=Project.Read,Source field of the matrix row confirms operationId GET_api_v1_projects_id; method and path verified in openapi.yaml; permission confirmed via traceability FR-086.
wave-b.csv:295,AC-2012,AC,MOD-010,Permission denial for FR-087,resolved,PATCH_api_v1_projects_id,PATCH,/api/v1/projects/{id},Project.Update,Task.Application.MOD-010.PATCH_api_v1_projects_idHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:295 Source='OpenAPI `PATCH_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId PATCH_api_v1_projects_id = PATCH /api/v1/projects/{id}; traceability 4.5 FR-087 Permission=Project.Update,Source field of the matrix row confirms operationId PATCH_api_v1_projects_id; method and path verified in openapi.yaml; permission confirmed via traceability FR-087.
wave-b.csv:296,AC-2013,AC,MOD-010,Permission denial for FR-088,resolved,POST_api_v1_projects_id_archive,POST,/api/v1/projects/{id}/archive,Project.Archive,Task.Application.MOD-010.POST_api_v1_projects_id_archiveHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:296 Source='OpenAPI `POST_api_v1_projects_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects_id_archive = POST /api/v1/projects/{id}/archive; traceability 4.5 FR-088 Permission=Project.Archive,Source field of the matrix row confirms operationId POST_api_v1_projects_id_archive; method and path verified in openapi.yaml; permission confirmed via traceability FR-088.
wave-b.csv:297,AC-2014,AC,MOD-010,Permission denial for FR-089,resolved,GET_api_v1_projects_id_members,GET,/api/v1/projects/{id}/members,Project.ManageMembers,Task.Application.MOD-010.GET_api_v1_projects_id_membersHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:297 Source='OpenAPI `GET_api_v1_projects_id_members`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId GET_api_v1_projects_id_members = GET /api/v1/projects/{id}/members; traceability 4.5 FR-089 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId GET_api_v1_projects_id_members; method and path verified in openapi.yaml; permission confirmed via traceability FR-089.
wave-b.csv:298,AC-2015,AC,MOD-010,Permission denial for FR-090,resolved,POST_api_v1_projects_id_members,POST,/api/v1/projects/{id}/members,Project.ManageMembers,Task.Application.MOD-010.POST_api_v1_projects_id_membersHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:298 Source='OpenAPI `POST_api_v1_projects_id_members`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects_id_members = POST /api/v1/projects/{id}/members; traceability 4.5 FR-090 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId POST_api_v1_projects_id_members; method and path verified in openapi.yaml; permission confirmed via traceability FR-090.
wave-b.csv:299,AC-2016,AC,MOD-010,Permission denial for FR-091,resolved,DELETE_api_v1_projects_id_members_userId,DELETE,/api/v1/projects/{id}/members/{userId},Project.ManageMembers,Task.Application.MOD-010.DELETE_api_v1_projects_id_members_userIdHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:299 Source='OpenAPI `DELETE_api_v1_projects_id_members_userId`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId DELETE_api_v1_projects_id_members_userId = DELETE /api/v1/projects/{id}/members/{userId}; traceability 4.5 FR-091 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId DELETE_api_v1_projects_id_members_userId; method and path verified in openapi.yaml; permission confirmed via traceability FR-091.
wave-b.csv:300,AC-2017,AC,MOD-010,Permission denial for FR-092,resolved,PATCH_api_v1_projects_id_members_userId,PATCH,/api/v1/projects/{id}/members/{userId},Project.ManageMembers,Task.Application.MOD-010.PATCH_api_v1_projects_id_members_userIdHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:300 Source='OpenAPI `PATCH_api_v1_projects_id_members_userId`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId PATCH_api_v1_projects_id_members_userId = PATCH /api/v1/projects/{id}/members/{userId}; traceability 4.5 FR-092 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId PATCH_api_v1_projects_id_members_userId; method and path verified in openapi.yaml; permission confirmed via traceability FR-092.
wave-b.csv:301,AC-2018,AC,MOD-010,Permission denial for FR-093,resolved,PUT_api_v1_projects_id_members_userId_overrides,PUT,/api/v1/projects/{id}/members/{userId}/overrides,Project.ManageMembers,Task.Application.MOD-010.PUT_api_v1_projects_id_members_userId_overridesHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:301 Source='OpenAPI `PUT_api_v1_projects_id_members_userId_overrides`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId PUT_api_v1_projects_id_members_userId_overrides = PUT /api/v1/projects/{id}/members/{userId}/overrides; traceability 4.5 FR-093 Permission=Project.ManageMembers,Source field of the matrix row confirms operationId PUT_api_v1_projects_id_members_userId_overrides; method and path verified in openapi.yaml; permission confirmed via traceability FR-093.
wave-b.csv:302,AC-2019,AC,MOD-010,Permission denial for FR-094,resolved,POST_api_v1_projects_id_restore,POST,/api/v1/projects/{id}/restore,Project.Restore,Task.Application.MOD-010.POST_api_v1_projects_id_restoreHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:302 Source='OpenAPI `POST_api_v1_projects_id_restore`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects_id_restore = POST /api/v1/projects/{id}/restore; traceability 4.5 FR-094 Permission=Project.Restore,Source field of the matrix row confirms operationId POST_api_v1_projects_id_restore; method and path verified in openapi.yaml; permission confirmed via traceability FR-094.
wave-b.csv:303,AC-2020,AC,MOD-010,Permission denial for FR-095,resolved,POST_api_v1_projects_id_transfer_ownership,POST,/api/v1/projects/{id}/transfer-ownership,Project.TransferOwnership,Task.Application.MOD-010.POST_api_v1_projects_id_transfer_ownershipHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:303 Source='OpenAPI `POST_api_v1_projects_id_transfer_ownership`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects_id_transfer_ownership = POST /api/v1/projects/{id}/transfer-ownership; traceability 4.5 FR-095 Permission=Project.TransferOwnership,Source field of the matrix row confirms operationId POST_api_v1_projects_id_transfer_ownership; method and path verified in openapi.yaml; permission confirmed via traceability FR-095.
wave-b.csv:304,AC-2021,AC,MOD-010,Permission denial for FR-096,resolved,POST_api_v1_projects_id_unarchive,POST,/api/v1/projects/{id}/unarchive,Project.Archive,Task.Application.MOD-010.POST_api_v1_projects_id_unarchiveHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:304 Source='OpenAPI `POST_api_v1_projects_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement PERM-010'; openapi.yaml operationId POST_api_v1_projects_id_unarchive = POST /api/v1/projects/{id}/unarchive; traceability 4.5 FR-096 Permission=Project.Archive,Source field of the matrix row confirms operationId POST_api_v1_projects_id_unarchive; method and path verified in openapi.yaml; permission confirmed via traceability FR-096.
wave-b.csv:305,AC-2022,AC,MOD-010,Permission denial for FR-255,unresolved,,,,,,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:305 title='Permission denial for FR-255'; traceability 4.5 FR-255 API cell='Desktop-only; использует существующие read/command API при необходимости'.,FR-255 is Desktop-only with no dedicated API operation; the allowed sources confirm no server operation for this AC.
wave-b.csv:306,AC-2267,AC,MOD-010,Stable error handling for FR-084,resolved,POST_api_v1_projects,POST,/api/v1/projects,Project.Create,Task.Application.MOD-010.POST_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Error handling,implementation_matrix.csv wave-b.csv:306 Source='OpenAPI `POST_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement ERR-010'; openapi.yaml operationId POST_api_v1_projects = POST /api/v1/projects; traceability 4.5 FR-084 Permission=Project.Create,Source field of the matrix row confirms operationId POST_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-084.
wave-b.csv:307,AC-2268,AC,MOD-010,Stable error handling for FR-085,resolved,DELETE_api_v1_projects_id,DELETE,/api/v1/projects/{id},Project.Delete,Task.Application.MOD-010.DELETE_api_v1_projects_idHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Error handling,implementation_matrix.csv wave-b.csv:307 Source='OpenAPI `DELETE_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement ERR-010'; openapi.yaml operationId DELETE_api_v1_projects_id = DELETE /api/v1/projects/{id}; traceability 4.5 FR-085 Permission=Project.Delete,Source field of the matrix row confirms operationId DELETE_api_v1_projects_id; method and path verified in openapi.yaml; permission confirmed via traceability FR-085.
wave-b.csv:308,AC-2269,AC,MOD-010,Stable error handling for FR-086,resolved,GET_api_v1_projects_id,GET,/api/v1/projects/{id},Project.Read,Task.Application.MOD-010.GET_api_v1_projects_idHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Error handling,implementation_matrix.csv wave-b.csv:308 Source='OpenAPI `GET_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv; cross-cutting requirement ERR-010'; openapi.yaml operationId GET_api_v1_projects_id = GET /api/v1/projects/{id}; traceability 4.5 FR-086 Permission=Project.Read,Source field of the matrix row confirms operationId GET_api_v1_projects_id; method and path verified in openapi.yaml; permission confirmed via traceability FR-086.
