Requirement,Type,Module,Module name,Requirement title,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source
BR-011,BR,ALL,Все модули (Wave A: 9 модулей),Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,—,—,—,—,—,—,AC-011,Integration/contract,High,ADR-009; архитектура
BR-012,BR,ALL,Все модули (Wave A: 9 модулей),Realtime signal является invalidation; durable recovery выполняется через change feed.,—,—,—,—,—,—,AC-012,Integration/contract,High,ADR-005
BR-013,BR,ALL,Все модули (Wave A: 9 модулей),Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,—,—,—,—,—,—,AC-013,Integration/contract,High,DEC-040; Search Contract
BR-014,BR,ALL,Все модули (Wave A: 9 модулей),UI hidden/disabled state не заменяет server-side permission check.,—,—,—,—,—,—,AC-014,Integration/contract,Critical,DEC-030
BR-015,BR,ALL,Все модули (Wave A: 9 модулей),PATCH omitted означает unchanged; explicit null очищает только nullable field.,—,—,—,—,—,—,AC-015,Integration/contract,High,DEC-037
BR-113,BR,ALL,Все модули (Wave A: 9 модулей),"Analytics не хранит полный query, PII, paths, secrets или notification contents; product/diagnostic/audit разделены.",—,—,—,—,SCR-133 Глобальный поиск; SCR-153 Notifications и DND,"FLOW-019 Глобальный поиск; FLOW-038 Управление организационной шкалой срочности (Stage 4.5, DEC-060)",AC-1823,Privacy,Critical,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation
FR-001,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `User.ResetPassword` выполнить действие «Администратор задаёт временный пароль» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-098;AC-099;AC-100;AC-101;AC-102;AC-103,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv
DATA-001,DATA,MOD-001,Авторизация и сессии,Данные модуля: DTO/агрегаты и их поля по OpenAPI,— (операции модуля),—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1436;AC-1437;AC-1438;AC-1439;AC-1440;AC-1441;AC-1442;AC-1443;AC-1444;AC-1445;AC-1446,Boundary/contract UI,High,DEC-036/037/041
PERM-001,PERM,MOD-001,Авторизация и сессии,Права модуля: capabilities и scopes по OpenAPI,— (операции модуля),—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1828;AC-1923;AC-1924;AC-1925;AC-1926;AC-1927;AC-1928;AC-1929;AC-1930;AC-1931;AC-1932,Security/authorization,Critical,DEC-004/030; OpenAPI
ERR-001,ERR,MOD-001,Авторизация и сессии,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",— (операции модуля),—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1849;AC-2181;AC-2182;AC-2183;AC-2184;AC-2185;AC-2186;AC-2187;AC-2188;AC-2189;AC-2190,Error handling,High,errors.csv; State Matrix
SYNC-001,SYNC,MOD-001,Авторизация и сессии,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",GET_api_v1_sync_changes; POST_api_v1_sync_bootstrap; POST_api_v1_sync_ack,GET /api/v1/sync/changes; POST /api/v1/sync/bootstrap; POST /api/v1/sync/ack,—,OrganizerController.GET_api_v1_sync_changes; OrganizerController.POST_api_v1_sync_bootstrap; OrganizerController.POST_api_v1_sync_ack,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1870;AC-2439;AC-2440;AC-2441;AC-2442;AC-2443;AC-2444;AC-2445;AC-2446;AC-2447;AC-2448,Desktop/resilience,High,ADR-005/015; DEC-006/032
AUDIT-001,AUDIT,MOD-001,Авторизация и сессии,"Аудит и история действий модуля (append-only, redaction-aware)",— (domain command + audit/history endpoints),—,—,— (domain handlers + audit pipeline),SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1891;AC-2697;AC-2698;AC-2699;AC-2700;AC-2701;AC-2702;AC-2703;AC-2704;AC-2705;AC-2706,Audit/security,Critical,Architecture audit principles; OpenAPI side effects
FR-002,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Смена собственного пароля» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-104;AC-105;AC-106;AC-107;AC-108;AC-109,Contract/integration; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration,Critical; High,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv
FR-003,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Anonymous` выполнить действие «Вход по логину/паролю» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_login,POST /api/v1/auth/login,Anonymous,OrganizerController.POST_api_v1_auth_login,SCR-001 Вход,FLOW-001 Первый вход,AC-110;AC-111;AC-112,Contract/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability_Final_3.5.csv
FR-004,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `SecurityAudit.Read` выполнить действие «Журнал входов» и считать его успешным только после подтверждения сервера.,GET_api_v1_auth_login_attempts,GET /api/v1/auth/login-attempts,SecurityAudit.Read,OrganizerController.GET_api_v1_auth_login_attempts,SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-113;AC-114;AC-115,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability_Final_3.5.csv
FR-005,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Завершить текущую сессию» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_logout,POST /api/v1/auth/logout,Authenticated,OrganizerController.POST_api_v1_auth_logout,SCR-161 Мои devices и sessions,FLOW-003 Истечение сессии,AC-116;AC-117;AC-118,Contract/integration; Security/session; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability_Final_3.5.csv
FR-006,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Отозвать все сессии пользователя» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_logout_all,POST /api/v1/auth/logout-all,Authenticated,OrganizerController.POST_api_v1_auth_logout_all,SCR-152 Пароль и безопасность; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-119;AC-120;AC-121;AC-122;AC-123,Contract/integration; Security/session; Concurrency/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability_Final_3.5.csv
FR-007,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Anonymous.SessionRefresh` выполнить действие «Ротация refresh token» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_refresh,POST /api/v1/auth/refresh,Anonymous.SessionRefresh,OrganizerController.POST_api_v1_auth_refresh,SCR-006 Сессия прервана,FLOW-002 Обычный вход; FLOW-003 Истечение сессии; FLOW-024 Восстановление соединения,AC-124;AC-125;AC-126;AC-127,Contract/integration; Security/session; Concurrency/integration; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_refresh`; Stage_3_Field_Traceability_Final_3.5.csv
FR-008,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Текущая сессия и capabilities» и считать его успешным только после подтверждения сервера.,GET_api_v1_auth_session,GET /api/v1/auth/session,Authenticated,OrganizerController.GET_api_v1_auth_session,SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-002 Обычный вход; FLOW-003 Истечение сессии; FLOW-024 Восстановление соединения,AC-128;AC-129,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_session`; Stage_3_Field_Traceability_Final_3.5.csv
FR-009,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Session.ReadOwnOrAll` выполнить действие «Список собственных/разрешённых сессий» и считать его успешным только после подтверждения сервера.,GET_api_v1_auth_sessions,GET /api/v1/auth/sessions,Session.ReadOwnOrAll,OrganizerController.GET_api_v1_auth_sessions,SCR-161 Мои devices и sessions; SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-130;AC-131;AC-132,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_sessions`; Stage_3_Field_Traceability_Final_3.5.csv
FR-010,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Session.RevokeOwnOrAll` выполнить действие «Отозвать сессию» и считать его успешным только после подтверждения сервера.,POST_api_v1_auth_sessions_sessionId_revoke,POST /api/v1/auth/sessions/{sessionId}/revoke,Session.RevokeOwnOrAll,OrganizerController.POST_api_v1_auth_sessions_sessionId_revoke,SCR-161 Мои devices и sessions; SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-133;AC-134;AC-135;AC-136,Contract/integration; Security/authorization; Security/session; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_sessions_sessionId_revoke`; Stage_3_Field_Traceability_Final_3.5.csv
BR-016,BR,MOD-001,Авторизация и сессии,Каждый сотрудник использует отдельную учётную запись.,—,—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-016,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5"
BR-017,BR,MOD-001,Авторизация и сессии,Refresh token ротируется; повторное использование завершает семейство сессий.,—,—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-017,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5"
BR-018,BR,MOD-001,Авторизация и сессии,Блокировка или деактивация пользователя отзывает активные сессии.,—,—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-018,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5"
BR-019,BR,MOD-001,Авторизация и сессии,"Клиент не раскрывает, логин или пароль были неверны.",—,—,—,—,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-019,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5"
FR-242,FR,MOD-001,Авторизация и сессии,Клиент должен хранить refresh secret только в Windows Credential Manager и очищать его при revoke/reuse.,"— (Desktop-only, без нового API)","— (Desktop-only, без нового API)",Capability-driven; server recheck для команд,"— (Desktop-only, без нового API)",SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1403,Desktop/UI,High,Stage 3.5 UX Architecture/Decision Log
DATA-002,DATA,MOD-002,App shell и навигация,Данные модуля: DTO/агрегаты и их поля по OpenAPI,— (операции модуля),—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1825;AC-1912;AC-1913;AC-1914;AC-1915;AC-1916;AC-1917;AC-1918;AC-1919,Contract/UI,High,DEC-036/037/041
PERM-002,PERM,MOD-002,App shell и навигация,Права модуля: capabilities и scopes по OpenAPI,— (операции модуля),—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1829;AC-1933;AC-1934;AC-1935;AC-1936;AC-1937;AC-1938;AC-1939;AC-1940,Security/authorization,Critical,DEC-004/030; OpenAPI
ERR-002,ERR,MOD-002,App shell и навигация,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",— (операции модуля),—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1850;AC-2191;AC-2192;AC-2193;AC-2194;AC-2195;AC-2196;AC-2197;AC-2198,Error handling,High,errors.csv; State Matrix
SYNC-002,SYNC,MOD-002,App shell и навигация,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",GET_api_v1_sync_changes; POST_api_v1_sync_bootstrap; POST_api_v1_sync_ack,GET /api/v1/sync/changes; POST /api/v1/sync/bootstrap; POST /api/v1/sync/ack,—,OrganizerController.GET_api_v1_sync_changes; OrganizerController.POST_api_v1_sync_bootstrap; OrganizerController.POST_api_v1_sync_ack,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1871;AC-2449;AC-2450;AC-2451;AC-2452;AC-2453;AC-2454;AC-2455;AC-2456,Desktop/resilience,High,ADR-005/015; DEC-006/032
AUDIT-002,AUDIT,MOD-002,App shell и навигация,"Аудит и история действий модуля (append-only, redaction-aware)",— (domain command + audit/history endpoints),—,—,— (domain handlers + audit pipeline),"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1892;AC-2707;AC-2708;AC-2709;AC-2710;AC-2711;AC-2712;AC-2713;AC-2714,Audit/security,Critical,Architecture audit principles; OpenAPI side effects
FR-011,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Серверное UTC-время» и считать его успешным только после подтверждения сервера.,GET_api_v1_system_time,GET /api/v1/system/time,Authenticated,OrganizerController.GET_api_v1_system_time,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-137;AC-138,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_system_time`; Stage_3_Field_Traceability_Final_3.5.csv
FR-012,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Версия сервера/API/схемы» и считать его успешным только после подтверждения сервера.,GET_api_v1_system_version,GET /api/v1/system/version,Authenticated,OrganizerController.GET_api_v1_system_version,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-139;AC-140,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_system_version`; Stage_3_Field_Traceability_Final_3.5.csv
FR-013,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Anonymous` выполнить действие «Liveness без зависимостей» и считать его успешным только после подтверждения сервера.,GET_health_live,GET /health/live,Anonymous,OrganizerController.GET_health_live,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-141,Contract/integration,High,OpenAPI `GET_health_live`; Stage_3_Field_Traceability_Final_3.5.csv
FR-014,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Anonymous` выполнить действие «Readiness основных зависимостей» и считать его успешным только после подтверждения сервера.,GET_health_ready,GET /health/ready,Anonymous,OrganizerController.GET_health_ready,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-142,Contract/integration,High,OpenAPI `GET_health_ready`; Stage_3_Field_Traceability_Final_3.5.csv
FR-015,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Возможности сервера и min client» и считать его успешным только после подтверждения сервера.,GET_api_v1_capabilities,GET /api/v1/capabilities,Authenticated,OrganizerController.GET_api_v1_capabilities,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-143;AC-144,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_capabilities`; Stage_3_Field_Traceability_Final_3.5.csv
FR-016,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Доступные пользователю флаги» и считать его успешным только после подтверждения сервера.,GET_api_v1_feature_flags,GET /api/v1/feature-flags,Authenticated,OrganizerController.GET_api_v1_feature_flags,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-145;AC-146,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_feature_flags`; Stage_3_Field_Traceability_Final_3.5.csv
BR-020,BR,MOD-002,App shell и навигация,Маршрут восстанавливается только после повторной авторизации.,—,—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-020,Integration/domain,High,"§8, §17.2, §23.5, §29; Stage 3.5"
BR-021,BR,MOD-002,App shell и навигация,"Command bar, context menu и palette используют единый command registry.",—,—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-021,Integration/domain,High,"§8, §17.2, §23.5, §29; Stage 3.5"
BR-022,BR,MOD-002,App shell и навигация,Скрытая кнопка не является проверкой permission.,—,—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-022,Integration/domain,High,"§8, §17.2, §23.5, §29; Stage 3.5"
BR-023,BR,MOD-002,App shell и навигация,Deep link не раскрывает данные скрытого объекта.,—,—,—,—,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-023,Integration/domain,High,"§8, §17.2, §23.5, §29; Stage 3.5"
FR-243,FR,MOD-002,App shell и навигация,"Shell search должен представлять employee results отдельной озвучиваемой группой «Сотрудники» и сохранять keyboard navigation, active descendant, focus order и non-color status/redaction semantics.","— (Desktop-only, без нового API)","— (Desktop-only, без нового API)",Capability-driven; server recheck для команд,"— (Desktop-only, без нового API)","SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1404,Desktop/UI,High,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation
