Requirement,Type,Module,Module name,Requirement title,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source
ERR-010,ERR,MOD-010,Проекты,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",— (операции модуля),—,—,—,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-1858;AC-2267;AC-2268;AC-2269;AC-2270;AC-2271;AC-2272;AC-2273;AC-2274;AC-2275;AC-2276;AC-2277;AC-2278;AC-2279;AC-2280,Error handling,High,errors.csv; State Matrix
SYNC-010,SYNC,MOD-010,Проекты,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",GET_api_v1_sync_changes; POST_api_v1_sync_bootstrap; POST_api_v1_sync_ack,GET /api/v1/sync/changes; POST /api/v1/sync/bootstrap; POST /api/v1/sync/ack,—,OrganizerController.GET_api_v1_sync_changes; OrganizerController.POST_api_v1_sync_bootstrap; OrganizerController.POST_api_v1_sync_ack,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-1879;AC-2525;AC-2526;AC-2527;AC-2528;AC-2529;AC-2530;AC-2531;AC-2532;AC-2533;AC-2534;AC-2535;AC-2536;AC-2537;AC-2538,Desktop/resilience,High,ADR-005/015; DEC-006/032
AUDIT-010,AUDIT,MOD-010,Проекты,"Аудит и история действий модуля (append-only, redaction-aware)",— (domain command + audit/history endpoints),—,—,— (domain handlers + audit pipeline),SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-1900;AC-2783;AC-2784;AC-2785;AC-2786;AC-2787;AC-2788;AC-2789;AC-2790;AC-2791;AC-2792;AC-2793;AC-2794;AC-2795;AC-2796,Audit/security,Critical,Architecture audit principles; OpenAPI side effects
BR-051,BR,MOD-010,Проекты,У проекта всегда остаётся владелец.,—,—,—,—,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-051,Integration/domain,High,"§13, §27.1.7–8, §29, §33; Stage 3.5"
BR-052,BR,MOD-010,Проекты,Завершение проекта и архивирование различаются.,—,—,—,—,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-052,Integration/domain,High,"§13, §27.1.7–8, §29, §33; Stage 3.5"
BR-053,BR,MOD-010,Проекты,Удаление проекта не удаляет каскадно Task и физические файлы.,—,—,—,—,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-053,Integration/domain,High,"§13, §27.1.7–8, §29, §33; Stage 3.5"
BR-054,BR,MOD-010,Проекты,Explicit deny сильнее allow; сервер пересчитывает scopeVersion.,—,—,—,—,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-054,Integration/domain,High,"§13, §27.1.7–8, §29, §33; Stage 3.5"
FR-083,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Read` выполнить действие «Список проект» и считать его успешным только после подтверждения сервера.,GET_api_v1_projects,GET /api/v1/projects,Project.Read,OrganizerController.GET_api_v1_projects,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-543;AC-544;AC-545,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv
FR-084,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Create` выполнить действие «Создать проект» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects,POST /api/v1/projects,Project.Create,OrganizerController.POST_api_v1_projects,SCR-070 Создать/редактировать проект,FLOW-013 Создание проекта,AC-546;AC-547;AC-548;AC-549;AC-550;AC-551;AC-552,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration,Critical; High,OpenAPI `POST_api_v1_projects`; Stage_3_Field_Traceability_Final_3.5.csv
FR-085,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Delete` выполнить действие «Переместить проект в корзину» и считать его успешным только после подтверждения сервера.,DELETE_api_v1_projects_id,DELETE /api/v1/projects/{id},Project.Delete,OrganizerController.DELETE_api_v1_projects_id,SCR-072 Lifecycle проекта,FLOW-027 Перемещение в корзину,AC-553;AC-554;AC-555;AC-556;AC-557;AC-558,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `DELETE_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv
FR-086,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Read` выполнить действие «Получить проект» и считать его успешным только после подтверждения сервера.,GET_api_v1_projects_id,GET /api/v1/projects/{id},Project.Read,OrganizerController.GET_api_v1_projects_id,SCR-070 Создать/редактировать проект,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-559;AC-560;AC-561,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv
FR-087,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Update` выполнить действие «Изменить проект» и считать его успешным только после подтверждения сервера.,PATCH_api_v1_projects_id,PATCH /api/v1/projects/{id},Project.Update,OrganizerController.PATCH_api_v1_projects_id,SCR-070 Создать/редактировать проект,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-562;AC-563;AC-564;AC-565;AC-566;AC-567;AC-568,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `PATCH_api_v1_projects_id`; Stage_3_Field_Traceability_Final_3.5.csv
FR-088,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Archive` выполнить действие «Архивировать проект» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects_id_archive,POST /api/v1/projects/{id}/archive,Project.Archive,OrganizerController.POST_api_v1_projects_id_archive,SCR-072 Lifecycle проекта,FLOW-026 Архивирование; FLOW-035 Завершение и архивирование проекта,AC-569;AC-570;AC-571;AC-572;AC-573;AC-574;AC-575;AC-576,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_projects_id_archive`; Stage_3_Field_Traceability_Final_3.5.csv
FR-089,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.ManageMembers` выполнить действие «Участники проекта» и считать его успешным только после подтверждения сервера.,GET_api_v1_projects_id_members,GET /api/v1/projects/{id}/members,Project.ManageMembers,OrganizerController.GET_api_v1_projects_id_members,SCR-064 Проект: участники,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-577;AC-578;AC-579,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_projects_id_members`; Stage_3_Field_Traceability_Final_3.5.csv
FR-090,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.ManageMembers` выполнить действие «Добавить участника» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects_id_members,POST /api/v1/projects/{id}/members,Project.ManageMembers,OrganizerController.POST_api_v1_projects_id_members,SCR-064 Проект: участники,FLOW-014 Добавление участника; FLOW-030 Изменение permissions,AC-580;AC-581;AC-582;AC-583;AC-584;AC-585;AC-586;AC-587,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_projects_id_members`; Stage_3_Field_Traceability_Final_3.5.csv
FR-091,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.ManageMembers` выполнить действие «Удалить участника» и считать его успешным только после подтверждения сервера.,DELETE_api_v1_projects_id_members_userId,DELETE /api/v1/projects/{id}/members/{userId},Project.ManageMembers,OrganizerController.DELETE_api_v1_projects_id_members_userId,SCR-064 Проект: участники,FLOW-014 Добавление участника; FLOW-030 Изменение permissions,AC-588;AC-589;AC-590;AC-591;AC-592;AC-593;AC-594,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `DELETE_api_v1_projects_id_members_userId`; Stage_3_Field_Traceability_Final_3.5.csv
FR-092,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.ManageMembers` выполнить действие «Изменить роль участника» и считать его успешным только после подтверждения сервера.,PATCH_api_v1_projects_id_members_userId,PATCH /api/v1/projects/{id}/members/{userId},Project.ManageMembers,OrganizerController.PATCH_api_v1_projects_id_members_userId,SCR-064 Проект: участники,FLOW-014 Добавление участника; FLOW-030 Изменение permissions,AC-595;AC-596;AC-597;AC-598;AC-599;AC-600;AC-601;AC-602,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `PATCH_api_v1_projects_id_members_userId`; Stage_3_Field_Traceability_Final_3.5.csv
FR-093,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.ManageMembers` выполнить действие «Задать permission overrides» и считать его успешным только после подтверждения сервера.,PUT_api_v1_projects_id_members_userId_overrides,PUT /api/v1/projects/{id}/members/{userId}/overrides,Project.ManageMembers,OrganizerController.PUT_api_v1_projects_id_members_userId_overrides,SCR-071 Project role/overrides,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-603;AC-604;AC-605;AC-606;AC-607;AC-608;AC-609;AC-610,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `PUT_api_v1_projects_id_members_userId_overrides`; Stage_3_Field_Traceability_Final_3.5.csv
FR-094,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Restore` выполнить действие «Восстановить проект» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects_id_restore,POST /api/v1/projects/{id}/restore,Project.Restore,OrganizerController.POST_api_v1_projects_id_restore,SCR-072 Lifecycle проекта,FLOW-028 Восстановление из корзины,AC-611;AC-612;AC-613;AC-614;AC-615;AC-616;AC-617;AC-618,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_projects_id_restore`; Stage_3_Field_Traceability_Final_3.5.csv
FR-095,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.TransferOwnership` выполнить действие «Передать владение проектом» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects_id_transfer_ownership,POST /api/v1/projects/{id}/transfer-ownership,Project.TransferOwnership,OrganizerController.POST_api_v1_projects_id_transfer_ownership,SCR-064 Проект: участники,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-619;AC-620;AC-621;AC-622;AC-623;AC-624;AC-625;AC-626,Contract/integration; Security/authorization; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_projects_id_transfer_ownership`; Stage_3_Field_Traceability_Final_3.5.csv
FR-096,FR,MOD-010,Проекты,Система должна позволять пользователю с capability `Project.Archive` выполнить действие «Вернуть проект из архива» и считать его успешным только после подтверждения сервера.,POST_api_v1_projects_id_unarchive,POST /api/v1/projects/{id}/unarchive,Project.Archive,OrganizerController.POST_api_v1_projects_id_unarchive,SCR-072 Lifecycle проекта,FLOW-026 Архивирование,AC-627;AC-628;AC-629;AC-630;AC-631;AC-632,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Lifecycle/integration,Critical; High,OpenAPI `POST_api_v1_projects_id_unarchive`; Stage_3_Field_Traceability_Final_3.5.csv
FR-255,FR,MOD-010,Проекты,Project tabs должны сохранять единый context и скрывать недоступные relations без скрытых counts.,"— (Desktop-only, без нового API)","— (Desktop-only, без нового API)",Capability-driven; server recheck для команд,"— (Desktop-only, без нового API)",SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,AC-1418;AC-1419,Desktop/UI; Security/UI,High; Critical,Stage 3.5 UX Architecture/Decision Log
DATA-011,DATA,MOD-011,Файловый каталог,Данные модуля: DTO/агрегаты и их поля по OpenAPI,— (операции модуля),—,—,—,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-1611;AC-1612;AC-1613;AC-1614;AC-1615;AC-1616;AC-1617;AC-1618;AC-1619;AC-1620;AC-1621;AC-1622;AC-1623;AC-1624;AC-1625;AC-1626;AC-1627;AC-1628;AC-1629;AC-1630;AC-1631;AC-1632;AC-1633;AC-1634,Boundary/contract UI,High,DEC-036/037/041
PERM-011,PERM,MOD-011,Файловый каталог,Права модуля: capabilities и scopes по OpenAPI,— (операции модуля),—,—,—,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-1838;AC-2023;AC-2024;AC-2025;AC-2026;AC-2027;AC-2028;AC-2029;AC-2030;AC-2031;AC-2032;AC-2033;AC-2034;AC-2035;AC-2036;AC-2037;AC-2038;AC-2039,Security/authorization,Critical,DEC-004/030; OpenAPI
ERR-011,ERR,MOD-011,Файловый каталог,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",— (операции модуля),—,—,—,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-1859;AC-2281;AC-2282;AC-2283;AC-2284;AC-2285;AC-2286;AC-2287;AC-2288;AC-2289;AC-2290;AC-2291;AC-2292;AC-2293;AC-2294;AC-2295;AC-2296;AC-2297,Error handling,High,errors.csv; State Matrix
SYNC-011,SYNC,MOD-011,Файловый каталог,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",GET_api_v1_sync_changes; POST_api_v1_sync_bootstrap; POST_api_v1_sync_ack,GET /api/v1/sync/changes; POST /api/v1/sync/bootstrap; POST /api/v1/sync/ack,—,OrganizerController.GET_api_v1_sync_changes; OrganizerController.POST_api_v1_sync_bootstrap; OrganizerController.POST_api_v1_sync_ack,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-1880;AC-2539;AC-2540;AC-2541;AC-2542;AC-2543;AC-2544;AC-2545;AC-2546;AC-2547;AC-2548;AC-2549;AC-2550;AC-2551;AC-2552;AC-2553;AC-2554;AC-2555,Desktop/resilience,High,ADR-005/015; DEC-006/032
AUDIT-011,AUDIT,MOD-011,Файловый каталог,"Аудит и история действий модуля (append-only, redaction-aware)",— (domain command + audit/history endpoints),—,—,— (domain handlers + audit pipeline),SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-1901;AC-2797;AC-2798;AC-2799;AC-2800;AC-2801;AC-2802;AC-2803;AC-2804;AC-2805;AC-2806;AC-2807;AC-2808;AC-2809;AC-2810;AC-2811;AC-2812;AC-2813,Audit/security,Critical,Architecture audit principles; OpenAPI side effects
BR-055,BR,MOD-011,Файловый каталог,Приложение хранит только metadata и paths.,—,—,—,—,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-055,Integration/domain,High,"§§14–15, §27.1.22–31, §29; Stage 3.5"
BR-056,BR,MOD-011,Файловый каталог,OS/SMB ACL остаётся авторитетным для физического открытия.,—,—,—,—,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,AC-056,Integration/domain,High,"§§14–15, §27.1.22–31, §29; Stage 3.5"
