Wave,Source row,Requirement,Type,Module,Module name,Requirement title,API status,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source,Disposition reason,Gap reference
A,wave-a.csv:18,FR-001,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `User.ResetPassword` выполнить действие «Администратор задаёт временный пароль» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_admin_reset_password,POST /api/v1/auth/admin-reset-password,User.ResetPassword,OrganizerController.POST_api_v1_auth_admin_reset_password,SCR-173 Создание/активация пользователя,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-098;AC-099;AC-100;AC-101;AC-102;AC-103,Contract/integration; Security/authorization; Security/session; Concurrency/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:19,DATA-001,DATA,MOD-001,Авторизация и сессии,Данные модуля: DTO/агрегаты и их поля по OpenAPI,gap,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1436;AC-1437;AC-1438;AC-1439;AC-1440;AC-1441;AC-1442;AC-1443;AC-1444;AC-1445;AC-1446,Boundary/contract UI,High,DEC-036/037/041,Source names module operations but does not identify operationId.,wave-a.csv:19; Source=DEC-036/037/041
A,wave-a.csv:20,PERM-001,PERM,MOD-001,Авторизация и сессии,Права модуля: capabilities и scopes по OpenAPI,gap,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1828;AC-1923;AC-1924;AC-1925;AC-1926;AC-1927;AC-1928;AC-1929;AC-1930;AC-1931;AC-1932,Security/authorization,Critical,DEC-004/030; OpenAPI,Source names module operations but does not identify operationId.,wave-a.csv:20; Source=DEC-004/030; OpenAPI
A,wave-a.csv:21,ERR-001,ERR,MOD-001,Авторизация и сессии,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",gap,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1849;AC-2181;AC-2182;AC-2183;AC-2184;AC-2185;AC-2186;AC-2187;AC-2188;AC-2189;AC-2190,Error handling,High,errors.csv; State Matrix,Source names module operations but does not identify operationId.,wave-a.csv:21; Source=errors.csv; State Matrix
A,wave-a.csv:22,SYNC-001,SYNC,MOD-001,Авторизация и сессии,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,GET_api_v1_sync_changes,GET /api/v1/sync/changes,—,OrganizerController.GET_api_v1_sync_changes,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1870;AC-2439;AC-2440;AC-2441;AC-2442;AC-2443;AC-2444;AC-2445;AC-2446;AC-2447;AC-2448,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:22,SYNC-001,SYNC,MOD-001,Авторизация и сессии,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,POST_api_v1_sync_bootstrap,POST /api/v1/sync/bootstrap,—,OrganizerController.POST_api_v1_sync_bootstrap,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1870;AC-2439;AC-2440;AC-2441;AC-2442;AC-2443;AC-2444;AC-2445;AC-2446;AC-2447;AC-2448,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:22,SYNC-001,SYNC,MOD-001,Авторизация и сессии,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,POST_api_v1_sync_ack,POST /api/v1/sync/ack,—,OrganizerController.POST_api_v1_sync_ack,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1870;AC-2439;AC-2440;AC-2441;AC-2442;AC-2443;AC-2444;AC-2445;AC-2446;AC-2447;AC-2448,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:23,AUDIT-001,AUDIT,MOD-001,Авторизация и сессии,"Аудит и история действий модуля (append-only, redaction-aware)",gap,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1891;AC-2697;AC-2698;AC-2699;AC-2700;AC-2701;AC-2702;AC-2703;AC-2704;AC-2705;AC-2706,Audit/security,Critical,Architecture audit principles; OpenAPI side effects,Source names domain/audit endpoints but does not identify operationId.,wave-a.csv:23; Source=Architecture audit principles; OpenAPI side effects
A,wave-a.csv:24,FR-002,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Смена собственного пароля» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_change_password,POST /api/v1/auth/change-password,Authenticated,OrganizerController.POST_api_v1_auth_change_password,SCR-152 Пароль и безопасность,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-104;AC-105;AC-106;AC-107;AC-108;AC-109,Contract/integration; Security/session; Contract/UI; Concurrency/integration; Desktop/resilience; Integration,Critical; High,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:25,FR-003,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Anonymous` выполнить действие «Вход по логину/паролю» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_login,POST /api/v1/auth/login,Anonymous,OrganizerController.POST_api_v1_auth_login,SCR-001 Вход,FLOW-001 Первый вход,AC-110;AC-111;AC-112,Contract/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:26,FR-004,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `SecurityAudit.Read` выполнить действие «Журнал входов» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_auth_login_attempts,GET /api/v1/auth/login-attempts,SecurityAudit.Read,OrganizerController.GET_api_v1_auth_login_attempts,SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-113;AC-114;AC-115,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:27,FR-005,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Завершить текущую сессию» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_logout,POST /api/v1/auth/logout,Authenticated,OrganizerController.POST_api_v1_auth_logout,SCR-161 Мои devices и sessions,FLOW-003 Истечение сессии,AC-116;AC-117;AC-118,Contract/integration; Security/session; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:28,FR-006,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Отозвать все сессии пользователя» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_logout_all,POST /api/v1/auth/logout-all,Authenticated,OrganizerController.POST_api_v1_auth_logout_all,SCR-152 Пароль и безопасность; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-119;AC-120;AC-121;AC-122;AC-123,Contract/integration; Security/session; Concurrency/integration; Desktop/resilience; Integration,Critical,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:29,FR-007,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Anonymous.SessionRefresh` выполнить действие «Ротация refresh token» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_refresh,POST /api/v1/auth/refresh,Anonymous.SessionRefresh,OrganizerController.POST_api_v1_auth_refresh,SCR-006 Сессия прервана,FLOW-002 Обычный вход; FLOW-003 Истечение сессии; FLOW-024 Восстановление соединения,AC-124;AC-125;AC-126;AC-127,Contract/integration; Security/session; Concurrency/integration; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_refresh`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:30,FR-008,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Текущая сессия и capabilities» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_auth_session,GET /api/v1/auth/session,Authenticated,OrganizerController.GET_api_v1_auth_session,SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-002 Обычный вход; FLOW-003 Истечение сессии; FLOW-024 Восстановление соединения,AC-128;AC-129,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_session`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:31,FR-009,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Session.ReadOwnOrAll` выполнить действие «Список собственных/разрешённых сессий» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_auth_sessions,GET /api/v1/auth/sessions,Session.ReadOwnOrAll,OrganizerController.GET_api_v1_auth_sessions,SCR-161 Мои devices и sessions; SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-130;AC-131;AC-132,Contract/integration; Security/authorization; Security/session,High; Critical,OpenAPI `GET_api_v1_auth_sessions`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:32,FR-010,FR,MOD-001,Авторизация и сессии,Система должна позволять пользователю с capability `Session.RevokeOwnOrAll` выполнить действие «Отозвать сессию» и считать его успешным только после подтверждения сервера.,api,POST_api_v1_auth_sessions_sessionId_revoke,POST /api/v1/auth/sessions/{sessionId}/revoke,Session.RevokeOwnOrAll,OrganizerController.POST_api_v1_auth_sessions_sessionId_revoke,SCR-161 Мои devices и sessions; SCR-181 Sessions и login attempts,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-133;AC-134;AC-135;AC-136,Contract/integration; Security/authorization; Security/session; Desktop/resilience,Critical,OpenAPI `POST_api_v1_auth_sessions_sessionId_revoke`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:33,BR-016,BR,MOD-001,Авторизация и сессии,Каждый сотрудник использует отдельную учётную запись.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-016,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:34,BR-017,BR,MOD-001,Авторизация и сессии,Refresh token ротируется; повторное использование завершает семейство сессий.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-017,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:35,BR-018,BR,MOD-001,Авторизация и сессии,Блокировка или деактивация пользователя отзывает активные сессии.,no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-018,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:36,BR-019,BR,MOD-001,Авторизация и сессии,"Клиент не раскрывает, логин или пароль были неверны.",no_api,,,—,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-019,Integration/domain,High,"§§3.2, 24, 25, 29; Stage 3.5",Source row does not associate this requirement with an API operation.,
A,wave-a.csv:37,FR-242,FR,MOD-001,Авторизация и сессии,Клиент должен хранить refresh secret только в Windows Credential Manager и очищать его при revoke/reuse.,no_api,,,Capability-driven; server recheck для команд,,SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions,FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии,AC-1403,Desktop/UI,High,Stage 3.5 UX Architecture/Decision Log,Desktop-only requirement; source explicitly states that no new API is required.,
A,wave-a.csv:38,DATA-002,DATA,MOD-002,App shell и навигация,Данные модуля: DTO/агрегаты и их поля по OpenAPI,gap,,,—,,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1825;AC-1912;AC-1913;AC-1914;AC-1915;AC-1916;AC-1917;AC-1918;AC-1919,Contract/UI,High,DEC-036/037/041,Source names module operations but does not identify operationId.,wave-a.csv:38; Source=DEC-036/037/041
A,wave-a.csv:39,PERM-002,PERM,MOD-002,App shell и навигация,Права модуля: capabilities и scopes по OpenAPI,gap,,,—,,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1829;AC-1933;AC-1934;AC-1935;AC-1936;AC-1937;AC-1938;AC-1939;AC-1940,Security/authorization,Critical,DEC-004/030; OpenAPI,Source names module operations but does not identify operationId.,wave-a.csv:39; Source=DEC-004/030; OpenAPI
A,wave-a.csv:40,ERR-002,ERR,MOD-002,App shell и навигация,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",gap,,,—,,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1850;AC-2191;AC-2192;AC-2193;AC-2194;AC-2195;AC-2196;AC-2197;AC-2198,Error handling,High,errors.csv; State Matrix,Source names module operations but does not identify operationId.,wave-a.csv:40; Source=errors.csv; State Matrix
A,wave-a.csv:41,SYNC-002,SYNC,MOD-002,App shell и навигация,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,GET_api_v1_sync_changes,GET /api/v1/sync/changes,—,OrganizerController.GET_api_v1_sync_changes,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1871;AC-2449;AC-2450;AC-2451;AC-2452;AC-2453;AC-2454;AC-2455;AC-2456,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:41,SYNC-002,SYNC,MOD-002,App shell и навигация,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,POST_api_v1_sync_bootstrap,POST /api/v1/sync/bootstrap,—,OrganizerController.POST_api_v1_sync_bootstrap,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1871;AC-2449;AC-2450;AC-2451;AC-2452;AC-2453;AC-2454;AC-2455;AC-2456,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:41,SYNC-002,SYNC,MOD-002,App shell и навигация,"Синхронизация модуля: bootstrap/incremental sync, ack, cursor, scope invalidation",api,POST_api_v1_sync_ack,POST /api/v1/sync/ack,—,OrganizerController.POST_api_v1_sync_ack,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1871;AC-2449;AC-2450;AC-2451;AC-2452;AC-2453;AC-2454;AC-2455;AC-2456,Desktop/resilience,High,ADR-005/015; DEC-006/032,,
A,wave-a.csv:42,AUDIT-002,AUDIT,MOD-002,App shell и навигация,"Аудит и история действий модуля (append-only, redaction-aware)",gap,,,—,,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-1892;AC-2707;AC-2708;AC-2709;AC-2710;AC-2711;AC-2712;AC-2713;AC-2714,Audit/security,Critical,Architecture audit principles; OpenAPI side effects,Source names domain/audit endpoints but does not identify operationId.,wave-a.csv:42; Source=Architecture audit principles; OpenAPI side effects
A,wave-a.csv:43,FR-011,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Серверное UTC-время» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_system_time,GET /api/v1/system/time,Authenticated,OrganizerController.GET_api_v1_system_time,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-137;AC-138,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_system_time`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:44,FR-012,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Authenticated` выполнить действие «Версия сервера/API/схемы» и считать его успешным только после подтверждения сервера.,api,GET_api_v1_system_version,GET /api/v1/system/version,Authenticated,OrganizerController.GET_api_v1_system_version,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-139;AC-140,Contract/integration; Security/session,High; Critical,OpenAPI `GET_api_v1_system_version`; Stage_3_Field_Traceability_Final_3.5.csv,,
A,wave-a.csv:45,FR-013,FR,MOD-002,App shell и навигация,Система должна позволять пользователю с capability `Anonymous` выполнить действие «Liveness без зависимостей» и считать его успешным только после подтверждения сервера.,api,GET_health_live,GET /health/live,Anonymous,OrganizerController.GET_health_live,"SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel",FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification,AC-141,Contract/integration,High,OpenAPI `GET_health_live`; Stage_3_Field_Traceability_Final_3.5.csv,,
