BR ID,Module,Rule,Source,Related FR,Verification
BR-013,ALL,Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,DEC-040; Search Contract,FR-159;FR-275;FR-277;FR-278,AC-013 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-013.
BR-014,ALL,UI hidden/disabled state не заменяет server-side permission check.,DEC-030,FR-210;FR-228;FR-244;FR-276,AC-014 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-014.
BR-015,ALL,PATCH omitted означает unchanged; explicit null очищает только nullable field.,DEC-037,FR-031;FR-087;FR-101;FR-117;FR-141;FR-172;FR-174;FR-176,AC-015 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-015.
BR-016,MOD-001,Каждый сотрудник использует отдельную учётную запись.,"§§3.2, 24, 25, 29; Stage 3.5",FR-003;FR-221;FR-222,AC-016 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-016.
BR-017,MOD-001,Refresh token ротируется; повторное использование завершает семейство сессий.,"§§3.2, 24, 25, 29; Stage 3.5",FR-007,AC-017 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-017.
BR-018,MOD-001,Блокировка или деактивация пользователя отзывает активные сессии.,"§§3.2, 24, 25, 29; Stage 3.5",FR-006;FR-226;FR-227,AC-018 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-018.
BR-019,MOD-001,"Клиент не раскрывает, логин или пароль были неверны.","§§3.2, 24, 25, 29; Stage 3.5",FR-003,AC-019 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-019.
BR-020,MOD-002,Маршрут восстанавливается только после повторной авторизации.,"§8, §17.2, §23.5, §29; Stage 3.5",FR-008;FR-244;FR-245,AC-020 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-020.
BR-021,MOD-002,"Command bar, context menu и palette используют единый command registry.","§8, §17.2, §23.5, §29; Stage 3.5",FR-245,AC-021 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-021.
BR-022,MOD-002,Скрытая кнопка не является проверкой permission.,"§8, §17.2, §23.5, §29; Stage 3.5",FR-015;FR-016;FR-244,AC-022 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-022.
BR-023,MOD-002,Deep link не раскрывает данные скрытого объекта.,"§8, §17.2, §23.5, §29; Stage 3.5",FR-244;FR-245,AC-023 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-023.
BR-024,MOD-003,"Просрочка вычисляется, а не хранится как статус.","§9, §27.1.17, §29; Stage 3.5",FR-017;FR-249,AC-024 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-024.
BR-025,MOD-003,Ошибка одной секции не заменяет весь экран ошибкой.,"§9, §27.1.17, §29; Stage 3.5",FR-246,AC-025 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-025.
BR-026,MOD-003,В offline показывается только кэш с timestamp.,"§9, §27.1.17, §29; Stage 3.5",FR-246,AC-026 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-026.
BR-027,MOD-003,Scope-фильтр отправляется только контрактно поддерживаемыми параметрами.,"§9, §27.1.17, §29; Stage 3.5",FR-017,AC-027 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-027.
BR-028,MOD-004,InboxItem принадлежит создателю до явного преобразования.,"§10, §27.1, §33; Stage 3.5",FR-018;FR-019;FR-021;FR-022,AC-028 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-028.
BR-029,MOD-004,Преобразование создаёт целевой объект и помечает source как converted в одной транзакции.,"§10, §27.1, §33; Stage 3.5",FR-023;FR-024,AC-029 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-029.
BR-030,MOD-004,При отказе целевого permission исходный InboxItem остаётся неизменён.,"§10, §27.1, §33; Stage 3.5",FR-023;FR-024;FR-247,AC-030 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-030.
BR-031,MOD-005,"Статусы: new, in_progress, review, completed, cancelled; overdue вычисляется.","§11, §27.1.5–16, §29, §33; Stage 3.5",FR-028;FR-038;FR-250,AC-031 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-031.
BR-032,MOD-005,Business completion не архивирует задачу автоматически.,"§11, §27.1.5–16, §29, §33; Stage 3.5",FR-032;FR-038,AC-032 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-032.
BR-033,MOD-005,Полный editor сохраняется явно; узкие команды отправляются отдельно.,"§11, §27.1.5–16, §29, §33; Stage 3.5",FR-031;FR-033;FR-036;FR-038;FR-040;FR-248,AC-033 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-033.
BR-034,MOD-005,Переходы определяет сервер; клиент не формирует их из названия роли.,"§11, §27.1.5–16, §29, §33; Stage 3.5",FR-028;FR-038;FR-250,AC-034 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-034.
BR-035,MOD-005,Review → completed и review → in_progress выполняются только разрешёнными transition.,"§11, §27.1.5–16, §29, §33; Stage 3.5",FR-038;FR-250,AC-035 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-035.
BR-036,MOD-006,Подзадача является Task с parentTaskId.,"§11.4–11.5, §27.1.9–10; Stage 3.5",FR-050;FR-051,AC-036 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-036.
BR-037,MOD-006,Глубина вложенности ограничена одним уровнем.,"§11.4–11.5, §27.1.9–10; Stage 3.5",FR-051;FR-251,AC-037 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-037.
BR-038,MOD-006,Checklist item не имеет самостоятельного lifecycle вне родительского Task.,"§11.4–11.5, §27.1.9–10; Stage 3.5",FR-041;FR-042;FR-043;FR-044;FR-045;FR-046;FR-047;FR-048;FR-049,AC-038 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-038.
BR-039,MOD-006,Reorder сохраняет стабильный порядок без дубликатов.,"§11.4–11.5, §27.1.9–10; Stage 3.5",FR-046,AC-039 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-039.
BR-040,MOD-007,"Series имеет timezone и ровно один termination mode, если завершение задано.","§11.6, §27.1.16; Stage 3.5",FR-053;FR-056,AC-040 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-040.
BR-041,MOD-007,Occurrence key уникален; повторная генерация идемпотентна.,"§11.6, §27.1.16; Stage 3.5",FR-057;FR-058,AC-041 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-041.
BR-042,MOD-007,Изменение scope выбирается явно.,"§11.6, §27.1.16; Stage 3.5",FR-057;FR-252,AC-042 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-042.
BR-043,MOD-007,Отмена серии не помещает её в универсальную корзину.,"§11.6, §27.1.16; Stage 3.5",FR-054,AC-043 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-043.
BR-044,MOD-008,Напоминание имеет ровно один trigger mode.,"§17, §27.1.19–21; Stage 3.5",FR-063;FR-067,AC-044 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-044.
BR-045,MOD-008,"Snooze меняет время reminder, но не расписание Task/Event.","§17, §27.1.19–21; Stage 3.5",FR-070;FR-253,AC-045 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-045.
BR-046,MOD-008,Повторное срабатывание дедуплицируется сервером.,"§17, §27.1.19–21; Stage 3.5",FR-063;FR-068;FR-070,AC-046 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-046.
BR-047,MOD-009,Overlap разрешён и только предупреждается.,"§12, §27.1.18, §29; Stage 3.5",FR-071;FR-082,AC-047 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-047.
BR-048,MOD-009,Date-only Task отображается вне временной шкалы.,"§12, §27.1.18, §29; Stage 3.5",FR-071,AC-048 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-048.
BR-049,MOD-009,Deadline не используется как позиция на timeline.,"§12, §27.1.18, §29; Stage 3.5",FR-071,AC-049 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-049.
BR-050,MOD-009,Все локальные времена интерпретируются с timezone.,"§12, §27.1.18, §29; Stage 3.5",FR-071;FR-073;FR-076,AC-050 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-050.
BR-051,MOD-010,У проекта всегда остаётся владелец.,"§13, §27.1.7–8, §29, §33; Stage 3.5",FR-084;FR-095,AC-051 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-051.
BR-052,MOD-010,Завершение проекта и архивирование различаются.,"§13, §27.1.7–8, §29, §33; Stage 3.5",FR-087;FR-088;FR-096,AC-052 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-052.
BR-053,MOD-010,Удаление проекта не удаляет каскадно Task и физические файлы.,"§13, §27.1.7–8, §29, §33; Stage 3.5",FR-085,AC-053 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-053.
BR-054,MOD-010,Explicit deny сильнее allow; сервер пересчитывает scopeVersion.,"§13, §27.1.7–8, §29, §33; Stage 3.5",FR-093;FR-228,AC-054 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-054.
BR-055,MOD-011,Приложение хранит только metadata и paths.,"§§14–15, §27.1.22–31, §29; Stage 3.5",FR-097;FR-098;FR-100;FR-101;FR-103;FR-104;FR-105;FR-106;FR-108;FR-112,AC-055 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-055.
BR-056,MOD-011,OS/SMB ACL остаётся авторитетным для физического открытия.,"§§14–15, §27.1.22–31, §29; Stage 3.5",FR-103;FR-108;FR-112;FR-256;FR-257,AC-056 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-056.
BR-057,MOD-011,Move в дереве меняет только parent metadata.,"§§14–15, §27.1.22–31, §29; Stage 3.5",FR-107,AC-057 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-057.
BR-058,MOD-011,Удаление/архив/purge не затрагивает физический файл.,"§§14–15, §27.1.22–31, §29; Stage 3.5",FR-099;FR-102;FR-109;FR-110;FR-169;FR-263,AC-058 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-058.
BR-059,MOD-011,Выбранный location видим пользователю и может быть заменён альтернативным.,"§§14–15, §27.1.22–31, §29; Stage 3.5",FR-103;FR-104;FR-105;FR-106;FR-108;FR-112;FR-256,AC-059 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-059.
BR-060,MOD-012,Contact может существовать без Company.,"§16, §27.1.32, §29; Stage 3.5",FR-119;FR-123;FR-124,AC-060 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-060.
BR-061,MOD-012,Удаление или архивирование не разрывает историю без явного действия.,"§16, §27.1.32, §29; Stage 3.5",FR-115;FR-118;FR-121;FR-122;FR-125;FR-129;FR-133;FR-134,AC-061 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-061.
BR-062,MOD-012,Контактные каналы валидируются по типу; primary определяется контрактом.,"§16, §27.1.32, §29; Stage 3.5",FR-130;FR-131;FR-132;FR-258,AC-062 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-062.
BR-063,MOD-013,Изменение комментария сохраняет предыдущую версию.,"§16.5, §18, §21, §27.1.33; Stage 3.5",FR-136;FR-141,AC-063 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-063.
BR-064,MOD-013,Удаление комментария создаёт tombstone и допускает moderation restore.,"§16.5, §18, §21, §27.1.33; Stage 3.5",FR-135;FR-139,AC-064 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-064.
BR-065,MOD-013,Interaction вводится вручную и является versioned object.,"§16.5, §18, §21, §27.1.33; Stage 3.5",FR-143;FR-146,AC-065 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-065.
BR-066,MOD-013,Object links не дают permission на target автоматически.,"§16.5, §18, §21, §27.1.33; Stage 3.5",FR-149;FR-150;FR-151;FR-259,AC-066 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-066.
BR-067,MOD-014,Authorization filtering выполняется до pagination.,"§20, §27.1.35; Stage 3.5",FR-159;FR-275;FR-277,AC-067 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-067.
BR-068,MOD-014,Cursor связан со всеми фильтрами и scopeVersion.,"§20, §27.1.35; Stage 3.5",FR-159;FR-278,AC-068 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-068.
BR-069,MOD-014,Изменение фильтра сбрасывает cursor.,"§20, §27.1.35; Stage 3.5",FR-159;FR-278,AC-069 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-069.
BR-070,MOD-014,DEPRECATED in 4.3; replaced by BR-105. Исторически Stage 2.3.1 не поддерживал employee result type; Stage 2.3.1 добавил его.,Historical Stage 2.3.1; superseded by Stage 2.3.1,FR-159;FR-275;FR-277,AC-070;AC-1805 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-070;AC-1805.
BR-071,MOD-015,Notification content после создания неизменно; меняются только состояния доставки/прочтения.,"§17, §27.1.19–21, §29; Stage 3.5",FR-161;FR-162;FR-163;FR-164;FR-165,AC-071 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-071.
BR-072,MOD-015,Toast action не изменяет бизнес-объект локально.,"§17, §27.1.19–21, §29; Stage 3.5",FR-164,AC-072 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-072.
BR-073,MOD-015,Target permission и version проверяются при каждом действии.,"§17, §27.1.19–21, §29; Stage 3.5",FR-164,AC-073 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-073.
BR-074,MOD-015,Недоступный target не раскрывается.,"§17, §27.1.19–21, §29; Stage 3.5",FR-163;FR-164,AC-074 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-074.
BR-075,MOD-016,Archived object сохраняется и по умолчанию read-only.,"§22.1, §27.1.36; Stage 3.5",FR-166;FR-167;FR-262,AC-075 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-075.
BR-076,MOD-016,Архив не является удалением и не запускает retention purge.,"§22.1, §27.1.36; Stage 3.5",FR-166;FR-167;FR-262,AC-076 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-076.
BR-077,MOD-016,"Unarchive проверяет текущие parent, uniqueness и permissions.","§22.1, §27.1.36; Stage 3.5",FR-167,AC-077 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-077.
BR-078,MOD-017,Trashed object не редактируется обычными командами.,"§22.2, §27.1.37, §29; Stage 3.5",FR-168;FR-169;FR-170,AC-078 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-078.
BR-079,MOD-017,"Restore валидирует parent, uniqueness и текущие permissions.","§22.2, §27.1.37, §29; Stage 3.5",FR-170,AC-079 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-079.
BR-080,MOD-017,Purge необратим и доступен только после retention.,"§22.2, §27.1.37, §29; Stage 3.5",FR-169,AC-080 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-080.
BR-081,MOD-017,UserAccount не удаляется через generic trash.,"§22.2, §27.1.37, §29; Stage 3.5",FR-168;FR-169;FR-227,AC-081 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-081.
BR-082,MOD-018,"Каждая настройка маркируется как user-synced, device-local или server-managed.","§23, §24; Stage 3.5",FR-171;FR-172;FR-173;FR-174;FR-175;FR-176,AC-082 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-082.
BR-083,MOD-018,PATCH omitted означает unchanged; null очищает только nullable field.,"§23, §24; Stage 3.5",FR-172;FR-174;FR-176,AC-083 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-083.
BR-084,MOD-018,Unsupported controls не отображаются.,"§23, §24; Stage 3.5",FR-264,AC-084 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-084.
BR-085,MOD-019,Administrative action требует отдельной capability и server-side check.,"§7.1, §24–26, §29; Stage 3.5",FR-228;FR-265,AC-085 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-085.
BR-086,MOD-019,System roles/canonical permissions не меняются произвольно.,"§7.1, §24–26, §29; Stage 3.5",FR-210;FR-213;FR-214;FR-215;FR-216;FR-217;FR-218;FR-219,AC-086 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-086.
BR-087,MOD-019,"Backup success подтверждается проверкой результата, а не существованием файла.","§7.1, §24–26, §29; Stage 3.5",FR-178;FR-179;FR-180,AC-087 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-087.
BR-088,MOD-019,Любая sensitive admin command журналируется.,"§7.1, §24–26, §29; Stage 3.5",FR-179;FR-181;FR-184;FR-186;FR-187;FR-212;FR-219;FR-220;FR-226;FR-227,AC-088 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-088.
BR-089,MOD-020,Сервер является единственным источником истины.,"§18–19, §27.2, §29; Stage 3.5",FR-231;FR-232;FR-233;FR-234;FR-267,AC-089 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-089.
BR-090,MOD-020,Без сервера общие writes заблокированы.,"§18–19, §27.2, §29; Stage 3.5",FR-266,AC-090 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-090.
BR-091,MOD-020,Scope change удаляет чувствительные projections до render.,"§18–19, §27.2, §29; Stage 3.5",FR-268,AC-091 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-091.
BR-092,MOD-020,"Realtime является invalidation, durable truth идёт через change feed.","§18–19, §27.2, §29; Stage 3.5",FR-231;FR-232;FR-233;FR-234,AC-092 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-092.
BR-093,MOD-020,Conflict никогда не перезаписывается автоматически.,"§18–19, §27.2, §29; Stage 3.5",FR-266;FR-267,AC-093 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-093.
BR-094,MOD-021,Audit append-only.,"§21, §25, §27.1.34; Stage 3.5",FR-235,AC-094 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-094.
BR-095,MOD-021,История фильтруется текущими правами.,"§21, §25, §27.1.34; Stage 3.5",FR-237;FR-238;FR-239;FR-240;FR-241,AC-095 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-095.
BR-096,MOD-021,"Пароли, tokens, secrets и чувствительные полные paths не журналируются.","§21, §25, §27.1.34; Stage 3.5",FR-235;FR-236;FR-269,AC-096 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-096.
BR-097,MOD-021,Экспорт аудита создаётся как контролируемая фоновая операция.,"§21, §25, §27.1.34; Stage 3.5",FR-236,AC-097 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-097.
BR-098,MOD-018,Scale принадлежит организации (`scope=organization`); personal/user override отсутствует.,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-270;FR-271;FR-272,AC-1790 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1790.
BR-099,MOD-018,"Scale содержит ровно четыре обязательных semantic levels low/normal/high/critical, каждый ровно один раз.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-270;FR-271;FR-272,AC-1790;AC-1796 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1790;AC-1796.
BR-100,MOD-018,"Четыре inclusive-интервала упорядочены, не пересекаются, не имеют gaps и полностью покрывают 0–100.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-271;FR-274,AC-1792;AC-1793;AC-1794;AC-1795 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1792;AC-1793;AC-1794;AC-1795.
BR-101,MOD-018,Scale заменяется атомарно полным массивом; stale/missing If-Match не допускает overwrite.,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-271;FR-274,AC-1791;AC-1798 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1791;AC-1798.
BR-102,MOD-018,"Reset использует server defaults 0–24, 25–49, 50–74, 75–100 и новый ETag.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-272,AC-1796;AC-1821 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1796;AC-1821.
BR-103,MOD-015,"Scale меняет presentation существующих и будущих notifications, но не semantic urgency; старый client сохраняет встроенный mapping.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-279,AC-1803;AC-1822 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1803;AC-1822.
BR-104,MOD-018,Срочность передаётся semantic label и текстом/иконкой; цвет/displayToken не является единственным носителем.,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-273,AC-1802 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1802.
BR-105,MOD-014,"Employee — отдельный result type/group; отображаются только DTO fields, avatar отсутствует.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-275;FR-277,AC-1805;AC-1820 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1805;AC-1820.
BR-106,MOD-014,"Authorization, ranking, redaction и filtering выполняются сервером до pagination; client post-filter запрещён.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-275;FR-277,AC-1818 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1818.
BR-107,MOD-014,При `isRedacted=true` nullable fields скрываются нейтрально без hidden values/counts.,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-277,AC-1808;AC-1809 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1808;AC-1809.
BR-108,MOD-014,"Blocked employee исключается сервером, кроме caller с существующей capability `User.Block`.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-277,AC-1811 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1811.
BR-109,MOD-014,"Cursor связан с filters, authorization scope, index snapshot и employee visibility policy version.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,FR-278,AC-1812;AC-1813 Related FR evidence: preserved_normative_relation; confidence=High; verification AC=AC-1812;AC-1813.
