module,method,path,purpose,permission,request,response,codes,idempotency,transaction,locking,effects,events
files,GET,/api/v1/catalog-items,Список элемент каталога,FileCatalog.Read,"query: filter,sort,page,cursor",Page<CatalogItem>,"200,400,401,403",Safe,Read-only,—,—,—
files,POST,/api/v1/catalog-items,Создать элемент каталога,FileCatalog.Create,CatalogItemCreate,CatalogItem,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",CatalogItemCreated
files,DELETE,/api/v1/catalog-items/{id},Переместить элемент каталога в корзину,FileCatalog.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,CatalogItemDeleted
files,GET,/api/v1/catalog-items/{id},Получить элемент каталога,FileCatalog.Read,path:id,CatalogItem,"200,401,403,404",Safe,Read-only,—,—,—
files,PATCH,/api/v1/catalog-items/{id},Изменить элемент каталога,FileCatalog.Update,CatalogItemPatch,CatalogItem,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",CatalogItemUpdated
files,POST,/api/v1/catalog-items/{id}/archive,Архивировать элемент каталога,FileCatalog.Update,ArchiveRequest,CatalogItem,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,CatalogItemArchived
files,GET,/api/v1/catalog-items/{id}/locations,Разрешённые locations,FileReference.Open,query:deviceId,FileLocation[],"200,401,403,404",Safe,Read-only,—,rawPath only for owning device/user or FileLocation.ReadSensitivePath,—
files,POST,/api/v1/catalog-items/{id}/locations,Добавить location,FileLocation.Update,FileLocationCreate,FileLocation,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Catalog location tx,If-Match item,"validate allowlist,notify; rawPath only for owning device/user or FileLocation.ReadSensitivePath",FileLocationAdded
files,DELETE,/api/v1/catalog-items/{id}/locations/{locationId},Удалить location,FileLocation.Update,—,204,"204,401,403,404,409,412,422,428",Idempotent,Catalog location tx,If-Match item,may mark item unavailable,FileLocationRemoved
files,PATCH,/api/v1/catalog-items/{id}/locations/{locationId},Перепривязать location,FileLocation.Update,FileLocationPatch,FileLocation,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Catalog location tx,If-Match location/item,invalidate devices,FileLocationChanged
files,POST,/api/v1/catalog-items/{id}/move,Переместить в виртуальном дереве,FileCatalog.Update,CatalogMoveRequest,CatalogItem,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Catalog tx,If-Match,"cycle check,reindex",CatalogItemMoved
files,POST,/api/v1/catalog-items/{id}/resolve-location,Выбрать путь для устройства,FileReference.Open,ResolveLocationRequest,ResolvedLocation,"200,400,401,403,404,409,422",Idempotency-Key,Read + telemetry,—,no physical open; rawPath only for owning device/user or FileLocation.ReadSensitivePath,FileOpenRequested
files,POST,/api/v1/catalog-items/{id}/restore,Восстановить элемент каталога,FileCatalog.Restore,RestoreRequest,CatalogItem,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",CatalogItemRestored
files,POST,/api/v1/catalog-items/{id}/unarchive,Вернуть элемент каталога из архива,FileCatalog.Update,—,CatalogItem,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,CatalogItemUnarchived
files,GET,/api/v1/catalog/tree,Дерево виртуального каталога,FileCatalog.Read,"query:parentId,depth,includeArchived",CatalogTree,"200,400,401,403",Safe,Read-only,—,—,—
comments,POST,/api/v1/comments/{id}/restore,Восстановить удалённый комментарий,Comment.Moderate,—,Comment,"200,401,403,404,409,412,428",Idempotent,Comment tx,If-Match,—,CommentRestored
comments,GET,/api/v1/comments/{id}/versions,Версии комментария,History.Read,query:page,Page<CommentVersion>,"200,401,403,404",Safe,Read-only,—,—,—
companies,GET,/api/v1/companies,Список контрагента,Contact.Read,"query: filter,sort,page,cursor",Page<Company>,"200,400,401,403",Safe,Read-only,—,—,—
companies,POST,/api/v1/companies,Создать контрагента,Contact.Create,CompanyCreate,Company,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",CompanyCreated
companies,DELETE,/api/v1/companies/{id},Переместить контрагента в корзину,Contact.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,CompanyDeleted
companies,GET,/api/v1/companies/{id},Получить контрагента,Contact.Read,path:id,Company,"200,401,403,404",Safe,Read-only,—,—,—
companies,PATCH,/api/v1/companies/{id},Изменить контрагента,Contact.Update,CompanyPatch,Company,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",CompanyUpdated
companies,POST,/api/v1/companies/{id}/archive,Архивировать контрагента,Contact.Update,ArchiveRequest,Company,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,CompanyArchived
companies,POST,/api/v1/companies/{id}/contacts,Связать контакт с компанией,Contact.Update,ContactCompanyRoleCreate,ContactCompanyRole,"201,400,401,403,404,409,412,422,428",Idempotency-Key,CRM relation tx,If-Match company,search update,CompanyContactLinked
companies,DELETE,/api/v1/companies/{id}/contacts/{contactId},Удалить связь с контактом,Contact.Update,—,204,"204,401,403,404,409,412,428",Idempotent,CRM relation tx,If-Match company,search update,CompanyContactUnlinked
companies,POST,/api/v1/companies/{id}/restore,Восстановить контрагента,Contact.Restore,RestoreRequest,Company,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",CompanyRestored
companies,POST,/api/v1/companies/{id}/unarchive,Вернуть контрагента из архива,Contact.Update,—,Company,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,CompanyUnarchived
contacts,GET,/api/v1/contacts,Список контакт,Contact.Read,"query: filter,sort,page,cursor",Page<Contact>,"200,400,401,403",Safe,Read-only,—,—,—
contacts,POST,/api/v1/contacts,Создать контакт,Contact.Create,ContactCreate,Contact,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",ContactCreated
contacts,DELETE,/api/v1/contacts/{id},Переместить контакт в корзину,Contact.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,ContactDeleted
contacts,GET,/api/v1/contacts/{id},Получить контакт,Contact.Read,path:id,Contact,"200,401,403,404",Safe,Read-only,—,—,—
contacts,PATCH,/api/v1/contacts/{id},Изменить контакт,Contact.Update,ContactPatch,Contact,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",ContactUpdated
contacts,POST,/api/v1/contacts/{id}/addresses,Добавить адрес,Contact.Update,AddressCreate,Address,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Contact aggregate tx,If-Match contact,—,ContactAddressAdded
contacts,POST,/api/v1/contacts/{id}/archive,Архивировать контакт,Contact.Update,ArchiveRequest,Contact,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,ContactArchived
contacts,POST,/api/v1/contacts/{id}/channels,Добавить средство связи,Contact.Update,CommunicationChannelCreate,CommunicationChannel,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Contact aggregate tx,If-Match contact,search update,ContactChannelAdded
contacts,DELETE,/api/v1/contacts/{id}/channels/{channelId},Удалить средство связи,Contact.Update,—,204,"204,401,403,404,409,412,428",Idempotent,Contact aggregate tx,If-Match contact,search update,ContactChannelDeleted
contacts,PATCH,/api/v1/contacts/{id}/channels/{channelId},Изменить средство связи,Contact.Update,CommunicationChannelPatch,CommunicationChannel,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Contact aggregate tx,If-Match contact,search update,ContactChannelChanged
contacts,POST,/api/v1/contacts/{id}/restore,Восстановить контакт,Contact.Restore,RestoreRequest,Contact,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",ContactRestored
contacts,POST,/api/v1/contacts/{id}/unarchive,Вернуть контакт из архива,Contact.Update,—,Contact,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,ContactUnarchived
departments,GET,/api/v1/departments,Список отдел,Department.Read,"query: filter,sort,page,cursor",Page<Department>,"200,400,401,403",Safe,Read-only,—,—,—
departments,POST,/api/v1/departments,Создать отдел,Department.Manage,DepartmentCreate,Department,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",DepartmentCreated
departments,GET,/api/v1/departments/tree,Дерево отделов,Department.Read,query:includeArchived,DepartmentTree,"200,401,403",Safe,Read-only,—,—,—
departments,DELETE,/api/v1/departments/{id},Переместить отдел в корзину,Department.Manage,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,DepartmentDeleted
departments,GET,/api/v1/departments/{id},Получить отдел,Department.Read,path:id,Department,"200,401,403,404",Safe,Read-only,—,—,—
departments,PATCH,/api/v1/departments/{id},Изменить отдел,Department.Manage,DepartmentPatch,Department,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",DepartmentUpdated
departments,POST,/api/v1/departments/{id}/archive,Архивировать отдел,Department.Manage,ArchiveRequest,Department,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,DepartmentArchived
departments,PUT,/api/v1/departments/{id}/managers,Заменить список руководителей отдела,Department.Manage,DepartmentManagersReplace,Department,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Department tx,If-Match,scope version++,DepartmentManagersChanged
departments,POST,/api/v1/departments/{id}/restore,Восстановить отдел,Department.Manage,RestoreRequest,Department,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",DepartmentRestored
departments,POST,/api/v1/departments/{id}/unarchive,Вернуть отдел из архива,Department.Manage,—,Department,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,DepartmentUnarchived
devices,GET,/api/v1/devices,Список устройство,Device.ReadOwnOrAll,"query: filter,sort,page,cursor",Page<Device>,"200,400,401,403",Safe,Read-only,—,—,—
devices,GET,/api/v1/devices/{id},Получить устройство,Device.ReadOwnOrAll,path:id,Device,"200,401,403,404",Safe,Read-only,—,—,—
devices,PATCH,/api/v1/devices/{id},Изменить устройство,Device.UpdateOwnOrAll,DevicePatch,Device,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",DeviceUpdated
devices,POST,/api/v1/devices/{id}/heartbeat,Обновить last_seen и версию клиента,Authenticated,DeviceHeartbeat,204,"204,400,401,403,404",Idempotent,Small tx,—,capability telemetry,—
devices,POST,/api/v1/devices/{id}/revoke,Отозвать устройство,Device.Revoke,RevokeDeviceRequest,Device,"200,401,403,404,409,412,428",Idempotency-Key,Device+sessions tx,If-Match,"revoke sessions,cache purge marker",DeviceRevoked
settings,GET,/api/v1/feature-flags,Доступные пользователю флаги,Authenticated,—,FeatureFlags,"200,401",Safe,Read-only,—,—,—
files,POST,/api/v1/file-locations/{id}/check-result,Передать результат desktop probe,FileReference.Open,FileLocationCheckCreate,204,"204,400,401,403,404,422",Idempotency-Key,Telemetry tx,—,update last health,FileLocationChecked
inbox,GET,/api/v1/inbox-items,Список входящий элемент,Inbox.ReadOwn,"query: filter,sort,page,cursor",Page<InboxItem>,"200,400,401,403",Safe,Read-only,—,—,—
inbox,POST,/api/v1/inbox-items,Создать входящий элемент,Inbox.ManageOwn,InboxItemCreate,InboxItem,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",InboxItemCreated
inbox,DELETE,/api/v1/inbox-items/{id},Переместить входящий элемент в корзину,Inbox.ManageOwn,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,InboxItemDeleted
inbox,GET,/api/v1/inbox-items/{id},Получить входящий элемент,Inbox.ReadOwn,path:id,InboxItem,"200,401,403,404",Safe,Read-only,—,—,—
inbox,PATCH,/api/v1/inbox-items/{id},Изменить входящий элемент,Inbox.ManageOwn,InboxItemPatch,InboxItem,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",InboxItemUpdated
inbox,POST,/api/v1/inbox-items/{id}/convert-to-catalog-item,Преобразовать в элемент каталога,Inbox.ManageOwn,InboxConvertCatalog,CatalogItem,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Inbox+Catalog tx,If-Match inbox item,mark converted,InboxItemConvertedToCatalog
inbox,POST,/api/v1/inbox-items/{id}/convert-to-task,Преобразовать во task,Inbox.ManageOwn,InboxConvertTask,Task,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Inbox+Task tx,If-Match inbox item,trash/mark converted,InboxItemConvertedToTask
inbox,POST,/api/v1/inbox-items/{id}/restore,Восстановить входящий элемент,Inbox.ManageOwn,RestoreRequest,InboxItem,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",InboxItemRestored
interactions,GET,/api/v1/interactions,Список взаимодействие,Contact.Read,"query: filter,sort,page,cursor",Page<Interaction>,"200,400,401,403",Safe,Read-only,—,—,—
interactions,POST,/api/v1/interactions,Создать взаимодействие,Interaction.Create,InteractionCreate,Interaction,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",InteractionCreated
interactions,DELETE,/api/v1/interactions/{id},Переместить взаимодействие в корзину,Interaction.Update,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,InteractionDeleted
interactions,GET,/api/v1/interactions/{id},Получить взаимодействие,Contact.Read,path:id,Interaction,"200,401,403,404",Safe,Read-only,—,—,—
interactions,PATCH,/api/v1/interactions/{id},Изменить взаимодействие,Interaction.Update,InteractionPatch,Interaction,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",InteractionUpdated
interactions,PUT,/api/v1/interactions/{id}/participants,Заменить участников взаимодействия,Interaction.Update,InteractionParticipants,Interaction,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Interaction tx,If-Match,search update,InteractionParticipantsChanged
interactions,POST,/api/v1/interactions/{id}/restore,Восстановить взаимодействие,Interaction.Update,RestoreRequest,Interaction,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",InteractionRestored
files,GET,/api/v1/network-resources,Сетевые ресурсы,FileCatalog.Read,"query:status,page",Page<NetworkResource>,"200,401,403",Safe,Read-only,—,—,—
files,POST,/api/v1/network-resources,Создать сетевой ресурс,NetworkResource.Manage,NetworkResourceCreate,NetworkResource,"201,400,401,403,409,422",Idempotency-Key,Resource tx,—,validate UNC root,NetworkResourceCreated
files,PATCH,/api/v1/network-resources/{id},Изменить сетевой ресурс,NetworkResource.Manage,NetworkResourcePatch,NetworkResource,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Resource tx,If-Match,invalidate locations,NetworkResourceChanged
files,POST,/api/v1/network-resources/{id}/probe,Проверить ресурс без credentials,NetworkResource.Manage,ProbeRequest,ProbeResult,"200,400,401,403,404,422",Idempotency-Key,No business tx,—,audit result,NetworkResourceProbed
notifications,GET,/api/v1/notifications,Список уведомление,Notification.ReadOwn,"query: filter,sort,page,cursor",Page<Notification>,"200,400,401,403",Safe,Read-only,—,—,—
notifications,GET,/api/v1/notifications/preferences,Настройки уведомлений,Settings.ReadOwn,—,NotificationPreferences,"200,401",Safe,Read-only,—,—,—
notifications,PUT,/api/v1/notifications/preferences,Обновить настройки уведомлений,Settings.UpdateOwn,NotificationPreferencesPatch,NotificationPreferences,"200,400,401,409,412,422,428",Idempotency-Key,Preferences tx,If-Match,reschedule local plan,NotificationPreferencesChanged
notifications,POST,/api/v1/notifications/read-all,Прочитать все в scope,Notification.ReadOwn,ReadAllRequest,ReadAllResult,"200,400,401,403",Idempotency-Key,Batch tx,—,badge reset,NotificationsRead
notifications,GET,/api/v1/notifications/{id},Получить уведомление,Notification.ReadOwn,path:id,Notification,"200,401,403,404",Safe,Read-only,—,—,—
notifications,POST,/api/v1/notifications/{id}/action,Выполнить разрешённое действие toast,Notification.ManageOwn,NotificationActionRequest,ActionResult,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Target aggregate tx,target If-Match when required,delegated command,NotificationActionExecuted
notifications,POST,/api/v1/notifications/{id}/read,Пометить прочитанным,Notification.ReadOwn,—,Notification,"200,401,403,404,409",Idempotent,Notification tx,If-Match optional,badge decrement,NotificationRead
comments,GET,/api/v1/objects/{objectId}/comments,Список комментарий,Comment.Read,"query: filter,sort,page,cursor",Page<Comment>,"200,400,401,403",Safe,Read-only,—,—,—
comments,POST,/api/v1/objects/{objectId}/comments,Создать комментарий,Comment.Create,CommentCreate,Comment,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",CommentAdded
comments,DELETE,/api/v1/objects/{objectId}/comments/{id},Переместить комментарий в корзину,Comment.DeleteOwnOrModerate,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,CommentDeleted
comments,GET,/api/v1/objects/{objectId}/comments/{id},Получить комментарий,Comment.Read,path:id,Comment,"200,401,403,404",Safe,Read-only,—,—,—
comments,PATCH,/api/v1/objects/{objectId}/comments/{id},Изменить комментарий,Comment.UpdateOwnOrModerate,CommentPatch,Comment,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",CommentEdited
history,GET,/api/v1/objects/{objectId}/history,История доступного объекта,History.Read,"query:cursor,limit",Page<HistoryEntry>,"200,401,403,404",Safe,Read-only,—,—,—
history,GET,/api/v1/objects/{objectId}/history/{version},Снимок/изменения версии,History.Read,path:version,HistoryVersion,"200,401,403,404",Safe,Read-only,—,—,—
tags,GET,/api/v1/objects/{objectId}/links,Связи объекта,ObjectLink.Read,"query:type,page",Page<ObjectLink>,"200,401,403,404",Safe,Read-only,—,—,—
tags,POST,/api/v1/objects/{objectId}/links,Создать связь объектов,ObjectLink.Create,ObjectLinkCreate,ObjectLink,"201,400,401,403,404,409,412,422,428",Idempotency-Key,Relation tx,If-Match source,validate both permissions,ObjectLinked
tags,DELETE,/api/v1/objects/{objectId}/links/{linkId},Удалить связь объектов,ObjectLink.Delete,—,204,"204,401,403,404,409,412,428",Idempotent,Relation tx,If-Match source,—,ObjectUnlinked
tags,PUT,/api/v1/objects/{objectId}/tags,Заменить теги объекта,Tag.Assign,TagIds,Tag[],"200,400,401,403,404,409,412,422,428",Idempotency-Key,Object tag tx,If-Match object,search update,ObjectTagsChanged
roles,GET,/api/v1/permissions,Каталог разрешений,Role.Read,query:resource,Permission[],"200,401,403",Safe,Read-only,—,—,—
roles,GET,/api/v1/project-roles,Каталог проектных ролей,Project.Read,—,ProjectRole[],"200,401,403",Safe,Read-only,—,—,—
roles,PUT,/api/v1/project-roles/{id}/permissions,Изменить проектную роль,Role.Manage,PermissionCodes,ProjectRole,"200,400,401,403,404,409,412,428",Idempotency-Key,Role tx,If-Match,scope version++,ProjectRolePermissionsChanged
projects,GET,/api/v1/projects,Список проект,Project.Read,"query: filter,sort,page,cursor",Page<Project>,"200,400,401,403",Safe,Read-only,—,—,—
projects,POST,/api/v1/projects,Создать проект,Project.Create,ProjectCreate,Project,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",ProjectCreated
projects,DELETE,/api/v1/projects/{id},Переместить проект в корзину,Project.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,ProjectDeleted
