State contract ID,STATE references,Surface,State,Trigger,UI behavior,Allowed actions,Message,Recovery,API/error,Required components,Required design evidence,Accessibility evidence,Canonical source,Contract status,Visual status,Stage 5.4 audit result,Stage 5.4 evidence,Native Windows evidence
STC-011,STATE-017,Archived object,Archived,Lifecycle archived,Read-only banner; no normal Save,History; unarchive if allowed,Объект в архиве и доступен только для чтения.,Unarchive,OBJECT_ARCHIVED,LifecycleBanner; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-012,STATE-018,Trashed object,Trashed,Lifecycle trashed,Tombstone view; restore/purge only,Restore; back,Объект находится в корзине.,Restore,OBJECT_DELETED,LifecycleBanner; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-013,STATE-010,Global shell,ServerUnavailable,REST/readiness failure,Persistent banner; cache read-only; writes disabled,Retry; diagnostics; local file open,Нет подключения. Показаны данные на {time}.,Reconnect + sync,DATABASE_UNAVAILABLE / DEPENDENCY_UNAVAILABLE,ConnectivityBanner; ConnectionStatus; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-014,STATE-012,Global shell,Reconnecting,Server likely returns,Keep read-only until auth+sync,Diagnostics,Восстанавливаем подключение…,Auth + change feed,—,ConnectivityBanner; ConnectionStatus; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-015,STATE-022,Global shell,Maintenance,503 retryAfter,Writes blocked; cached read allowed,Retry later; diagnostics,Сервер временно на обслуживании.,Reconnect,MAINTENANCE_MODE,ConnectivityBanner; ConnectionStatus; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-016,STATE-035,Global shell,StorageFull,507,Critical banner; all writes disabled,Admin diagnostics,На сервере недостаточно места. Изменения недоступны.,Admin frees storage,STORAGE_FULL,ConnectivityBanner; ConnectionStatus; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-017,STATE-023,Global shell,ClientUnsupported,426,Blocking update page,Update; close,Требуется обновление приложения.,Install signed client,CLIENT_VERSION_UNSUPPORTED,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-018,STATE-013,Sync,SyncPending,Invalidation/startup catch-up,Current data + updating indicator; sensitive writes may wait,Sync now; diagnostics,Применяем изменения…,Ack cursor,—,LoadingState; ProgressIndicator,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-019,STATE-036,Sync,CursorExpired,410 compacted cursor,Clear disposable projections,Bootstrap,Локальные данные нужно обновить заново.,Bootstrap,SYNC_CURSOR_EXPIRED,SearchBox; DataList,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-020,STATE-024,Sync,AccessScopeChanged,409 scopeVersion,Block sensitive routes; purge before render,Reauthenticate if needed,Права доступа изменились. Обновляем данные.,Bootstrap new scope,SYNC_SCOPE_CHANGED,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-021,,Search,OfflinePartial,Server unavailable,Cache-only results + completeness banner,Reconnect; clear query,Показаны только сохранённые результаты.,Online search,DATABASE_UNAVAILABLE,ConnectivityBanner; ConnectionStatus; ReadOnlyBanner; SearchBox; DataList,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; evidence/design-qa-wave-c-search.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-022,,Search,ZeroResults,Search returns 0,Suggestions; no hidden count,Adjust query/filter,Ничего не найдено.,New query,200 empty,EmptyState; DataList; SearchBox,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; evidence/design-qa-wave-c-search.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-023,,Today,SectionFailure,One composed block fails,Render other blocks; inline retry,Retry block; source module,Не удалось загрузить этот блок.,Retry read model,TIMEOUT / DEPENDENCY_UNAVAILABLE,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-024,,Today,NoItems,All Today blocks empty,Date + quick create; no celebratory noise,Create task/event; Inbox,На сегодня ничего не запланировано.,Plan work,200 empty,EmptyState; DataList,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-025,,Task,InvalidTransition,State machine rejects,Refresh status; allowed transitions only,Open; choose allowed,Переход недоступен в текущем состоянии.,Reload,INVALID_STATE_TRANSITION,ValidationMessage; FormLayout,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-026,,Task,SubtaskDepthExceeded,Parent already has parent,Keep draft; offer sibling,Create sibling,Допустим только один уровень подзадач.,Change parent,SUBTASK_DEPTH_EXCEEDED,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-027,,Task dependency,Cycle,New edge creates cycle,Highlight edge; no save,Remove/change link,Эта связь создаёт цикл.,Edit relation,DEPENDENCY_CYCLE,ValidationMessage; FormLayout,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-028,,Recurrence,RuleInvalid,Rule/timezone validation,Highlight rule; preview issue,Correct,Правило повторения некорректно.,Preview/resubmit,RECURRENCE_RULE_INVALID,ValidationMessage; FormLayout,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-029,,Recurrence,BackgroundApply,Series change accepted async,Affected count/progress,View status; close,Изменение серии применяется…,Events/poll,202/background,LoadingState; ProgressIndicator,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-030,,Calendar,RangeTooLarge,Range exceeds API limit,Keep current range; offer valid view,Choose day/week/month,Выбран слишком большой период.,Reduce range,CALENDAR_RANGE_TOO_LARGE,ValidationMessage; FormLayout,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-031,,Calendar drag,DragConflict,Move/resize stale,Visual rollback + conflict dialog,Reload; new slot,Расписание изменилось до сохранения.,Fetch/retry,VERSION_CONFLICT,ConflictNotice; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-032,,Calendar,OverlapWarning,Visible intervals overlap,Nonblocking warning + scope caveat,Proceed; adjust; inspect,В это время уже есть другие элементы.,User choice,Warning,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-033,,Inbox conversion,TargetForbidden,Target scope lost,Keep InboxItem unchanged; clear target,Choose another,Нет доступа к выбранному проекту.,Refresh picker,FORBIDDEN,PermissionState; RedactionMarker; InspectorPanel,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/state-calendar-validation.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-034,,File open,NoLocation,No authorized/applicable location,Do not invoke Shell; recovery,Add/relink; owner,Нет подходящего пути для этого устройства.,Add/choose location,FILE_NO_LOCATION,FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-035,,File open,NotFound,OS path missing,Categorized dialog,Retry; alternative; relink,Файл не найден по выбранному пути.,Relink/add path,FILE_NOT_FOUND,FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-036,,File open,AccessDenied,OS/SMB ACL deny,No ACL bypass UI,Alternative; contact owner,Windows не разрешила открыть этот путь.,External ACL fix,FILE_ACCESS_DENIED,FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-037,,File open,NetworkUnavailable,DNS/SMB/timeout,Keep record; show check time,Retry; alternative,Сетевой ресурс временно недоступен.,Network recovers,NETWORK_RESOURCE_UNAVAILABLE,FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-038,,File location,UnsafePath,Path/root/scheme rejected,Preserve old location; highlight new,Choose allowed path,Этот путь запрещён политикой безопасности.,Native picker,UNSAFE_PATH,ValidationMessage; FormLayout; FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-039,,File open,UnsafeType,File type blocked,Never launch,Close; contact admin,Этот тип файла нельзя открыть из приложения.,Policy change,UNSAFE_FILE_TYPE,ValidationMessage; FormLayout; FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-040,,File location,OtherDeviceLocal,Path scoped to another device,Show owner/device; redact path,Alternative; add shared path,Файл доступен только на устройстве «{device}».,Add location,FILE_NO_LOCATION,PermissionState; RedactionMarker; InspectorPanel; FileLocationView; ErrorMessage; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-041,,Project members,OwnerInvariant,Operation leaves no owner,Block save; required sequence,Transfer owner first,У проекта должен оставаться владелец.,Transfer ownership,INVALID_STATE_TRANSITION,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-042,,Project,Completed,Business status completed,Do not label archived; read-mostly by policy,Reopen/archive,Проект завершён.,Reopen/archive,—,LifecycleBanner; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-043,,Restore,NameConflict,Unique active name/link conflict,Show existing + rename/parent,Rename; parent; cancel,Восстановление конфликтует с существующим объектом.,Resolve,DUPLICATE_RESOURCE,ConflictNotice; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-044,,Restore,ParentUnavailable,Original parent hidden/purged,Offer allowed parent; no silent root move,Choose parent,Исходная папка или проект недоступны.,Select parent,OBJECT_NOT_VISIBLE,SemanticStatus; ErrorMessage,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-045,,Trash purge,RetentionBlocked,Before purgeAfter/legal hold,Disable purge with reason/date,Wait; restore,Окончательное удаление пока недоступно.,Wait/release hold,INVALID_STATE_TRANSITION,LifecycleBanner; ReadOnlyBanner,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-046,,Notification action,TargetChanged,Version/state changed,No success claim; show current state,Open; retry allowed,Объект уже изменён.,Refresh,VERSION_CONFLICT / INVALID_STATE_TRANSITION,ConflictNotice; DialogShell; NotificationItem,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-settings-offline.png; evidence/design-qa-wave-c-settings.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-047,,Notification action,TargetForbidden,Permission revoked,No target details,Close,Действие больше недоступно.,None,FORBIDDEN,PermissionState; RedactionMarker; InspectorPanel; NotificationItem,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-settings-offline.png; evidence/design-qa-wave-c-settings.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
