"SCR ID","Module","Surface name","Priority","Inventory status","Evidence status","Evidence source","Evidence scope","Browser status","Remaining acceptance","Gate 5.3"
"SCR-024","Tasks","Карточка задачи","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-025","Tasks","Инспектор задачи","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-026","Tasks","Редактор recurrence","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-027","Tasks","Scope изменения серии","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-028","Tasks","Напоминания","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-029","Tasks","Исполнители и наблюдатели","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-030","Tasks","Зависимости задач","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-031","Tasks","Массовые действия задач","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-032","Tasks","Разрешение конфликта Task","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-033","Tasks","Подзадачи и чек-листы","P0","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-034","Tasks","Контекстное меню задачи","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-035","Tasks","Комментарии объекта","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-036","Tasks","История объекта","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-040","Calendar","Календарь","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-041","Calendar","Календарь: день","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-042","Calendar","Календарь: неделя","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-043","Calendar","Календарь: месяц","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-044","Calendar","Редактор CalendarEvent","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256 | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/qa/qa-wave-c-calendar-event-editor.png","Calendar views plus the canonical CalendarEvent create/edit/attendee/respond contract and recovery states are versioned and verified.","Verified in approved in-app Browser","Formal approval and native Windows/runtime evidence remain Gate work.","OPEN"
"SCR-045","Calendar","Фильтры календаря","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-046","Calendar","Предупреждение overlap","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-047","Calendar","Conflict после drag/resize","P1","Mapped","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Wave A Direction 2 prototype and browser evidence.","Pass for captured package state","Formal annotated-frame and stakeholder approval remain Gate work.","OPEN"
"SCR-060","Projects","Проекты: список","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-061","Projects","Проект: обзор","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-062","Projects","Проект: задачи","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-063","Projects","Проект: календарь","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-064","Projects","Проект: участники","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-065","Projects","Проект: файлы","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-066","Projects","Проект: контакты","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-067","Projects","Проект: комментарии","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-068","Projects","Проект: история","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-069","Projects","Проект: настройки","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-070","Projects","Создать/редактировать проект","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-071","Projects","Project role/overrides","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-072","Projects","Lifecycle проекта","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-080","Files","Каталог файлов","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-081","Files","Карточка CatalogItem","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-082","Files","Добавить CatalogItem","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
"SCR-083","Files","Управление locations","P1","Mapped","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation package with build, tests and browser Design QA.","Pass for captured package state","Native Windows/SMB/runtime and formal approval remain outside prototype evidence.","OPEN"
