"FLOW ID","Flow","Scenario group","Modules","SCR references","Priority","Required design evidence","Evidence status","Evidence source","Evidence scope","Remaining acceptance","Gate 5.3"
"FLOW-011","Изменить один occurrence","Task management","Tasks","SCR-024; SCR-026; SCR-027","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-012","Изменить future/all series","Task management","Shared; Tasks","SCR-024; SCR-026; SCR-027; SCR-209","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-013","Создание проекта","Projects","Projects","SCR-060; SCR-061; SCR-070","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-014","Добавление участника","Projects","Projects","SCR-061; SCR-064; SCR-071","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-015","Открытие файла","Files","Files","SCR-080; SCR-081; SCR-084; SCR-090","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-016","Недоступный файл","Files","Files","SCR-081; SCR-084; SCR-085; SCR-090","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-017","Перепривязка файла","Files","Files","SCR-081; SCR-083; SCR-086; SCR-210","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-018","Создание контакта","CRM","CRM","SCR-110; SCR-111; SCR-112; SCR-115","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-019","Глобальный поиск","Search","Search","SCR-133; SCR-134; SCR-135; SCR-136","P0","Interactive prototype + keyboard walkthrough","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_search_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_search_increment/manifest.json","Global Search keyboard, filter, partial/redacted, cursor and offline evidence.","Formal approval remains Gate work.","OPEN"
"FLOW-020","Действие из notification","Notifications & reminders","Notifications","SCR-130; SCR-131; SCR-132","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-021","Snooze reminder","Notifications & reminders","Notifications; Tasks","SCR-028; SCR-130; SCR-131; SCR-132","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-022","Потеря сервера","Resilience & conflict","Shell; Sync","SCR-004; SCR-160; SCR-206","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-023","Работа в read-only cache","Resilience & conflict","Shell; Sync","SCR-004; SCR-160; SCR-206","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-024","Восстановление соединения","Resilience & conflict","Shell; Sync","SCR-003; SCR-004; SCR-160; SCR-206","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-025","Optimistic conflict","Resilience & conflict","Tasks","SCR-023; SCR-024; SCR-032","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-026","Архивирование","Lifecycle","Files; Lifecycle; Projects; Shared; Tasks","SCR-034; SCR-072; SCR-089; SCR-140; SCR-208","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/manifest.json","Cross-object archive/trash lifecycle verified across Wave B and Archive/Trash increments.","Formal approval remains Gate work.","OPEN"
"FLOW-027","Перемещение в корзину","Lifecycle","CRM; Files; Lifecycle; Shared; Tasks","SCR-034; SCR-089; SCR-119; SCR-141; SCR-208","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/manifest.json","Cross-object archive/trash lifecycle verified across Wave B and Archive/Trash increments.","Formal approval remains Gate work.","OPEN"
"FLOW-028","Восстановление из корзины","Lifecycle","Lifecycle","SCR-141; SCR-142","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/manifest.json","Trash restore, conflict, parent-unavailable and retention boundaries verified.","Formal approval remains Gate work.","OPEN"
"FLOW-029","Блокировка пользователя","Administration","Admin","SCR-170; SCR-171; SCR-172; SCR-174; SCR-181","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_admin_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_admin_increment/manifest.json","User lifecycle and permission-change flows verified in the Admin increment.","Real authorization/runtime and formal approval remain Gate work.","OPEN"
"FLOW-030","Изменение permissions","Administration","Admin","SCR-170; SCR-177; SCR-178; SCR-179","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_admin_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_admin_increment/manifest.json","User lifecycle and permission-change flows verified in the Admin increment.","Real authorization/runtime and formal approval remain Gate work.","OPEN"
"FLOW-031","Создание CalendarEvent","Calendar","Calendar","SCR-040; SCR-044; SCR-046","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256 | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_calendar_event_editor_increment/qa/qa-wave-c-calendar-event-editor.png","Slot-to-editor creation, canonical fields, attendees, RSVP, validation, overlap, idempotency and offline guards are verified.","Formal approval and native Windows/runtime evidence remain Gate work.","OPEN"
"FLOW-032","Drag/resize календаря","Calendar","Calendar","SCR-040; SCR-041; SCR-042; SCR-047","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","work/stage_5_3_wave_a/VALIDATION_REPORT.md | work/stage_5_3_wave_a/MANIFEST.sha256","Calendar drag/resize, overlap, rollback and read-only behavior verified.","Formal approval remains Gate work.","OPEN"
"FLOW-033","Массовая смена статуса","Task & Inbox","Shared; Tasks","SCR-020; SCR-031; SCR-209","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-034","Inbox capture и conversion","Task & Inbox","Files; Inbox; Tasks","SCR-012; SCR-013; SCR-014; SCR-022; SCR-082","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-035","Завершение и архивирование проекта","Projects","Lifecycle; Projects; Settings","SCR-061; SCR-069; SCR-072; SCR-140; SCR-153","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_lifecycle_increment/manifest.json | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_settings_increment/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_c_settings_increment/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-036","Добавить альтернативный FileLocation","Files","Files","SCR-081; SCR-083; SCR-087; SCR-090; SCR-210","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
"FLOW-037","Создать Interaction","CRM","CRM","SCR-110; SCR-111; SCR-113; SCR-116; SCR-117; SCR-118","P1","Annotated storyboard or module prototype","VERIFIED_PACKAGE","outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/VALIDATION_REPORT.md | outputs/019fa078-3f10-7ec1-99e2-7c1cba4ee3d4/stage_5_3_wave_b_implementation/manifest.json","Wave B implementation evidence; cross-module lifecycle/settings packages included where the flow spans them.","Native runtime and formal approval remain Gate work.","OPEN"
