Entity ID,Type,Module,Parent IDs,Direct FR,Parent exists,Source present,Given,When,Then,Vague terms,Status,Notes
FR-050,FR,MOD-006,,FR-050,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-051,FR,MOD-006,,FR-051,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-052,FR,MOD-007,,FR-052,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-053,FR,MOD-007,,FR-053,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-054,FR,MOD-007,,FR-054,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-055,FR,MOD-007,,FR-055,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-056,FR,MOD-007,,FR-056,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-057,FR,MOD-007,,FR-057,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-058,FR,MOD-007,,FR-058,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-059,FR,MOD-007,,FR-059,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-060,FR,MOD-007,,FR-060,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-061,FR,MOD-007,,FR-061,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-062,FR,MOD-008,,FR-062,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-063,FR,MOD-008,,FR-063,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-064,FR,MOD-008,,FR-064,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-065,FR,MOD-008,,FR-065,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-066,FR,MOD-008,,FR-066,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-067,FR,MOD-008,,FR-067,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-068,FR,MOD-008,,FR-068,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-069,FR,MOD-008,,FR-069,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-070,FR,MOD-008,,FR-070,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-071,FR,MOD-009,,FR-071,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-072,FR,MOD-009,,FR-072,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-073,FR,MOD-009,,FR-073,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-074,FR,MOD-009,,FR-074,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-075,FR,MOD-009,,FR-075,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-076,FR,MOD-009,,FR-076,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-077,FR,MOD-009,,FR-077,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-078,FR,MOD-009,,FR-078,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-079,FR,MOD-009,,FR-079,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-080,FR,MOD-009,,FR-080,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-081,FR,MOD-009,,FR-081,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-082,FR,MOD-009,,FR-082,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-083,FR,MOD-010,,FR-083,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-084,FR,MOD-010,,FR-084,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-085,FR,MOD-010,,FR-085,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-086,FR,MOD-010,,FR-086,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-087,FR,MOD-010,,FR-087,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-088,FR,MOD-010,,FR-088,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-089,FR,MOD-010,,FR-089,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-090,FR,MOD-010,,FR-090,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-091,FR,MOD-010,,FR-091,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-092,FR,MOD-010,,FR-092,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-093,FR,MOD-010,,FR-093,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-094,FR,MOD-010,,FR-094,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-095,FR,MOD-010,,FR-095,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-096,FR,MOD-010,,FR-096,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-097,FR,MOD-011,,FR-097,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-098,FR,MOD-011,,FR-098,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-099,FR,MOD-011,,FR-099,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-100,FR,MOD-011,,FR-100,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-101,FR,MOD-011,,FR-101,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-102,FR,MOD-011,,FR-102,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-103,FR,MOD-011,,FR-103,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-104,FR,MOD-011,,FR-104,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-105,FR,MOD-011,,FR-105,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-106,FR,MOD-011,,FR-106,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-107,FR,MOD-011,,FR-107,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-108,FR,MOD-011,,FR-108,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-109,FR,MOD-011,,FR-109,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-110,FR,MOD-011,,FR-110,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-111,FR,MOD-011,,FR-111,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-112,FR,MOD-011,,FR-112,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-113,FR,MOD-012,,FR-113,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-114,FR,MOD-012,,FR-114,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-115,FR,MOD-012,,FR-115,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-116,FR,MOD-012,,FR-116,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-117,FR,MOD-012,,FR-117,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-118,FR,MOD-012,,FR-118,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-119,FR,MOD-012,,FR-119,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-120,FR,MOD-012,,FR-120,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-121,FR,MOD-012,,FR-121,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-122,FR,MOD-012,,FR-122,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-123,FR,MOD-012,,FR-123,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-124,FR,MOD-012,,FR-124,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-125,FR,MOD-012,,FR-125,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-126,FR,MOD-012,,FR-126,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-127,FR,MOD-012,,FR-127,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-128,FR,MOD-012,,FR-128,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-129,FR,MOD-012,,FR-129,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-130,FR,MOD-012,,FR-130,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-131,FR,MOD-012,,FR-131,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-132,FR,MOD-012,,FR-132,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-133,FR,MOD-012,,FR-133,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-134,FR,MOD-012,,FR-134,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-135,FR,MOD-013,,FR-135,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-136,FR,MOD-013,,FR-136,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-137,FR,MOD-013,,FR-137,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-138,FR,MOD-013,,FR-138,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-139,FR,MOD-013,,FR-139,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-140,FR,MOD-013,,FR-140,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-141,FR,MOD-013,,FR-141,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-142,FR,MOD-013,,FR-142,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-143,FR,MOD-013,,FR-143,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-144,FR,MOD-013,,FR-144,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-145,FR,MOD-013,,FR-145,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-146,FR,MOD-013,,FR-146,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-147,FR,MOD-013,,FR-147,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-148,FR,MOD-013,,FR-148,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-149,FR,MOD-013,,FR-149,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-150,FR,MOD-013,,FR-150,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-151,FR,MOD-013,,FR-151,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-152,FR,MOD-013,,FR-152,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-153,FR,MOD-013,,FR-153,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-154,FR,MOD-013,,FR-154,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-155,FR,MOD-013,,FR-155,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-156,FR,MOD-013,,FR-156,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-157,FR,MOD-013,,FR-157,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-158,FR,MOD-013,,FR-158,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-159,FR,MOD-014,,FR-159,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-160,FR,MOD-014,,FR-160,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-161,FR,MOD-015,,FR-161,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-162,FR,MOD-015,,FR-162,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-163,FR,MOD-015,,FR-163,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-164,FR,MOD-015,,FR-164,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-165,FR,MOD-015,,FR-165,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-166,FR,MOD-016,,FR-166,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-167,FR,MOD-016,,FR-167,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-168,FR,MOD-017,,FR-168,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-169,FR,MOD-017,,FR-169,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-170,FR,MOD-017,,FR-170,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-171,FR,MOD-018,,FR-171,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-172,FR,MOD-018,,FR-172,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-173,FR,MOD-018,,FR-173,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-174,FR,MOD-018,,FR-174,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-175,FR,MOD-018,,FR-175,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-176,FR,MOD-018,,FR-176,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-177,FR,MOD-019,,FR-177,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-178,FR,MOD-019,,FR-178,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-179,FR,MOD-019,,FR-179,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-180,FR,MOD-019,,FR-180,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-181,FR,MOD-019,,FR-181,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-182,FR,MOD-019,,FR-182,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-183,FR,MOD-019,,FR-183,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-184,FR,MOD-019,,FR-184,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-185,FR,MOD-019,,FR-185,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-186,FR,MOD-019,,FR-186,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-187,FR,MOD-019,,FR-187,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-188,FR,MOD-019,,FR-188,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-189,FR,MOD-019,,FR-189,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-190,FR,MOD-019,,FR-190,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-191,FR,MOD-019,,FR-191,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-192,FR,MOD-019,,FR-192,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-193,FR,MOD-019,,FR-193,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-194,FR,MOD-019,,FR-194,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-195,FR,MOD-019,,FR-195,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-196,FR,MOD-019,,FR-196,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-197,FR,MOD-019,,FR-197,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-198,FR,MOD-019,,FR-198,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-199,FR,MOD-019,,FR-199,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-200,FR,MOD-019,,FR-200,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-201,FR,MOD-019,,FR-201,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-202,FR,MOD-019,,FR-202,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-203,FR,MOD-019,,FR-203,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-204,FR,MOD-019,,FR-204,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-205,FR,MOD-019,,FR-205,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-206,FR,MOD-019,,FR-206,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-207,FR,MOD-019,,FR-207,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-208,FR,MOD-019,,FR-208,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-209,FR,MOD-019,,FR-209,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-210,FR,MOD-019,,FR-210,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-211,FR,MOD-019,,FR-211,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-212,FR,MOD-019,,FR-212,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-213,FR,MOD-019,,FR-213,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-214,FR,MOD-019,,FR-214,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-215,FR,MOD-019,,FR-215,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-216,FR,MOD-019,,FR-216,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-217,FR,MOD-019,,FR-217,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-218,FR,MOD-019,,FR-218,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-219,FR,MOD-019,,FR-219,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-220,FR,MOD-019,,FR-220,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-221,FR,MOD-019,,FR-221,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-222,FR,MOD-019,,FR-222,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-223,FR,MOD-019,,FR-223,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-224,FR,MOD-019,,FR-224,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-225,FR,MOD-019,,FR-225,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-226,FR,MOD-019,,FR-226,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-227,FR,MOD-019,,FR-227,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-228,FR,MOD-019,,FR-228,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-229,FR,MOD-019,,FR-229,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-230,FR,MOD-019,,FR-230,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-231,FR,MOD-020,,FR-231,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-232,FR,MOD-020,,FR-232,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-233,FR,MOD-020,,FR-233,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-234,FR,MOD-020,,FR-234,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-235,FR,MOD-021,,FR-235,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-236,FR,MOD-021,,FR-236,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-237,FR,MOD-021,,FR-237,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-238,FR,MOD-021,,FR-238,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-239,FR,MOD-021,,FR-239,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-240,FR,MOD-021,,FR-240,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-241,FR,MOD-021,,FR-241,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-242,FR,MOD-001,,FR-242,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-243,FR,MOD-002,,FR-243,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-244,FR,MOD-002,,FR-244,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-245,FR,MOD-002,,FR-245,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-246,FR,MOD-003,,FR-246,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-247,FR,MOD-004,,FR-247,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-248,FR,MOD-005,,FR-248,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-249,FR,MOD-005,,FR-249,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-250,FR,MOD-005,,FR-250,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-251,FR,MOD-006,,FR-251,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-252,FR,MOD-007,,FR-252,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-253,FR,MOD-008,,FR-253,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-254,FR,MOD-009,,FR-254,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-255,FR,MOD-010,,FR-255,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-256,FR,MOD-011,,FR-256,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-257,FR,MOD-011,,FR-257,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-258,FR,MOD-012,,FR-258,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-259,FR,MOD-013,,FR-259,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-260,FR,MOD-014,,FR-260,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-261,FR,MOD-015,,FR-261,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-262,FR,MOD-016,,FR-262,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-263,FR,MOD-017,,FR-263,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-264,FR,MOD-018,,FR-264,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-265,FR,MOD-019,,FR-265,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-266,FR,MOD-020,,FR-266,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-267,FR,MOD-020,,FR-267,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-268,FR,MOD-020,,FR-268,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-269,FR,MOD-021,,FR-269,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-270,FR,MOD-018,,FR-270,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-271,FR,MOD-018,,FR-271,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-272,FR,MOD-018,,FR-272,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-273,FR,MOD-018,,FR-273,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-274,FR,MOD-018,,FR-274,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-275,FR,MOD-014,,FR-275,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-276,FR,MOD-014,,FR-276,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-277,FR,MOD-014,,FR-277,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
