Component ID,Component,Library path,Priority,Purpose,Anatomy,Required variants,State inputs,Required NFR,Keyboard contract,UIA contract,Scaling contract,Failure rule,Implementation readiness,Evidence,Remaining verification,Spec version
CMP-011,DialogShell,Task/Core/DialogShell,P0,"Owns modal semantics, title, action ordering, dismissal rules and focus return.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,modal | blocking | destructive,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-012,FocusTrap,Task/Primitive/FocusTrap,P0,Keeps keyboard focus inside blocking/modal content and restores it to the deterministic invoker.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,initial | cycle | return-target,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#useDialogFocusTrap/TaskEditorDialog; work/stage_5_2/Accessibility_Evidence_Working_0.4.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-013,ErrorMessage,Task/State/ErrorMessage,P0,"States the failure, safe consequence, recovery action and diagnostic identifier when useful.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,inline | block | page | trace-id,ObjectUnavailable; ServerUnavailable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-017,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-014,DataList,Task/Core/DataList,P0,"Presents an authorized collection with stable selection, loading, empty, stale and partial states.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,loading | empty | selected | stale | partial,Loading; Refreshing; Empty; FilteredEmpty; PartialAccess,NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-023; NFR-025,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-015,SemanticStatus,Task/State/SemanticStatus,P0,Pairs text and icon with semantic color for status that remains understandable without color.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,info | success | warning | danger | offline,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-016,TaskRow,Task/Domain/TaskRow,P0,"Summarizes task identity, project/assignee, status, urgency and due information at list density.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,default | focused | selected | overdue | read-only,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-017,TaskStatusControl,Task/Domain/TaskStatusControl,P0,Offers only server-allowed transitions and preserves current state on conflict or failure.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,allowed | pending | disabled | conflict,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Preserve the local/current value; never overwrite or report success after conflict.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-018,UrgencyIndicator,Task/Domain/UrgencyIndicator,P0,Expresses low/medium/high/critical urgency with text and a directional/status icon.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,low | medium | high | critical,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-019,InspectorPanel,Task/Pattern/InspectorPanel,P0,Shows details for the current selection while preserving list context and stale/read-only disclosure.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,empty-selection | loading | details | stale,Loading; ObjectUnavailable; PartialAccess,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-020,EmptyState,Task/State/EmptyState,P0,"Explains authorized empty, filtered empty or no-cache conditions with the smallest safe next action.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,authorized-empty | filtered-empty | no-cache,Empty; FilteredEmpty,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-021,LoadingState,Task/State/LoadingState,P0,"Reserves layout and distinguishes initial load, refresh and section-level progress.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,initial | refreshing | section,Initial; Loading; Refreshing,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-022,CommandBar,Task/Core/CommandBar,P0,Prioritizes page or selection commands and collapses to named icon actions in narrow layouts.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,page | selection | narrow,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-023,ConnectionStatus,Task/State/ConnectionStatus,P0,Provides persistent online/syncing/offline/read-only state with access to diagnostics.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,online | syncing | offline | read-only,ServerUnavailable; Reconnecting,NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010; NFR-024,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-024,NavigationRail,Task/Core/NavigationRail,P0,"Navigates primary modules, exposes the active destination and preserves accessible names in compact mode.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,expanded | compact | capability-filtered,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-025,ProfileMenu,Task/Core/ProfileMenu,P0,Shows current identity and safe account/session actions without exposing hidden directory data.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,normal | offline | session-issue,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-026,PeoplePicker,Task/Domain/PeoplePicker,P1,"Selects authorized people, communicates redaction/unavailability and never reveals forbidden directory entries.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,loading | results | selected | redacted | unavailable,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-027,DateTimePicker,Task/Domain/DateTimePicker,P1,"Captures date/date-time values with timezone context, validation and disabled/read-only behavior.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,date-only | date-time | invalid | disabled,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-007,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/implementation-direction2-task-scheduling.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-028,TimelineHistory,Task/Domain/TimelineHistory,P1,"Displays chronological authorized changes with actor, timestamp, action and redaction handling.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,loading | content | empty | partial,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-021; NFR-023,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#ProjectsSurface; work/stage_5_prototype/implementation-direction2-project-history.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-029,ProjectPicker,Task/Domain/ProjectPicker,P1,Selects an authorized project and handles removed or unavailable targets without disclosure.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,loading | results | selected | unavailable,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-030,FilterBar,Task/Pattern/FilterBar,P1,"Applies, clears and summarizes filters while preserving a deterministic filtered-empty recovery.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,empty | active | invalid | narrow,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-008; NFR-025,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface/SearchOverlay; work/stage_5_prototype/implementation-direction2-tasks-final.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-031,ReminderEditor,Task/Domain/ReminderEditor,P1,"Creates, edits or removes reminder timing with validation and target-availability recheck.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,none | scheduled | invalid | disabled,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/implementation-direction2-task-scheduling-lower.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-032,FileLocationView,Task/Domain/FileLocationView,P1,"Shows verified file locations and separates unavailable, forbidden and diagnostic outcomes.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,available | unavailable | forbidden | diagnostics,ObjectUnavailable; Forbidden; ServerUnavailable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-018; NFR-019; NFR-020,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#task-details-file-location-view; work/stage_5_prototype/edge-file-location-unavailable.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-033,RecurrenceEditor,Task/Domain/RecurrenceEditor,P1,"Builds recurrence rules, exceptions and termination with preview and DST/conflict validation.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,none | rule | exception | invalid,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-007,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Current server capability and object version remain authoritative.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/implementation-direction2-task-scheduling-lower.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-034,ProgressIndicator,Task/State/ProgressIndicator,P1,"Communicates determinate, indeterminate, paused or failed progress with a text equivalent.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,determinate | indeterminate | paused | failed,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx#AuthSurface/ProjectsSurface; work/stage_5_prototype/edge-bootstrap-repeated-failure.png,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
