"Component ID","Component","Library path","Library tier","Priority","Surface count","SCR IDs","FLOW count","FLOW IDs","Modules","Surface types","Required variants","Related canonical STATE","Related NFR","Accessibility contract","Behavior contract","Failure rule","Implementation readiness","Evidence","Remaining verification","Spec version","Freeze status"
"CMP-011","DialogShell","Task/Core/DialogShell","03 Core Components","P0","40","SCR-002; SCR-006; SCR-007; SCR-013; SCR-022; SCR-023; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-032; SCR-044; SCR-046; SCR-047; SCR-070; SCR-071; SCR-072; SCR-082; SCR-083; SCR-084; SCR-085; SCR-086; SCR-087; SCR-090; SCR-112; SCR-114; SCR-117; SCR-142; SCR-143; SCR-159; SCR-173; SCR-174; SCR-176; SCR-178; SCR-188; SCR-203; SCR-208; SCR-209; SCR-210","29","FLOW-001; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Projects; Settings; Shared; Shell; Tasks","admin page/dialog; blocking dialog/page; blocking page; critical admin page/dialog; critical dialog; dialog; dialog/context menu; dialog/flow; dialog/page; dialog/panel; drawer/dialog; inline/dialog; native dialog; page/dialog; panel/dialog; popover/dialog; recovery dialog; settings/dialog; tab/dialog","modal | blocking | destructive","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Owns modal semantics, title, action ordering, dismissal rules and focus return.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-012","FocusTrap","Task/Primitive/FocusTrap","02 Primitives","P0","40","SCR-002; SCR-006; SCR-007; SCR-013; SCR-022; SCR-023; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-032; SCR-044; SCR-046; SCR-047; SCR-070; SCR-071; SCR-072; SCR-082; SCR-083; SCR-084; SCR-085; SCR-086; SCR-087; SCR-090; SCR-112; SCR-114; SCR-117; SCR-142; SCR-143; SCR-159; SCR-173; SCR-174; SCR-176; SCR-178; SCR-188; SCR-203; SCR-208; SCR-209; SCR-210","29","FLOW-001; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Projects; Settings; Shared; Shell; Tasks","admin page/dialog; blocking dialog/page; blocking page; critical admin page/dialog; critical dialog; dialog; dialog/context menu; dialog/flow; dialog/page; dialog/panel; drawer/dialog; inline/dialog; native dialog; page/dialog; panel/dialog; popover/dialog; recovery dialog; settings/dialog; tab/dialog","initial | cycle | return-target","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Keeps keyboard focus inside blocking/modal content and restores it to the deterministic invoker.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx#useDialogFocusTrap/TaskEditorDialog; work/stage_5_2/Accessibility_Evidence_Working_0.4.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-013","ErrorMessage","Task/State/ErrorMessage","04 State Components","P0","38","SCR-001; SCR-002; SCR-008; SCR-010; SCR-013; SCR-022; SCR-025; SCR-026; SCR-028; SCR-031; SCR-044; SCR-069; SCR-070; SCR-072; SCR-090; SCR-112; SCR-114; SCR-115; SCR-117; SCR-130; SCR-131; SCR-133; SCR-134; SCR-135; SCR-136; SCR-143; SCR-151; SCR-152; SCR-153; SCR-154; SCR-173; SCR-174; SCR-184; SCR-185; SCR-188; SCR-206; SCR-208; SCR-209","30","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-015; FLOW-016; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-026; FLOW-027; FLOW-029; FLOW-031; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Sync; Tasks; Today","action bar; admin page; admin page/dialog; banner/empty; critical admin page/dialog; critical dialog; dialog; dialog/context menu; dialog/panel; drawer/dialog; overlay/page; page; page/dialog; page/panel; panel; panel/dialog; popover; popover/dialog; settings section; side panel; status popover; system notification; tab/page; tab/panel","inline | block | page | trace-id","ObjectUnavailable; ServerUnavailable","NFR-002; NFR-003; NFR-004; NFR-005; NFR-017","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","States the failure, safe consequence, recovery action and diagnostic identifier when useful.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-014","DataList","Task/Core/DataList","03 Core Components","P0","37","SCR-012; SCR-020; SCR-024; SCR-060; SCR-080; SCR-081; SCR-089; SCR-110; SCR-132; SCR-133; SCR-134; SCR-140; SCR-141; SCR-142; SCR-143; SCR-152; SCR-161; SCR-170; SCR-171; SCR-172; SCR-173; SCR-174; SCR-175; SCR-176; SCR-177; SCR-178; SCR-179; SCR-180; SCR-181; SCR-182; SCR-183; SCR-184; SCR-185; SCR-186; SCR-187; SCR-188; SCR-201","28","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Tasks","admin page; admin page/dialog; admin panel; admin shell; context menu; critical admin page/dialog; critical dialog; dialog; overlay/page; page; page/side panel; panel/page; settings section; toast/inline","loading | empty | selected | stale | partial","Loading; Refreshing; Empty; FilteredEmpty; PartialAccess","NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-023; NFR-025","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Presents an authorized collection with stable selection, loading, empty, stale and partial states.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-015","SemanticStatus","Task/State/SemanticStatus","04 State Components","P0","34","SCR-003; SCR-004; SCR-005; SCR-007; SCR-008; SCR-010; SCR-021; SCR-025; SCR-031; SCR-034; SCR-044; SCR-045; SCR-061; SCR-069; SCR-072; SCR-083; SCR-087; SCR-130; SCR-131; SCR-143; SCR-155; SCR-157; SCR-160; SCR-174; SCR-176; SCR-180; SCR-183; SCR-185; SCR-188; SCR-205; SCR-206; SCR-208; SCR-211; SCR-212","21","FLOW-001; FLOW-002; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-013; FLOW-014; FLOW-017; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-026; FLOW-027; FLOW-029; FLOW-031; FLOW-033; FLOW-035; FLOW-036","Admin; Calendar; Files; Lifecycle; Notifications; Projects; Settings; Shared; Shell; Sync; Tasks; Today","action bar; admin page; admin page/dialog; blocking page; context menu; critical admin page/dialog; critical dialog; dialog; dialog/context menu; overlay; page; page/dialog; page/panel; panel; persistent banner/status; popover; popover/panel; settings section; shell; side panel; status popover; system integration; system notification; tab/dialog; tab/page; tray surface","info | success | warning | danger | offline","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Pairs text and icon with semantic color for status that remains understandable without color.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-016","TaskRow","Task/Domain/TaskRow","05 Domain Components","P0","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-034; SCR-035; SCR-036; SCR-040; SCR-041; SCR-042; SCR-043; SCR-044; SCR-045; SCR-046; SCR-047; SCR-062; SCR-088; SCR-118","18","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-037","Calendar; CRM; Files; Inbox; Projects; Shell; Tasks; Today","action bar; context menu; dialog; dialog/page; dialog/panel; drawer/dialog; inline/dialog; page; page/dialog; panel; panel/dialog; popover; popover/dialog; side panel; tab; tab/panel; tab/view","default | focused | selected | overdue | read-only","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Summarizes task identity, project/assignee, status, urgency and due information at list density.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-017","TaskStatusControl","Task/Domain/TaskStatusControl","05 Domain Components","P0","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-034; SCR-035; SCR-036; SCR-040; SCR-041; SCR-042; SCR-043; SCR-044; SCR-045; SCR-046; SCR-047; SCR-062; SCR-088; SCR-118","18","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-037","Calendar; CRM; Files; Inbox; Projects; Shell; Tasks; Today","action bar; context menu; dialog; dialog/page; dialog/panel; drawer/dialog; inline/dialog; page; page/dialog; panel; panel/dialog; popover; popover/dialog; side panel; tab; tab/panel; tab/view","allowed | pending | disabled | conflict","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Offers only server-allowed transitions and preserves current state on conflict or failure.","Preserve the local/current value; never overwrite or report success after conflict.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-018","UrgencyIndicator","Task/Domain/UrgencyIndicator","05 Domain Components","P0","32","SCR-008; SCR-010; SCR-011; SCR-013; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-034; SCR-035; SCR-036; SCR-040; SCR-041; SCR-042; SCR-043; SCR-044; SCR-045; SCR-046; SCR-047; SCR-062; SCR-088; SCR-118","18","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-037","Calendar; CRM; Files; Inbox; Projects; Shell; Tasks; Today","action bar; context menu; dialog; dialog/page; dialog/panel; drawer/dialog; inline/dialog; page; page/dialog; panel; panel/dialog; popover; popover/dialog; side panel; tab; tab/panel; tab/view","low | medium | high | critical","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Expresses low/medium/high/critical urgency with text and a directional/status icon.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-019","InspectorPanel","Task/Pattern/InspectorPanel","06 Patterns","P0","28","SCR-011; SCR-013; SCR-021; SCR-024; SCR-025; SCR-028; SCR-030; SCR-033; SCR-035; SCR-036; SCR-045; SCR-081; SCR-088; SCR-090; SCR-111; SCR-113; SCR-115; SCR-118; SCR-130; SCR-135; SCR-160; SCR-172; SCR-179; SCR-200; SCR-201; SCR-202; SCR-203; SCR-209","26","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-029; FLOW-030; FLOW-033; FLOW-034; FLOW-036; FLOW-037","Admin; Calendar; CRM; Files; Inbox; Notifications; Search; Shared; Sync; Tasks; Today","admin page; admin panel; dialog/panel; drawer/dialog; page; page/panel; page/side panel; panel; panel/dialog; panel/page; popover/panel; side panel; tab/panel","empty-selection | loading | details | stale","Loading; ObjectUnavailable; PartialAccess","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Shows details for the current selection while preserving list context and stale/read-only disclosure.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-020","EmptyState","Task/State/EmptyState","04 State Components","P0","20","SCR-005; SCR-010; SCR-012; SCR-020; SCR-021; SCR-040; SCR-045; SCR-060; SCR-062; SCR-080; SCR-110; SCR-116; SCR-130; SCR-133; SCR-134; SCR-135; SCR-136; SCR-140; SCR-141; SCR-171","18","FLOW-007; FLOW-008; FLOW-013; FLOW-015; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-037","Admin; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Shell; Tasks; Today","admin page; banner/empty; overlay; overlay/page; page; page/panel; panel; tab; tab/timeline","authorized-empty | filtered-empty | no-cache","Empty; FilteredEmpty","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Explains authorized empty, filtered empty or no-cache conditions with the smallest safe next action.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-021","LoadingState","Task/State/LoadingState","04 State Components","P0","18","SCR-001; SCR-002; SCR-003; SCR-010; SCR-020; SCR-024; SCR-027; SCR-035; SCR-040; SCR-061; SCR-080; SCR-133; SCR-134; SCR-160; SCR-186; SCR-200; SCR-206; SCR-209","24","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-019; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-031; FLOW-032; FLOW-033; FLOW-035","Admin; Auth; Calendar; Files; Projects; Search; Shared; Sync; Tasks; Today","admin page; dialog; dialog/panel; overlay/page; page; page/dialog; popover/panel; side panel; status popover; tab/panel","initial | refreshing | section","Initial; Loading; Refreshing","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Reserves layout and distinguishes initial load, refresh and section-level progress.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-022","CommandBar","Task/Core/CommandBar","03 Core Components","P0","3","SCR-004; SCR-150; SCR-170","7","FLOW-001; FLOW-002; FLOW-022; FLOW-023; FLOW-024; FLOW-029; FLOW-030","Admin; Settings; Shell","admin shell; settings shell; shell","page | selection | narrow","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Prioritizes page or selection commands and collapses to named icon actions in narrow layouts.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-023","ConnectionStatus","Task/State/ConnectionStatus","04 State Components","P0","3","SCR-004; SCR-150; SCR-170","7","FLOW-001; FLOW-002; FLOW-022; FLOW-023; FLOW-024; FLOW-029; FLOW-030","Admin; Settings; Shell","admin shell; settings shell; shell","online | syncing | offline | read-only","ServerUnavailable; Reconnecting","NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010; NFR-024","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Provides persistent online/syncing/offline/read-only state with access to diagnostics.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-024","NavigationRail","Task/Core/NavigationRail","03 Core Components","P0","3","SCR-004; SCR-150; SCR-170","7","FLOW-001; FLOW-002; FLOW-022; FLOW-023; FLOW-024; FLOW-029; FLOW-030","Admin; Settings; Shell","admin shell; settings shell; shell","expanded | compact | capability-filtered","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Navigates primary modules, exposes the active destination and preserves accessible names in compact mode.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-025","ProfileMenu","Task/Core/ProfileMenu","03 Core Components","P0","3","SCR-004; SCR-150; SCR-170","7","FLOW-001; FLOW-002; FLOW-022; FLOW-023; FLOW-024; FLOW-029; FLOW-030","Admin; Settings; Shell","admin shell; settings shell; shell","normal | offline | session-issue","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Shows current identity and safe account/session actions without exposing hidden directory data.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-026","PeoplePicker","Task/Domain/PeoplePicker","05 Domain Components","P1","32","SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-034; SCR-035; SCR-036; SCR-042; SCR-060; SCR-061; SCR-062; SCR-063; SCR-064; SCR-065; SCR-066; SCR-067; SCR-068; SCR-069; SCR-070; SCR-071; SCR-072","19","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-032; FLOW-033; FLOW-034; FLOW-035","Calendar; Projects; Tasks; Today","action bar; context menu; dialog; dialog/context menu; dialog/page; dialog/panel; page; page/dialog; panel; panel/dialog; popover/dialog; side panel; tab; tab/page; tab/panel; tab/view","loading | results | selected | redacted | unavailable","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Selects authorized people, communicates redaction/unavailability and never reveals forbidden directory entries.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-027","DateTimePicker","Task/Domain/DateTimePicker","05 Domain Components","P1","30","SCR-005; SCR-008; SCR-021; SCR-022; SCR-026; SCR-029; SCR-030; SCR-036; SCR-040; SCR-041; SCR-042; SCR-043; SCR-044; SCR-045; SCR-046; SCR-047; SCR-063; SCR-070; SCR-082; SCR-085; SCR-112; SCR-114; SCR-116; SCR-131; SCR-141; SCR-151; SCR-154; SCR-160; SCR-173; SCR-206","20","FLOW-004; FLOW-005; FLOW-006; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-016; FLOW-018; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-027; FLOW-028; FLOW-031; FLOW-032; FLOW-034; FLOW-037","Admin; Calendar; CRM; Files; Lifecycle; Notifications; Projects; Settings; Shell; Sync; Tasks","admin page/dialog; dialog; inline/dialog; overlay; page; page/dialog; panel; panel/dialog; popover; popover/dialog; popover/panel; recovery dialog; settings section; status popover; system notification; tab; tab/panel; tab/timeline; tab/view","date-only | date-time | invalid | disabled","","NFR-002; NFR-003; NFR-004; NFR-005; NFR-007","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Captures date/date-time values with timezone context, validation and disabled/read-only behavior.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/implementation-direction2-task-scheduling.png","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-028","TimelineHistory","Task/Domain/TimelineHistory","05 Domain Components","P1","28","SCR-024; SCR-036; SCR-068; SCR-081; SCR-140; SCR-141; SCR-142; SCR-143; SCR-170; SCR-171; SCR-172; SCR-173; SCR-174; SCR-175; SCR-176; SCR-177; SCR-178; SCR-179; SCR-180; SCR-181; SCR-182; SCR-183; SCR-184; SCR-185; SCR-186; SCR-187; SCR-188; SCR-201","20","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-015; FLOW-016; FLOW-017; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-035; FLOW-036","Admin; Files; Lifecycle; Projects; Shared; Tasks","admin page; admin page/dialog; admin panel; admin shell; critical admin page/dialog; critical dialog; dialog; page; page/side panel; panel/page; tab; tab/panel","loading | content | empty | partial","","NFR-002; NFR-003; NFR-004; NFR-005; NFR-021; NFR-023","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Displays chronological authorized changes with actor, timestamp, action and redaction handling.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx#ProjectsSurface; work/stage_5_prototype/implementation-direction2-project-history.png","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-029","ProjectPicker","Task/Domain/ProjectPicker","05 Domain Components","P1","23","SCR-012; SCR-013; SCR-014; SCR-021; SCR-040; SCR-045; SCR-060; SCR-061; SCR-062; SCR-063; SCR-064; SCR-065; SCR-066; SCR-067; SCR-068; SCR-069; SCR-070; SCR-071; SCR-072; SCR-088; SCR-118; SCR-135; SCR-177","10","FLOW-013; FLOW-014; FLOW-019; FLOW-026; FLOW-030; FLOW-031; FLOW-032; FLOW-034; FLOW-035; FLOW-037","Admin; Calendar; CRM; Files; Inbox; Projects; Search; Tasks","admin page; context menu; dialog; dialog/context menu; drawer/dialog; page; page/dialog; panel; tab; tab/page; tab/panel","loading | results | selected | unavailable","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Selects an authorized project and handles removed or unavailable targets without disclosure.","Current server capability and object version remain authoritative.","Prototype-verified","work/stage_5_prototype/src/App.jsx#TaskEditorDialog; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-030","FilterBar","Task/Pattern/FilterBar","06 Patterns","P1","22","SCR-005; SCR-010; SCR-011; SCR-012; SCR-020; SCR-021; SCR-040; SCR-042; SCR-045; SCR-060; SCR-110; SCR-116; SCR-130; SCR-133; SCR-134; SCR-135; SCR-136; SCR-140; SCR-171; SCR-180; SCR-181; SCR-186","15","FLOW-007; FLOW-008; FLOW-013; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-026; FLOW-029; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-037","Admin; Calendar; CRM; Inbox; Lifecycle; Notifications; Projects; Search; Shell; Tasks; Today","admin page; banner/empty; overlay; overlay/page; page; page/panel; panel; tab/timeline; tab/view","empty | active | invalid | narrow","","NFR-002; NFR-003; NFR-004; NFR-005; NFR-008; NFR-025","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Applies, clears and summarizes filters while preserving a deterministic filtered-empty recovery.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx#TasksSurface/SearchOverlay; work/stage_5_prototype/implementation-direction2-tasks-final.png","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
