"Record type","Record ID","Module","Surface / representative frame","Required actions","Permission / redaction","Offline / error / destructive variant","Reusable component evidence","Prototype implementation backlog","Evidence status"
"SCR","SCR-141","Lifecycle","Trash page","open read-only; restore; purge","Trash.Read; purge separate capability","empty; legal hold; parent missing; conflict","LifecycleBanner; DataList; ConflictNotice","WB-LIFE-04 trash","Storyboard"
"SCR","SCR-142","Lifecycle","Restore conflict dialog","restore; choose parent/name; cancel","Trash/Archive/object Restore; hidden parent not disclosed","duplicate; parent hidden; permission changed","DialogShell; PermissionState; TimelineHistory","WB-LIFE-05 restore conflict","Storyboard"
"SCR","SCR-143","Lifecycle","Purge metadata critical dialog","type confirmation; purge; cancel","Trash.Purge","retention/legal hold/conflict; irreversible metadata deletion","DialogShell; ConflictNotice; SemanticStatus","WB-LIFE-06 purge","Storyboard"
"FLOW","FLOW-013","Projects","Create project: list → editor → overview","create; save; open","Project.Create","validation/duplicate/conflict","DataList; DialogShell; FormLayout","WB-PROJ-01/09","Storyboard"
"FLOW","FLOW-014","Projects","Add member: overview → members → role dialog","add; apply; transfer owner","Project.ManageMembers","duplicate/scope/conflict/owner invariant","PeoplePicker; PermissionState; ConflictNotice","WB-PROJ-05/10","Storyboard"
"FLOW","FLOW-015","Files","Open file: item → resolve → OS handoff/diagnosis","open; alternative; retry","FileReference.Open + OS ACL","no location/not found/denied/network","FileLocationView; RetryAction","WB-FILE-02/05/06","Storyboard"
"FLOW","FLOW-016","Files","Unavailable file: failed open → safe recovery","retry; alternative; relink","Open; optional Update","all SMB/OS failure variants; no physical deletion","ErrorMessage; FileLocationView","WB-FILE-06","Storyboard"
"FLOW","FLOW-017","Files","Relink: diagnostics → relink → resolve","replace/add alternative; cancel","FileLocation.Update","unsafe/wrong scope/conflict","FileLocationView; ConflictNotice","WB-FILE-04/07","Storyboard"
"FLOW","FLOW-018","CRM","Create contact: list → editor → card","create; save; cancel","Contact.Create/Update","validation/duplicate/conflict","DataList; DialogShell; FormLayout","WB-CRM-01/03","Storyboard"
"FLOW","FLOW-026","Lifecycle","Archive: object menu → confirm → archive","archive; inspect; unarchive","object archive capability","state changed/conflict; read-only archive","ContextMenu; DialogShell; LifecycleBanner","WB-LIFE-01/02/03","Storyboard"
"FLOW","FLOW-027","Lifecycle","Trash: menu → confirm → trash","trash; inspect retention","object delete capability","legal hold/forbidden/conflict","ContextMenu; DialogShell; LifecycleBanner","WB-LIFE-02/04","Storyboard"
"FLOW","FLOW-028","Lifecycle","Restore: trash → restore conflict → active","restore; choose parent/name","Restore capability","duplicate/hidden parent/permission changed","DialogShell; PermissionState","WB-LIFE-04/05","Storyboard"
"FLOW","FLOW-035","Projects","Complete then archive project","complete; archive; inspect history","Project.Update/Archive","invalid transition; active links; archived read-only","LifecycleBanner; ConflictNotice; TimelineHistory","WB-PROJ-08; WB-LIFE-01/03","Storyboard"
"FLOW","FLOW-036","Files","Add alternative FileLocation","add; test; set priority","FileLocation.Update","duplicate/unsafe/network unavailable; existing path preserved","FileLocationView; ValidationMessage","WB-FILE-08","Storyboard"
"FLOW","FLOW-037","CRM","Create interaction: card → timeline → editor","create; save; participant selection","Interaction.Create/Update","validation/conflict/hidden participant","DataList; DialogShell; PermissionState","WB-CRM-07/08","Storyboard"
"STATE","STC-002","Shared","Loading skeleton matching final surface","cancel navigation; retry after timeout","no new data exposed","pending read","LoadingState; ProgressIndicator","All WB frames","Component reference"
"STATE","STC-003","Shared","Refreshing usable data","continue read","current rights apply","background read","LoadingState; ProgressIndicator","All WB lists/details","Component reference"
"STATE","STC-004","Shared","Authorized empty list","create or adjust scope","create only when permitted","200 empty","EmptyState; DataList","WB-PROJ-01; WB-FILE-01; WB-CRM-01","Component reference"
"STATE","STC-005","Shared","Filtered empty list","reset/modify","no hidden counts","200 empty","EmptyState; DataList; FilterBar","WB-PROJ-01; WB-CRM-01","Component reference"
"STATE","STC-006","Editors","Inline validation with preserved draft","correct; cancel","field capability remains visible/read-only","VALIDATION_FAILED","ValidationMessage; FormLayout","All WB editors","Component reference"
"STATE","STC-007","Shared","Forbidden result","close; request access","hide/redact protected data; server authoritative","FORBIDDEN","PermissionState; RedactionMarker","All WB writes","Component reference"
"STATE","STC-008","Shared","Unavailable/hidden object","back; search","neutral removal of sensitive detail","OBJECT_NOT_VISIBLE","PermissionState; RedactionMarker","All WB links/details","Component reference"
"STATE","STC-009","Editors","Conflict compare with local draft retained","reload; compare; reapply; discard","current target access rechecked","VERSION_CONFLICT","ConflictNotice; DialogShell","WB-PROJ-08/09/10; WB-FILE-04/07; WB-CRM-03/05/08","Component reference"
"STATE","STC-010","Editors","Precondition required","refresh","no repeated unsafe write","PRECONDITION_REQUIRED","ConflictNotice; DialogShell","All versioned WB editors","Component reference"
"STATE","STC-011","Lifecycle","Archived read-only object","history; unarchive if allowed","normal save absent","OBJECT_ARCHIVED","LifecycleBanner; ReadOnlyBanner","WB-LIFE-03 and object cards","Component reference"
"STATE","STC-012","Lifecycle","Trashed tombstone","restore; back","purge only with separate capability","OBJECT_DELETED","LifecycleBanner; ReadOnlyBanner","WB-LIFE-04/05/06","Component reference"
"STATE","STC-013","Shared","Server unavailable; cache read-only","retry; diagnostics; local file open","writes disabled; no freshness claim","DATABASE_UNAVAILABLE / DEPENDENCY_UNAVAILABLE","ConnectivityBanner; ConnectionStatus; ReadOnlyBanner","All WB surfaces","Component reference"
"STATE","STC-014","Shared","Reconnecting","diagnostics","read-only until sync","—","ConnectivityBanner; ConnectionStatus; ReadOnlyBanner","All WB surfaces","Component reference"
"STATE","STC-020","Shared","Access scope changed","reauthenticate if needed","purge sensitive route before render","SYNC_SCOPE_CHANGED","SemanticStatus; ErrorMessage","All WB scoped surfaces","Component reference"
