AC ID,Module,FR/BR,Scenario,Priority,Test type,Source,Gherkin
AC-035,MOD-005,BR-035,Проверить бизнес-правило: Review → completed и review → in_progress выполняются только разрешёнными transition.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.4",
AC-036,MOD-006,BR-036,Проверить бизнес-правило: Подзадача является Task с parentTaskId.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.4",
AC-037,MOD-006,BR-037,Проверить бизнес-правило: Глубина вложенности ограничена одним уровнем.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.4",
AC-038,MOD-006,BR-038,Проверить бизнес-правило: Checklist item не имеет самостоятельного lifecycle вне родительского Task.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.4",
AC-039,MOD-006,BR-039,Проверить бизнес-правило: Reorder сохраняет стабильный порядок без дубликатов.,High,Integration/domain,"§11.4–11.5, §27.1.9–10; Stage 3.4",
AC-040,MOD-007,BR-040,"Проверить бизнес-правило: Series имеет timezone и ровно один termination mode, если завершение задано.",High,Integration/domain,"§11.6, §27.1.16; Stage 3.4",
AC-041,MOD-007,BR-041,Проверить бизнес-правило: Occurrence key уникален; повторная генерация идемпотентна.,High,Integration/domain,"§11.6, §27.1.16; Stage 3.4",
AC-042,MOD-007,BR-042,Проверить бизнес-правило: Изменение scope выбирается явно.,High,Integration/domain,"§11.6, §27.1.16; Stage 3.4",
AC-043,MOD-007,BR-043,Проверить бизнес-правило: Отмена серии не помещает её в универсальную корзину.,High,Integration/domain,"§11.6, §27.1.16; Stage 3.4",
AC-044,MOD-008,BR-044,Проверить бизнес-правило: Напоминание имеет ровно один trigger mode.,High,Integration/domain,"§17, §27.1.19–21; Stage 3.4",
AC-045,MOD-008,BR-045,"Проверить бизнес-правило: Snooze меняет время reminder, но не расписание Task/Event.",High,Integration/domain,"§17, §27.1.19–21; Stage 3.4",
AC-046,MOD-008,BR-046,Проверить бизнес-правило: Повторное срабатывание дедуплицируется сервером.,High,Integration/domain,"§17, §27.1.19–21; Stage 3.4",
AC-047,MOD-009,BR-047,Проверить бизнес-правило: Overlap разрешён и только предупреждается.,High,Integration/domain,"§12, §27.1.18, §29; Stage 3.4",
AC-048,MOD-009,BR-048,Проверить бизнес-правило: Date-only Task отображается вне временной шкалы.,High,Integration/domain,"§12, §27.1.18, §29; Stage 3.4",
AC-049,MOD-009,BR-049,Проверить бизнес-правило: Deadline не используется как позиция на timeline.,High,Integration/domain,"§12, §27.1.18, §29; Stage 3.4",
AC-050,MOD-009,BR-050,Проверить бизнес-правило: Все локальные времена интерпретируются с timezone.,High,Integration/domain,"§12, §27.1.18, §29; Stage 3.4",
AC-051,MOD-010,BR-051,Проверить бизнес-правило: У проекта всегда остаётся владелец.,High,Integration/domain,"§13, §27.1.7–8, §29, §33; Stage 3.4",
AC-052,MOD-010,BR-052,Проверить бизнес-правило: Завершение проекта и архивирование различаются.,High,Integration/domain,"§13, §27.1.7–8, §29, §33; Stage 3.4",
AC-053,MOD-010,BR-053,Проверить бизнес-правило: Удаление проекта не удаляет каскадно Task и физические файлы.,High,Integration/domain,"§13, §27.1.7–8, §29, §33; Stage 3.4",
AC-054,MOD-010,BR-054,Проверить бизнес-правило: Explicit deny сильнее allow; сервер пересчитывает scopeVersion.,High,Integration/domain,"§13, §27.1.7–8, §29, §33; Stage 3.4",
AC-055,MOD-011,BR-055,Проверить бизнес-правило: Приложение хранит только metadata и paths.,High,Integration/domain,"§§14–15, §27.1.22–31, §29; Stage 3.4",
AC-056,MOD-011,BR-056,Проверить бизнес-правило: OS/SMB ACL остаётся авторитетным для физического открытия.,High,Integration/domain,"§§14–15, §27.1.22–31, §29; Stage 3.4",
AC-057,MOD-011,BR-057,Проверить бизнес-правило: Move в дереве меняет только parent metadata.,High,Integration/domain,"§§14–15, §27.1.22–31, §29; Stage 3.4",
AC-058,MOD-011,BR-058,[STATE-018] Проверить бизнес-правило: Удаление/архив/purge не затрагивает физический файл.,High,Integration/domain,"§§14–15, §27.1.22–31, §29; Stage 3.4",
AC-059,MOD-011,BR-059,Проверить бизнес-правило: Выбранный location видим пользователю и может быть заменён альтернативным.,High,Integration/domain,"§§14–15, §27.1.22–31, §29; Stage 3.4",
AC-060,MOD-012,BR-060,Проверить бизнес-правило: Contact может существовать без Company.,High,Integration/domain,"§16, §27.1.32, §29; Stage 3.4",
AC-061,MOD-012,BR-061,Проверить бизнес-правило: Удаление или архивирование не разрывает историю без явного действия.,High,Integration/domain,"§16, §27.1.32, §29; Stage 3.4",
AC-062,MOD-012,BR-062,Проверить бизнес-правило: Контактные каналы валидируются по типу; primary определяется контрактом.,High,Integration/domain,"§16, §27.1.32, §29; Stage 3.4",
AC-063,MOD-013,BR-063,Проверить бизнес-правило: Изменение комментария сохраняет предыдущую версию.,High,Integration/domain,"§16.5, §18, §21, §27.1.33; Stage 3.4",
AC-064,MOD-013,BR-064,[STATE-018] Проверить бизнес-правило: Удаление комментария создаёт tombstone и допускает moderation restore.,High,Integration/domain,"§16.5, §18, §21, §27.1.33; Stage 3.4",
AC-065,MOD-013,BR-065,Проверить бизнес-правило: Interaction вводится вручную и является versioned object.,High,Integration/domain,"§16.5, §18, §21, §27.1.33; Stage 3.4",
AC-066,MOD-013,BR-066,Проверить бизнес-правило: Object links не дают permission на target автоматически.,High,Integration/domain,"§16.5, §18, §21, §27.1.33; Stage 3.4",
AC-067,MOD-014,BR-067,Проверить бизнес-правило: Authorization filtering выполняется до pagination.,High,Integration/domain,"§20, §27.1.35; Stage 3.4",
AC-068,MOD-014,BR-068,Проверить бизнес-правило: Cursor связан со всеми фильтрами и scopeVersion.,High,Integration/domain,"§20, §27.1.35; Stage 3.4",
AC-069,MOD-014,BR-069,Проверить бизнес-правило: Изменение фильтра сбрасывает cursor.,High,Integration/domain,"§20, §27.1.35; Stage 3.4",
AC-070,MOD-014,BR-070,Проверить deprecation BR-070 и replacement BR-105 без потери истории.,High,Integration/domain,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.1.2 delta,"Given historical BR-070 присутствует
When candidate 4.1.2 строит employee search
Then BR-070 помечен deprecated и ссылается на BR-105
And active requirement использует Stage 2.3.1 employee contract"
AC-071,MOD-015,BR-071,Проверить бизнес-правило: Notification content после создания неизменно; меняются только состояния доставки/прочтения.,High,Integration/domain,"§17, §27.1.19–21, §29; Stage 3.4",
AC-072,MOD-015,BR-072,Проверить бизнес-правило: Toast action не изменяет бизнес-объект локально.,High,Integration/domain,"§17, §27.1.19–21, §29; Stage 3.4",
AC-073,MOD-015,BR-073,Проверить бизнес-правило: Target permission и version проверяются при каждом действии.,High,Integration/domain,"§17, §27.1.19–21, §29; Stage 3.4",
AC-074,MOD-015,BR-074,Проверить бизнес-правило: Недоступный target не раскрывается.,High,Integration/domain,"§17, §27.1.19–21, §29; Stage 3.4",
AC-075,MOD-016,BR-075,[STATE-017] Проверить бизнес-правило: Archived object сохраняется и по умолчанию read-only.,High,Integration/domain,"§22.1, §27.1.36; Stage 3.4",
AC-076,MOD-016,BR-076,[STATE-018] Проверить бизнес-правило: Архив не является удалением и не запускает retention purge.,High,Integration/domain,"§22.1, §27.1.36; Stage 3.4",
AC-077,MOD-016,BR-077,"[STATE-017] Проверить бизнес-правило: Unarchive проверяет текущие parent, uniqueness и permissions.",High,Integration/domain,"§22.1, §27.1.36; Stage 3.4",
AC-078,MOD-017,BR-078,[STATE-018] Проверить бизнес-правило: Trashed object не редактируется обычными командами.,High,Integration/domain,"§22.2, §27.1.37, §29; Stage 3.4",
AC-079,MOD-017,BR-079,"[STATE-018] Проверить бизнес-правило: Restore валидирует parent, uniqueness и текущие permissions.",High,Integration/domain,"§22.2, §27.1.37, §29; Stage 3.4",
AC-080,MOD-017,BR-080,[STATE-018] Проверить бизнес-правило: Purge необратим и доступен только после retention.,High,Integration/domain,"§22.2, §27.1.37, §29; Stage 3.4",
AC-081,MOD-017,BR-081,[STATE-018] Проверить бизнес-правило: UserAccount не удаляется через generic trash.,High,Integration/domain,"§22.2, §27.1.37, §29; Stage 3.4",
AC-082,MOD-018,BR-082,"Проверить бизнес-правило: Каждая настройка маркируется как user-synced, device-local или server-managed.",High,Integration/domain,"§23, §24; Stage 3.4",
AC-083,MOD-018,BR-083,Проверить бизнес-правило: PATCH omitted означает unchanged; null очищает только nullable field.,High,Integration/domain,"§23, §24; Stage 3.4",
AC-084,MOD-018,BR-084,Проверить бизнес-правило: Unsupported controls не отображаются.,High,Integration/domain,"§23, §24; Stage 3.4",
AC-085,MOD-019,BR-085,Проверить бизнес-правило: Administrative action требует отдельной capability и server-side check.,High,Integration/domain,"§7.1, §24–26, §29; Stage 3.4",
AC-086,MOD-019,BR-086,Проверить бизнес-правило: System roles/canonical permissions не меняются произвольно.,High,Integration/domain,"§7.1, §24–26, §29; Stage 3.4",
AC-087,MOD-019,BR-087,"Проверить бизнес-правило: Backup success подтверждается проверкой результата, а не существованием файла.",High,Integration/domain,"§7.1, §24–26, §29; Stage 3.4",
AC-088,MOD-019,BR-088,Проверить бизнес-правило: Любая sensitive admin command журналируется.,High,Integration/domain,"§7.1, §24–26, §29; Stage 3.4",
AC-089,MOD-020,BR-089,Проверить бизнес-правило: Сервер является единственным источником истины.,High,Integration/domain,"§18–19, §27.2, §29; Stage 3.4",
AC-090,MOD-020,BR-090,Проверить бизнес-правило: Без сервера общие writes заблокированы.,High,Integration/domain,"§18–19, §27.2, §29; Stage 3.4",
AC-091,MOD-020,BR-091,Проверить бизнес-правило: Scope change удаляет чувствительные projections до render.,High,Integration/domain,"§18–19, §27.2, §29; Stage 3.4",
AC-092,MOD-020,BR-092,"[STATE-007] Проверить бизнес-правило: Realtime является invalidation, durable truth идёт через change feed.",High,Integration/domain,"§18–19, §27.2, §29; Stage 3.4",
AC-093,MOD-020,BR-093,Проверить бизнес-правило: Conflict никогда не перезаписывается автоматически.,High,Integration/domain,"§18–19, §27.2, §29; Stage 3.4",
AC-094,MOD-021,BR-094,Проверить бизнес-правило: Audit append-only.,High,Integration/domain,"§21, §25, §27.1.34; Stage 3.4",
AC-095,MOD-021,BR-095,Проверить бизнес-правило: История фильтруется текущими правами.,High,Integration/domain,"§21, §25, §27.1.34; Stage 3.4",
AC-096,MOD-021,BR-096,"Проверить бизнес-правило: Пароли, tokens, secrets и чувствительные полные paths не журналируются.",High,Integration/domain,"§21, §25, §27.1.34; Stage 3.4",
AC-097,MOD-021,BR-097,Проверить бизнес-правило: Экспорт аудита создаётся как контролируемая фоновая операция.,High,Integration/domain,"§21, §25, §27.1.34; Stage 3.4",
AC-098,MOD-001,FR-001,Happy path: Администратор задаёт временный пароль,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `User.ResetPassword` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/admin-reset-password` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-099,MOD-001,FR-001,[STATE-008/STATE-009] Permission denied: Администратор задаёт временный пароль не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `User.ResetPassword` или требуемой relation
When клиент запрашивает `POST /api/v1/auth/admin-reset-password`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-100,MOD-001,FR-001,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/auth/admin-reset-password`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-101,MOD-001,FR-001,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/auth/admin-reset-password` с устаревшей контрактная версия/precondition
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-102,MOD-001,FR-001,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Администратор задаёт временный пароль не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Администратор задаёт временный пароль»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-103,MOD-001,FR-001,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_auth_admin_reset_password`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_auth_admin_reset_password` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-104,MOD-001,FR-002,Happy path: Смена собственного пароля,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Authenticated` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/change-password` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-105,MOD-001,FR-002,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/auth/change-password`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-106,MOD-001,FR-002,[STATE-007] Validation: fieldErrors сохраняют draft и привязываются к canonical field path,High,Contract/UI,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given пользователь заполнил payload для `POST_api_v1_auth_change_password` с нарушением DTO constraint
When сервер возвращает VALIDATION_FAILED с fieldErrors
Then draft сохраняется, ошибки связываются с canonical field paths и фокус переходит к первой ошибке"
AC-107,MOD-001,FR-002,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/auth/change-password` с устаревшей контрактная версия/precondition
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-108,MOD-001,FR-002,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Смена собственного пароля не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Смена собственного пароля»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-109,MOD-001,FR-002,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_auth_change_password`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_auth_change_password` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-110,MOD-001,FR-003,Happy path: Вход по логину/паролю,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Anonymous` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/login` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-111,MOD-001,FR-003,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Вход по логину/паролю не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Вход по логину/паролю»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-112,MOD-001,FR-003,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_auth_login`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_auth_login` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-113,MOD-001,FR-004,Happy path: Журнал входов,High,Contract/integration,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability.csv,
AC-114,MOD-001,FR-004,[STATE-008/STATE-009] Permission denied: Журнал входов не выполняется и данные не раскрываются,Critical,Security/authorization,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability.csv,"Given пользователь аутентифицирован, но не имеет `SecurityAudit.Read` или требуемой relation
When клиент запрашивает `GET /api/v1/auth/login-attempts`
Then сервер возвращает 403/OBJECT_NOT_VISIBLE согласно контракту
And клиент не раскрывает скрытые данные и не применяет optimistic UI change"
AC-115,MOD-001,FR-004,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `GET_api_v1_auth_login_attempts`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `GET /api/v1/auth/login-attempts`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-116,MOD-001,FR-005,Happy path: Завершить текущую сессию,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Authenticated` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/logout` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-117,MOD-001,FR-005,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/auth/logout`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-118,MOD-001,FR-005,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Завершить текущую сессию не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_auth_logout`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Завершить текущую сессию»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-119,MOD-001,FR-006,Happy path: Отозвать все сессии пользователя,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Authenticated` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/logout-all` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
AC-120,MOD-001,FR-006,[STATE-032/STATE-033/STATE-034] Session/device interruption: операция прекращается без сохранения неподтверждённого состояния,Critical,Security/session,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability.csv,"Given access/refresh session или device больше не действительны
When клиент обращается к `POST /api/v1/auth/logout-all`
Then сервер возвращает стабильную auth/session/device ошибку
And клиент прекращает команды, очищает запрещённые credentials/cache по политике и переводит пользователя в безопасный login/recovery flow"
AC-121,MOD-001,FR-006,[STATE-014/STATE-025] Conflict/precondition: устаревшая или отсутствующая контрактная версия/precondition не приводит к overwrite,Critical,Concurrency/integration,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability.csv,"Given серверное состояние изменилось после загрузки клиентом
When клиент отправляет `POST /api/v1/auth/logout-all` с устаревшей контрактная версия/precondition
Then сервер отклоняет команду без overwrite
And клиент сохраняет draft и предлагает refresh/compare/reapply или безопасный повтор"
AC-122,MOD-001,FR-006,[STATE-010/STATE-011/STATE-012] Server unavailable/read-only: команда Отозвать все сессии пользователя не ставится в offline queue,Critical,Desktop/resilience,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability.csv,"Given сервер недоступен или приложение находится в read-only cache mode
When пользователь пытается выполнить «Отозвать все сессии пользователя»
Then команда не отправляется и не помещается в offline business queue
And UI сохраняет допустимый local draft или сообщает, что действие требует соединения"
AC-123,MOD-001,FR-006,[STATE-020] Idempotency: повтор с тем же key/hash не создаёт двойной side effect,Critical,Integration,OpenAPI `POST_api_v1_auth_logout_all`; Stage_3_Field_Traceability.csv,"Given первая команда `POST_api_v1_auth_logout_all` уже принята с idempotency key и payload hash
When клиент безопасно повторяет тот же key и payload
Then сервер возвращает тот же бизнес-результат без второго side effect
And другой payload с тем же key отклоняется как IDEMPOTENCY_KEY_REUSED"
AC-124,MOD-001,FR-007,Happy path: Ротация refresh token,Critical,Contract/integration,OpenAPI `POST_api_v1_auth_refresh`; Stage_3_Field_Traceability.csv,"Given пользователь имеет `Anonymous.SessionRefresh` и выполнены предусловия
When клиент отправляет `POST /api/v1/auth/refresh` с контрактным payload и headers
Then сервер возвращает успешный контрактный ответ
And клиент отображает только authoritative response"
