BR ID,Module,Rule,Source,Related FR,Verification
BR-046,MOD-008,Повторное срабатывание дедуплицируется сервером.,"§17, §27.1.19–21; Stage 3.4",,AC-046
BR-047,MOD-009,Overlap разрешён и только предупреждается.,"§12, §27.1.18, §29; Stage 3.4",,AC-047
BR-048,MOD-009,Date-only Task отображается вне временной шкалы.,"§12, §27.1.18, §29; Stage 3.4",,AC-048
BR-049,MOD-009,Deadline не используется как позиция на timeline.,"§12, §27.1.18, §29; Stage 3.4",,AC-049
BR-050,MOD-009,Все локальные времена интерпретируются с timezone.,"§12, §27.1.18, §29; Stage 3.4",,AC-050
BR-051,MOD-010,У проекта всегда остаётся владелец.,"§13, §27.1.7–8, §29, §33; Stage 3.4",,AC-051
BR-052,MOD-010,Завершение проекта и архивирование различаются.,"§13, §27.1.7–8, §29, §33; Stage 3.4",,AC-052
BR-053,MOD-010,Удаление проекта не удаляет каскадно Task и физические файлы.,"§13, §27.1.7–8, §29, §33; Stage 3.4",,AC-053
BR-054,MOD-010,Explicit deny сильнее allow; сервер пересчитывает scopeVersion.,"§13, §27.1.7–8, §29, §33; Stage 3.4",,AC-054
BR-055,MOD-011,Приложение хранит только metadata и paths.,"§§14–15, §27.1.22–31, §29; Stage 3.4",,AC-055
BR-056,MOD-011,OS/SMB ACL остаётся авторитетным для физического открытия.,"§§14–15, §27.1.22–31, §29; Stage 3.4",,AC-056
BR-057,MOD-011,Move в дереве меняет только parent metadata.,"§§14–15, §27.1.22–31, §29; Stage 3.4",,AC-057
BR-058,MOD-011,Удаление/архив/purge не затрагивает физический файл.,"§§14–15, §27.1.22–31, §29; Stage 3.4",,AC-058
BR-059,MOD-011,Выбранный location видим пользователю и может быть заменён альтернативным.,"§§14–15, §27.1.22–31, §29; Stage 3.4",,AC-059
BR-060,MOD-012,Contact может существовать без Company.,"§16, §27.1.32, §29; Stage 3.4",,AC-060
BR-061,MOD-012,Удаление или архивирование не разрывает историю без явного действия.,"§16, §27.1.32, §29; Stage 3.4",,AC-061
BR-062,MOD-012,Контактные каналы валидируются по типу; primary определяется контрактом.,"§16, §27.1.32, §29; Stage 3.4",,AC-062
BR-063,MOD-013,Изменение комментария сохраняет предыдущую версию.,"§16.5, §18, §21, §27.1.33; Stage 3.4",,AC-063
BR-064,MOD-013,Удаление комментария создаёт tombstone и допускает moderation restore.,"§16.5, §18, §21, §27.1.33; Stage 3.4",,AC-064
BR-065,MOD-013,Interaction вводится вручную и является versioned object.,"§16.5, §18, §21, §27.1.33; Stage 3.4",,AC-065
BR-066,MOD-013,Object links не дают permission на target автоматически.,"§16.5, §18, §21, §27.1.33; Stage 3.4",,AC-066
BR-067,MOD-014,Authorization filtering выполняется до pagination.,"§20, §27.1.35; Stage 3.4",,AC-067
BR-068,MOD-014,Cursor связан со всеми фильтрами и scopeVersion.,"§20, §27.1.35; Stage 3.4",,AC-068
BR-069,MOD-014,Изменение фильтра сбрасывает cursor.,"§20, §27.1.35; Stage 3.4",,AC-069
BR-070,MOD-014,EmployeeProfile как самостоятельный result type не поддержан текущим контрактом и зафиксирован OQ.,"§20, §27.1.35; Stage 3.4",,AC-070
BR-071,MOD-015,Notification content после создания неизменно; меняются только состояния доставки/прочтения.,"§17, §27.1.19–21, §29; Stage 3.4",,AC-071
BR-072,MOD-015,Toast action не изменяет бизнес-объект локально.,"§17, §27.1.19–21, §29; Stage 3.4",,AC-072
BR-073,MOD-015,Target permission и version проверяются при каждом действии.,"§17, §27.1.19–21, §29; Stage 3.4",,AC-073
BR-074,MOD-015,Недоступный target не раскрывается.,"§17, §27.1.19–21, §29; Stage 3.4",,AC-074
BR-075,MOD-016,Archived object сохраняется и по умолчанию read-only.,"§22.1, §27.1.36; Stage 3.4",,AC-075
BR-076,MOD-016,Архив не является удалением и не запускает retention purge.,"§22.1, §27.1.36; Stage 3.4",,AC-076
BR-077,MOD-016,"Unarchive проверяет текущие parent, uniqueness и permissions.","§22.1, §27.1.36; Stage 3.4",,AC-077
BR-078,MOD-017,Trashed object не редактируется обычными командами.,"§22.2, §27.1.37, §29; Stage 3.4",,AC-078
BR-079,MOD-017,"Restore валидирует parent, uniqueness и текущие permissions.","§22.2, §27.1.37, §29; Stage 3.4",,AC-079
BR-080,MOD-017,Purge необратим и доступен только после retention.,"§22.2, §27.1.37, §29; Stage 3.4",,AC-080
BR-081,MOD-017,UserAccount не удаляется через generic trash.,"§22.2, §27.1.37, §29; Stage 3.4",,AC-081
BR-082,MOD-018,"Каждая настройка маркируется как user-synced, device-local или server-managed.","§23, §24; Stage 3.4",,AC-082
BR-083,MOD-018,PATCH omitted означает unchanged; null очищает только nullable field.,"§23, §24; Stage 3.4",,AC-083
BR-084,MOD-018,Unsupported controls не отображаются.,"§23, §24; Stage 3.4",,AC-084
BR-085,MOD-019,Administrative action требует отдельной capability и server-side check.,"§7.1, §24–26, §29; Stage 3.4",,AC-085
BR-086,MOD-019,System roles/canonical permissions не меняются произвольно.,"§7.1, §24–26, §29; Stage 3.4",,AC-086
BR-087,MOD-019,"Backup success подтверждается проверкой результата, а не существованием файла.","§7.1, §24–26, §29; Stage 3.4",,AC-087
BR-088,MOD-019,Любая sensitive admin command журналируется.,"§7.1, §24–26, §29; Stage 3.4",,AC-088
BR-089,MOD-020,Сервер является единственным источником истины.,"§18–19, §27.2, §29; Stage 3.4",,AC-089
BR-090,MOD-020,Без сервера общие writes заблокированы.,"§18–19, §27.2, §29; Stage 3.4",,AC-090
BR-091,MOD-020,Scope change удаляет чувствительные projections до render.,"§18–19, §27.2, §29; Stage 3.4",,AC-091
BR-092,MOD-020,"Realtime является invalidation, durable truth идёт через change feed.","§18–19, §27.2, §29; Stage 3.4",,AC-092
BR-093,MOD-020,Conflict никогда не перезаписывается автоматически.,"§18–19, §27.2, §29; Stage 3.4",,AC-093
BR-094,MOD-021,Audit append-only.,"§21, §25, §27.1.34; Stage 3.4",,AC-094
BR-095,MOD-021,История фильтруется текущими правами.,"§21, §25, §27.1.34; Stage 3.4",,AC-095
BR-096,MOD-021,"Пароли, tokens, secrets и чувствительные полные paths не журналируются.","§21, §25, §27.1.34; Stage 3.4",,AC-096
BR-097,MOD-021,Экспорт аудита создаётся как контролируемая фоновая операция.,"§21, §25, §27.1.34; Stage 3.4",,AC-097
