Operation ID,Method,Path,OpenAPI line,Request,Response,Permission,HTTP codes,Idempotency,Locking,FR IDs,AC IDs,UX IDs,Permission refs valid,Stable error refs valid,Coverage status,Evidence
POST_api_v1_admin_search_reindex,POST,/api/v1/admin/search/reindex,1018,ReindexRequest,BackgroundJobRun,System.Configure,"202,400,401,403,409",Idempotency-Key,—,FR-187,AC-1141;AC-1142;AC-1143;AC-1144;AC-1145;AC-1146,STATE-007;STATE-008;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_admin_server_capabilities,GET,/api/v1/admin/server-capabilities,1099,—,ServerCapabilities,System.Configure,"200,401,403",Safe,—,FR-188,AC-1147;AC-1148;AC-1149,STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_admin_storage,GET,/api/v1/admin/storage,1147,—,StorageStatus,System.HealthRead,"200,401,403,503",Safe,—,FR-189,AC-1150;AC-1151;AC-1152,STATE-008;STATE-010;STATE-022;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_archive,GET,/api/v1/archive,1204,"query:type,projectId,page",Page<ArchiveEntry>,History.Read,"200,400,401,403",Safe,—,FR-166,AC-1032;AC-1033;AC-1034,FLOW-026;STATE-008;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_archive_objectId_restore,POST,/api/v1/archive/{objectId}/restore,1286,—,ObjectReference,Archive.Restore,"200,401,403,404,409,412,422,428",Idempotent,If-Match,FR-167,AC-1035;AC-1036;AC-1037;AC-1038;AC-1039;AC-1040,FLOW-026;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_audit,GET,/api/v1/audit,1391,"query:actor,action,object,outcome,from,to,cursor",Page<AuditEntry>,Audit.ReadAll,"200,400,401,403",Safe,—,FR-235;FR-236,AC-1381;AC-1382;AC-1383;AC-1384;AC-1385;AC-1386;AC-1387,STATE-008;STATE-020;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_audit_export,GET,/api/v1/audit/export,1510,"query:filters,format",ExportJob,Audit.ReadAll,"202,400,401,403,429",Idempotency-Key,—,FR-236,AC-1384;AC-1385;AC-1386;AC-1387,STATE-008;STATE-020;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_admin_reset_password,POST,/api/v1/auth/admin-reset-password,1594,AdminResetPasswordRequest,TemporaryCredentialReceipt,User.ResetPassword,"200,400,401,403,404,409",Idempotency-Key,target version,FR-001,AC-098;AC-099;AC-100;AC-101;AC-102;AC-103,SCR-173;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_change_password,POST,/api/v1/auth/change-password,1682,ChangePasswordRequest,204,Authenticated,"204,400,401,409,422",Idempotency-Key,security stamp,FR-002,AC-104;AC-105;AC-106;AC-107;AC-108;AC-109,SCR-152;STATE-007;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_login,POST,/api/v1/auth/login,1760,LoginRequest,SessionTokens,Anonymous,"200,400,401,423,429",Idempotency-Key optional,—,FR-003,AC-110;AC-111;AC-112,FLOW-001;SCR-001;STATE-020;STATE-021;STATE-026;STATE-032;STATE-033;STATE-037;STATE-038;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_auth_login_attempts,GET,/api/v1/auth/login-attempts,1832,"query:userId,result,from,to,page",Page<LoginAttempt>,SecurityAudit.Read,"200,400,401,403",Safe,—,FR-004,AC-113;AC-114;AC-115,SCR-181;STATE-008;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_logout,POST,/api/v1/auth/logout,1932,—,204,Authenticated,"204,401",Idempotent,—,FR-005;FR-006,AC-116;AC-117;AC-118;AC-119;AC-120;AC-121;AC-122;AC-123,FLOW-003;SCR-152;SCR-161;STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_logout_all,POST,/api/v1/auth/logout-all,1965,LogoutAllRequest,RevocationSummary,Authenticated,"200,401,403",Idempotency-Key,user security version,FR-006,AC-119;AC-120;AC-121;AC-122;AC-123,SCR-152;SCR-161;STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_refresh,POST,/api/v1/auth/refresh,2022,RefreshRequest,SessionTokens,Anonymous.SessionRefresh,"200,400,401,409",Single-use token,token family version,FR-007,AC-124;AC-125;AC-126;AC-127,FLOW-002;FLOW-003;FLOW-024;SCR-006;STATE-007;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_auth_session,GET,/api/v1/auth/session,2091,—,CurrentSession,Authenticated,"200,401",Safe,—,FR-008;FR-009,AC-128;AC-129;AC-130;AC-131;AC-132,FLOW-002;FLOW-003;FLOW-024;SCR-006;SCR-161;SCR-181;STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_auth_sessions,GET,/api/v1/auth/sessions,2129,"query:userId,page",Page<Session>,Session.ReadOwnOrAll,"200,401,403",Safe,—,FR-009,AC-130;AC-131;AC-132,SCR-161;SCR-181;STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_auth_sessions_sessionId_revoke,POST,/api/v1/auth/sessions/{sessionId}/revoke,2196,path:sessionId,204,Session.RevokeOwnOrAll,"204,401,403,404",Idempotent,—,FR-010,AC-133;AC-134;AC-135;AC-136,SCR-161;SCR-181;STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_calendar,GET,/api/v1/calendar,2252,"query:from,to,users,departments,projects,status,timezone,cursor",SchedulePage,Calendar.Read,"200,400,401,403,422",Safe,—,FR-071;FR-072;FR-075;FR-082,AC-471;AC-472;AC-473;AC-474;AC-475;AC-476;AC-477;AC-491;AC-492;AC-493;AC-539;AC-540;AC-541;AC-542,SCR-044;STATE-007;STATE-008;STATE-009;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_calendar_events,GET,/api/v1/calendar-events,2404,"query: filter,sort,page,cursor",Page<CalendarEvent>,Calendar.Read,"200,400,401,403",Safe,—,FR-072;FR-075,AC-475;AC-476;AC-477;AC-491;AC-492;AC-493,SCR-044;STATE-008;STATE-009;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_calendar_events,POST,/api/v1/calendar-events,2495,CalendarEventCreate,CalendarEvent,CalendarEvent.Create,"201,400,401,403,409,422",Idempotency-Key,—,FR-073;FR-077;FR-079;FR-080;FR-081,AC-478;AC-479;AC-480;AC-481;AC-482;AC-483;AC-484;AC-501;AC-502;AC-503;AC-504;AC-505;AC-506;AC-507;AC-508;AC-517;AC-518;AC-519;AC-520;AC-521;AC-522;AC-523;AC-524;AC-525;AC-526;AC-527;AC-528;AC-529;AC-530;AC-531;AC-532;AC-533;AC-534;AC-535;AC-536;AC-537;AC-538,FLOW-026;FLOW-028;FLOW-031;SCR-044;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
DELETE_api_v1_calendar_events_id,DELETE,/api/v1/calendar-events/{id},2589,path:id,DeletionReceipt,CalendarEvent.Delete,"202,401,403,404,409,412,428",Idempotent,If-Match required,FR-074,AC-485;AC-486;AC-487;AC-488;AC-489;AC-490,FLOW-027;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_calendar_events_id,GET,/api/v1/calendar-events/{id},2680,path:id,CalendarEvent,Calendar.Read,"200,401,403,404",Safe,—,FR-075,AC-491;AC-492;AC-493,SCR-044;STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
PATCH_api_v1_calendar_events_id,PATCH,/api/v1/calendar-events/{id},2740,CalendarEventPatch,CalendarEvent,CalendarEvent.Update,"200,400,401,403,404,409,412,422,428",Conditional,If-Match required,FR-076,AC-494;AC-495;AC-496;AC-497;AC-498;AC-499;AC-500,FLOW-032;SCR-044;SCR-047;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_calendar_events_id_archive,POST,/api/v1/calendar-events/{id}/archive,2859,ArchiveRequest,CalendarEvent,CalendarEvent.Update,"200,401,403,404,409,412,422,428",Idempotency-Key,If-Match required,FR-077,AC-501;AC-502;AC-503;AC-504;AC-505;AC-506;AC-507;AC-508,FLOW-026;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
PUT_api_v1_calendar_events_id_attendees,PUT,/api/v1/calendar-events/{id}/attendees,2973,AttendeesReplace,CalendarEvent,CalendarEvent.Update,"200,400,401,403,404,409,412,422,428",Idempotency-Key,If-Match event,FR-078,AC-509;AC-510;AC-511;AC-512;AC-513;AC-514;AC-515;AC-516,SCR-044;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_calendar_events_id_respond,POST,/api/v1/calendar-events/{id}/respond,3095,AttendeeResponse,EventAttendee,CalendarEvent.Respond,"200,400,401,403,404,409,412,422,428",Idempotency-Key,If-Match attendee,FR-079,AC-517;AC-518;AC-519;AC-520;AC-521;AC-522;AC-523;AC-524,SCR-044;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_calendar_events_id_restore,POST,/api/v1/calendar-events/{id}/restore,3217,RestoreRequest,CalendarEvent,CalendarEvent.Delete,"200,401,403,404,409,412,422,428",Idempotency-Key,If-Match/trashed version,FR-080,AC-525;AC-526;AC-527;AC-528;AC-529;AC-530;AC-531;AC-532,FLOW-028;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_calendar_events_id_unarchive,POST,/api/v1/calendar-events/{id}/unarchive,3331,—,CalendarEvent,CalendarEvent.Update,"200,401,403,404,409,412,428",Idempotent,If-Match required,FR-081,AC-533;AC-534;AC-535;AC-536;AC-537;AC-538,FLOW-026;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_calendar_conflicts,GET,/api/v1/calendar/conflicts,3423,"query:from,to,userIds,excludeObjectId",ScheduleConflict[],Calendar.Read,"200,400,401,403,422",Safe,—,FR-082,AC-539;AC-540;AC-541;AC-542,STATE-007;STATE-008;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_capabilities,GET,/api/v1/capabilities,3533,—,ServerCapabilities,Authenticated,"200,401",Safe,—,FR-015,AC-143;AC-144,STATE-032;STATE-033;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_catalog_items,GET,/api/v1/catalog-items,3571,"query: filter,sort,page,cursor",Page<CatalogItem>,FileCatalog.Read,"200,400,401,403",Safe,—,FR-097;FR-100;FR-103,AC-633;AC-634;AC-635;AC-649;AC-650;AC-651;AC-667;AC-668;AC-669,SCR-083;STATE-008;STATE-009;STATE-021;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_catalog_items,POST,/api/v1/catalog-items,3662,CatalogItemCreate,CatalogItem,FileCatalog.Create,"201,400,401,403,409,422",Idempotency-Key,—,FR-098;FR-102;FR-104;FR-107;FR-108;FR-109;FR-110,AC-636;AC-637;AC-638;AC-639;AC-640;AC-641;AC-642;AC-659;AC-660;AC-661;AC-662;AC-663;AC-664;AC-665;AC-666;AC-670;AC-671;AC-672;AC-673;AC-674;AC-675;AC-676;AC-677;AC-693;AC-694;AC-695;AC-696;AC-697;AC-698;AC-699;AC-700;AC-701;AC-702;AC-703;AC-704;AC-705;AC-706;AC-707;AC-708;AC-709;AC-710;AC-711;AC-712;AC-713;AC-714;AC-715;AC-716;AC-717;AC-718;AC-719;AC-720;AC-721;AC-722,FLOW-026;FLOW-028;FLOW-036;SCR-083;SCR-087;SCR-090;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
DELETE_api_v1_catalog_items_id,DELETE,/api/v1/catalog-items/{id},3756,path:id,DeletionReceipt,FileCatalog.Delete,"202,401,403,404,409,412,428",Idempotent,If-Match required,FR-099;FR-105,AC-643;AC-644;AC-645;AC-646;AC-647;AC-648;AC-678;AC-679;AC-680;AC-681;AC-682;AC-683;AC-684,FLOW-027;SCR-083;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_catalog_items_id,GET,/api/v1/catalog-items/{id},3847,path:id,CatalogItem,FileCatalog.Read,"200,401,403,404",Safe,—,FR-100;FR-103,AC-649;AC-650;AC-651;AC-667;AC-668;AC-669,SCR-083;STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
PATCH_api_v1_catalog_items_id,PATCH,/api/v1/catalog-items/{id},3907,CatalogItemPatch,CatalogItem,FileCatalog.Update,"200,400,401,403,404,409,412,422,428",Conditional,If-Match required,FR-101;FR-106,AC-652;AC-653;AC-654;AC-655;AC-656;AC-657;AC-658;AC-685;AC-686;AC-687;AC-688;AC-689;AC-690;AC-691;AC-692,SCR-083;SCR-086;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_catalog_items_id_archive,POST,/api/v1/catalog-items/{id}/archive,4026,ArchiveRequest,CatalogItem,FileCatalog.Update,"200,401,403,404,409,412,422,428",Idempotency-Key,If-Match required,FR-102,AC-659;AC-660;AC-661;AC-662;AC-663;AC-664;AC-665;AC-666,FLOW-026;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_catalog_items_id_locations,GET,/api/v1/catalog-items/{id}/locations,4140,query:deviceId,FileLocation[],FileReference.Open,"200,401,403,404",Safe,—,FR-103,AC-667;AC-668;AC-669,SCR-083;STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_catalog_items_id_locations,POST,/api/v1/catalog-items/{id}/locations,4212,FileLocationCreate,FileLocation,FileLocation.Update,"201,400,401,403,404,409,412,422,428",Idempotency-Key,If-Match item,FR-104,AC-670;AC-671;AC-672;AC-673;AC-674;AC-675;AC-676;AC-677,FLOW-036;SCR-083;SCR-087;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
DELETE_api_v1_catalog_items_id_locations_locationId,DELETE,/api/v1/catalog-items/{id}/locations/{locationId},4335,—,204,FileLocation.Update,"204,401,403,404,409,412,422,428",Idempotent,If-Match item,FR-105,AC-678;AC-679;AC-680;AC-681;AC-682;AC-683;AC-684,FLOW-027;SCR-083;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-024;STATE-025;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
PATCH_api_v1_catalog_items_id_locations_locationId,PATCH,/api/v1/catalog-items/{id}/locations/{locationId},4439,FileLocationPatch,FileLocation,FileLocation.Update,"200,400,401,403,404,409,412,422,428",Idempotency-Key,If-Match location/item,FR-106,AC-685;AC-686;AC-687;AC-688;AC-689;AC-690;AC-691;AC-692,SCR-083;SCR-086;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
