NFR ID,Area,Requirement,Target,Measurement,Source/Assumption,Modules
NFR-011,Concurrency,"All versioned writes, including urgency scale PUT/reset, require If-Match and reject stale/missing version.",100% versioned writes covered by 412/428/409 tests,Generated contract test suite,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
NFR-012,Idempotency,Idempotent commands do not duplicate side effects for same key/hash.,Exactly one business result/event for duplicate delivery,Integration/replay tests,Stage 2.3.1,ALL
NFR-013,Security,"Server evaluates authentication, capability, relation, employee visibility/redaction and filters before pagination on every request.",No authorization decision based solely on UI,BOLA/permission tests,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
NFR-014,Security,"Tokens, passwords, secrets, raw query, PII, notification content and sensitive full paths are absent from logs/analytics.",0 secret findings in log scan,Automated redaction/security test,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
NFR-015,Transport,Client-server traffic uses approved TLS inside local network.,0 plaintext HTTP API endpoints; untrusted/expired/mismatched certificate is rejected and no credentials or command payload is sent.,Deployment endpoint scan and negative TLS handshake/certificate matrix inside the approved LAN configuration.,Architecture,ALL
NFR-016,Local data,"User-specific cache is encrypted, disposable and cleared on logout/revoke/scope changes as specified.",No readable cache after cleanup,Desktop storage/security test,ADR-015; DEC-032,ALL
NFR-017,Errors,"Client maps all Stage 2.3.1 stable errors, cursor invalidation and redaction/unavailable states without raw exceptions.",All stable errors mapped; no raw exception,Catalog coverage test,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
NFR-018,File safety,Application never deletes or moves physical working files as a metadata side effect.,0 physical mutations in delete/move/purge tests,Filesystem sandbox tests,DEC-017/018,ALL
NFR-019,File access,OS/SMB ACL remains authoritative and failures are categorized.,No ACL bypass; differentiated error,Windows/SMB integration tests,Architecture A1-06,ALL
NFR-020,Compatibility,Unsupported clients are blocked for writes; Stage 2.3.1 notification clients retain built-in urgency presentation mapping.,No writable shell below min version,Version compatibility tests,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
NFR-021,Audit,Audit/history is append-only and authorization/redaction aware.,No update/delete path for audit; current-right filtering,DB/API/security tests,Architecture; ADR-009,ALL
NFR-022,Backup UX,"Admin UI shows backup result, last success and verification status; backup bytes are not exposed.",No success claim without completed result/verification metadata,Admin integration test,Architecture backup agent,ALL
NFR-023,Scale,"Candidate is designed for up to 300 active employees, 100 concurrent connections and approximately 2M tasks/events.",Architecture target; validate with load fixtures,Load test report,Architecture §0.5 assumption,ALL
NFR-024,Availability,"The product candidate does not assert an unapproved numeric availability SLA, RPO or RTO. Deployment must reference a company-approved operational policy before production approval.",0 unsupported SLA/RPO/RTO value in product requirements; deployment evidence links one approved external policy and its validation plan.,PRD token scan plus deployment-policy presence/approval/link check; numeric objectives are tested only after company approval.,"Stage 1 architecture §0.5 and §18 require company approval; OQ-008 closed as an external deployment-policy gate, not a product value.",ALL
NFR-025,Request limits,"Requests, text and batch sizes respect OpenAPI/Stage 2.3.1 limits.",0 client request beyond contract limit,Generated boundary tests,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,ALL
