Operation ID,In candidate,FR evidence,AC evidence,Audit result
GET_api_v1_auth_sessions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_calendar,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_calendar_conflicts,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_calendar_events,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_calendar_events_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_capabilities,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_catalog_items,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_catalog_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_catalog_items_id_locations,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_catalog_tree,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_comments_id_versions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_companies,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_companies_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_contacts,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_contacts_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_departments,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_departments_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_departments_tree,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_devices,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_devices_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_feature_flags,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_inbox_items,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_inbox_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_interactions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_interactions_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_network_resources,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_notifications,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_notifications_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_notifications_preferences,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_objects_objectId_comments,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_objects_objectId_comments_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_objects_objectId_history,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_objects_objectId_history_version,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_objects_objectId_links,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_permissions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_project_roles,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_projects,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_projects_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_projects_id_history,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_projects_id_members,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_realtime_negotiate,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_recurrence_series,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_recurrence_series_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_reminders,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_reminders_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_reminders_upcoming,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_roles,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_roles_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_search,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_search_suggestions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_settings_me,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_settings_notification_urgency_scale,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_settings_organization,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_sync_changes,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_system_time,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_system_version,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tags,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tags_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks_id_history,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks_id_subtasks,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks_taskId_checklists,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_tasks_taskId_checklists_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_today,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_trash,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_users,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_users_id,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_users_id_effective_permissions,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_users_id_history,Yes,Present,Candidate traceability/AC catalog,Pass
GET_health_details,Yes,Present,Candidate traceability/AC catalog,Pass
GET_health_live,Yes,Present,Candidate traceability/AC catalog,Pass
GET_health_ready,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_calendar_events_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_catalog_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_catalog_items_id_locations_locationId,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_companies_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_contacts_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_contacts_id_channels_channelId,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_departments_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_devices_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_inbox_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_interactions_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_network_resources_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_objects_objectId_comments_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_projects_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_projects_id_members_userId,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_recurrence_series_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_reminders_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_roles_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_settings_me,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_settings_organization,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_tags_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_tasks_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_tasks_taskId_checklists_checklistId_items_itemId,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_tasks_taskId_checklists_id,Yes,Present,Candidate traceability/AC catalog,Pass
PATCH_api_v1_users_id,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_backups,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_backups_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_backups_id_verify,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_change_feed_compact,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_jobs_code_run,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_maintenance_mode,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_admin_search_reindex,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_archive_objectId_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_admin_reset_password,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_change_password,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_login,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_logout,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_logout_all,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_refresh,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_auth_sessions_sessionId_revoke,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_calendar_events,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_calendar_events_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_calendar_events_id_respond,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_calendar_events_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_calendar_events_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_locations,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_move,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_resolve_location,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_catalog_items_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_comments_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_companies,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_companies_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_companies_id_contacts,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_companies_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_companies_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts_id_addresses,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts_id_channels,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_contacts_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_departments,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_departments_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_departments_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_departments_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_devices_id_heartbeat,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_devices_id_revoke,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_file_locations_id_check_result,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_inbox_items,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_inbox_items_id_convert_to_catalog_item,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_inbox_items_id_convert_to_task,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_inbox_items_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_interactions,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_interactions_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_network_resources,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_network_resources_id_probe,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_notifications_id_action,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_notifications_id_read,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_notifications_read_all,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_objects_objectId_comments,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_objects_objectId_links,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects_id_members,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects_id_transfer_ownership,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_projects_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series_id_apply_change,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series_id_generate,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series_id_preview,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series_id_resume,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_recurrence_series_id_skip_occurrenceKey,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_reminders,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_reminders_id_dismiss,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_reminders_id_reschedule,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_reminders_id_snooze,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_roles,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_roles_id_activate,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_settings_notification_urgency_scale_reset,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_sync_ack,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_sync_bootstrap,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tags,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tags_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_bulk_transition,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_archive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_dependencies,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_move,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_subtasks,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_transition,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_id_unarchive,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_taskId_checklists,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_taskId_checklists_checklistId_items,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_tasks_taskId_checklists_checklistId_reorder,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_trash_objectId_restore,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users_id_activate,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users_id_block,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users_id_deactivate,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users_id_reactivate,Yes,Present,Candidate traceability/AC catalog,Pass
POST_api_v1_users_id_unblock,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_admin_feature_flags_key,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_calendar_events_id_attendees,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_departments_id_managers,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_interactions_id_participants,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_notifications_preferences,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_objects_objectId_tags,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_project_roles_id_permissions,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_projects_id_members_userId_overrides,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_roles_id_permissions,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_settings_notification_urgency_scale,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_tasks_id_assignees,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_tasks_id_watchers,Yes,Present,Candidate traceability/AC catalog,Pass
PUT_api_v1_users_id_roles,Yes,Present,Candidate traceability/AC catalog,Pass
