Role contract ID,Screen/action,Admin,Manager,Employee,Observer,Permission/capability,UI/server policy,Required presentation states,Required components,Design evidence,Accessibility evidence,Canonical source,Contract status,Visual status,Stage 5.4 audit result,Stage 5.4 evidence,Native Windows evidence
ROLE-012,View other calendars,Global,Department/project scope,Explicit scope,Project read-only scope,Calendar.Read,No hidden user/count disclosure,CapabilityFiltered; Hidden; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; DateTimePicker; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-013,Drag/resize schedule,Capability,Scoped,Own/assigned if allowed,Hidden,Task.Update/CalendarEvent.Update,Disable offline/archived; keyboard alternative,CapabilityFiltered; DisabledWithReason; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-014,Create Project,Capability,Usually available,Only if granted,Hidden,Project.Create,Hide create without capability,CapabilityFiltered; Hidden; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-015,Edit Project,Capability,Owned/managed,Editor-limited,Read-only,Project.Update,Field-level masks,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-016,Manage Project members,Capability,Owner/Manager,Hidden,Hidden,Project.ManageMembers,Owner invariant visible,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-017,Project role/overrides,Capability,Owner/Manager limited,Hidden,Hidden,Project.ManageMembers/Role.Manage,Do not expose raw policy engine,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout; PageLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-018,Complete Project,Capability,Owner/Manager,Only if explicit,Hidden,Project.Update,Separate from archive,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-019,Archive Project,Capability,Owner/Manager,Explicit only,Hidden,Project.Archive,Disable invalid state with reason,CapabilityFiltered; DisabledWithReason; ServerRecheck,PermissionState; SemanticStatus; DataList; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; qa/role-lifecycle-offline.png; evidence/design-qa-wave-c-lifecycle.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-020,Read Catalog metadata,Policy,Project/department scope,Linked/scoped,Linked/scoped,FileCatalog.Read,Separate from open,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; FileLocationView; ErrorMessage; DialogShell,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; qa/role-lifecycle-offline.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-021,Open File,Capability + OS ACL,Capability + OS ACL,Capability + OS ACL,May be allowed,FileReference.Open,OS failure after visible action is valid,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; FileLocationView; ErrorMessage; DialogShell,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; qa/role-lifecycle-offline.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-022,Add/relink FileLocation,Capability,Scoped if granted,"Capability, own/device scope",Hidden,FileLocation.Update,Foreign local path redacted,CapabilityFiltered; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; FileLocationView; ErrorMessage; DialogShell,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; qa/role-lifecycle-offline.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-023,Manage network resources,Available,Hidden,Hidden,Hidden,NetworkResource.Manage,Admin nav only,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; FileLocationView; ErrorMessage; DialogShell,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; qa/role-lifecycle-offline.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-024,Trash CatalogItem metadata,Capability,Scoped,Capability,Hidden,FileCatalog.Delete,Always state physical file unaffected,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; FileLocationView; ErrorMessage; DialogShell,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-file-unavailable.png; qa/role-lifecycle-offline.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-025,Create/update Contact,Capability,Project/department scope,Scoped capability,Hidden,Contact.Create/Update,Partial fields read-only,CapabilityFiltered; ReadOnly; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-026,Read Contact,Global policy,Scoped,Scoped,Scoped read,Contact.Read,No hidden related counts,CapabilityFiltered; Hidden; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-027,Create Interaction,Capability,Scoped,Scoped capability,Hidden,Interaction.Create,No email/message side effect,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-028,Create Comment,Target access,Target access,Target access,Usually hidden/read-only,Comment.Create,Target rechecked,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; CommentThread; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-029,Moderate Comment,Capability,Rare capability,Own only unless moderator,Hidden,Comment.UpdateOwnOrModerate/Moderate,Own vs moderator distinct,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; CommentThread; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-030,Read Object history,Current access; audit separate,Current access,Current access,Current access,History.Read,Redact by current rights,CapabilityFiltered; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-project-history.png; evidence/design-qa-stage5-surfaces.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-031,Global Search,Available,Available,Available,Available,Search.Use,Server-filtered results,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; evidence/design-qa-wave-c-search.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-032,View urgency scale,Visible,Visible,Visible,Visible,`Settings.ReadOwn`,Unavailable with explanation if server denies,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-admin-limited.png; evidence/design-qa-wave-c-admin.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-033,Edit intervals/displayToken,Enabled if capability,Only if explicit capability,Only if explicit capability,Read-only,`System.Configure`,Read-only/disabled with reason; server `FORBIDDEN` authoritative,CapabilityFiltered; DisabledWithReason; ReadOnly; ForbiddenResult; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-admin-limited.png; evidence/design-qa-wave-c-admin.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-034,Reset scale,Enabled if capability,Only if explicit capability,Only if explicit capability,Hidden/disabled,`System.Configure`,If-Match + Idempotency-Key required,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-admin-limited.png; evidence/design-qa-wave-c-admin.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-035,Search Employees,Available,Available,Available,Available,`Search.Use`,Server filtering; no hidden count,CapabilityFiltered; Hidden; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; qa/role-admin-limited.png; qa/role-operations-limited.jpg,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-036,Open employee deep link,If result issued and target still allowed,Same,Same,Same,target policy recheck,Neutral unavailable on revoked access,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; qa/role-admin-limited.png; qa/role-operations-limited.jpg,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-037,See blocked employee,Only with capability,Only if explicit capability,Usually omitted,Omitted,existing `User.Block`,Server omission; no post-filter,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; qa/role-admin-limited.png; qa/role-operations-limited.jpg,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-038,Redacted employee fields,Available fields only,Same,Same,Same,server relation/capability,`isRedacted=true`; nullable fields hidden with text explanation,CapabilityFiltered; Hidden; RedactedOrUnavailable; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3.5 role/interface delta,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-search-offline.png; qa/role-admin-limited.png; qa/role-operations-limited.jpg,PENDING_EXTERNAL_UIA_NARRATOR
