ru_name,technical_name,purpose,owner_boundary,required,optional,relations,invariants_lifecycle,history_lock,sensitivity_volume
Путь к файлу,FileLocation,Физическое расположение логического item,File Catalog,"catalog_item_id,location_type,normalized_path,priority","device_id,network_resource_id,is_primary",Device/NetworkResource,Scope-specific uniqueness; type/scope consistency; no credentials,History/audit yes; lock yes,Sensitive path; ≤20m
Проверка location,FileLocationCheck,Последний probe и диагноз,Desktop/server telemetry,"location_id,device_id,checked_at,result","latency,error_code",Location,Append/last-state; no raw OS credentials or full stack,Technical history; no lock,Sensitive metadata; ≤100m
Доступность пути на устройстве,FileLocationDeviceState,Per-device результат проверки физического пути,File Catalog,"location,device,user,status,version","checked_at,latency,last_check","FileLocation,Device,User",One current state per location/device; tenant and ownership guard,Telemetry retention; version CAS,Sensitive device metadata; high volume
Маска редактирования истории,HistoryRedaction,Append-only указание скрываемых PII paths,Governance,"organization,object_id,paths,reason,correlation_id",requested_by,"Organization,User",Append-only; read projection applies latest masks,Append-only,Highly sensitive; low
Запись идемпотентности,IdempotencyRecord,Durable replay результата mutating-команды,Identity,"organization_id,user_id,operation_id,key,request_hash,state,expires_at","response_status,response_headers,response_body,resource_id,lease","Organization,User",Unique scope; different request hash is conflict; completed response immutable,Retention audit; row lock/lease,Sensitive request metadata; high volume
Входящий элемент,InboxItem,Быстрое сохранение до классификации,Creator,"type,title,created_by","body,url,file draft",Task/CatalogItem conversion,Owned by creator until shared; converted once or trashed,History yes; lock yes,May contain PII; ≤2m
Взаимодействие,Interaction,Ручная CRM-хронология,CRM,"type,occurred_at,author,summary","next_step,next_step_at,company","Participants, links",Occurred_at may be past; append correction via version/history,History yes; lock yes,Confidential; ≤10m
Сетевой ресурс,NetworkResource,Разрешённый SMB/NAS root,Admin/File module,"name,unc_root,status","description,probe settings",FileLocations,"UNC canonical, allowlisted; credentials never stored in path",Audit/history yes; lock yes,Sensitive infrastructure; ≤500
Уведомление,Notification,Inbox-сообщение пользователю,Notification module,"recipient,type,title,created_at,status","body,object link,read_at",Deliveries,Immutable content after creation; read/dismiss transitions only,Audit status; lock yes,May contain PII; ≤50m
Доставка уведомления,NotificationDelivery,Канал/устройство доставки,Notification module,"notification_id,channel,status","device_id,attempt,error","Notification, Device",Unique notification/channel/device attempt key,Technical history; no user edit,Sensitive metadata; ≤100m
История объекта,ObjectHistory,Пользовательская история изменений,Governance,"object_id,version,event_type,changed_at","diff_json,snapshot subset",core.objects,Append-only; one row per object version,Append-only,Sensitive; high volume
Ключ версии истории,ObjectHistoryVersionKey,Глобальная уникальность object/version поверх partitions,Governance,"organization,object_id,object_version,history_id,changed_at",—,ObjectHistory,Insert-only unique key,Append-only,Internal; very high
Связь объектов,ObjectLink,Типизированная связь любых объектов,Collaboration,"source,target,link_type",metadata constrained,core.objects,No self-link for disallowed types; unique semantic edge,History/audit; lock yes,Potentially sensitive; ≤50m
Связь тега,ObjectTag,M:N tag-object,Collaboration,"tag_id,object_id",created_by,"Tag, core.object",Unique active pair,Audit yes; no lock,Internal; ≤50m
Tombstone очищенного объекта,ObjectTombstone,Сохранение идентичности и версии после purge/redaction,Governance,"organization,object_id,type,last_version,purged_at,correlation_id",legal_hold_released_at,Organization,Never reused; no PII payload,Append-only,Internal metadata; high
Организация,Organization,Единый tenant и корень настроек,Система; один активный tenant,"name, status, timezone","legal_name, locale","Departments, users, every domain object",Создаётся bootstrap; не удаляется обычным API; status active/suspended,Audit yes; lock yes,Internal; 1
Outbox message,OutboxMessage,Надёжная публикация post-commit,Governance,"event_id,payload,status,available_at","attempts,error",Workers,Inserted in business transaction; SKIP LOCKED claim,Worker state,Internal; high volume
Разрешение,Permission,Атомарное действие,Authorization catalog,"code,resource,action",description,"Roles, project roles",Stable immutable code,Seed audit only; no lock,Public metadata; ≤300
Проект,Project,Корень проектного агрегата,Project owner/manager,"name,status,owner_id,manager_id","description,start_date,target_end_date","Members,tasks,files,contacts",Owner active; status transition controlled; unique name among active configurable,History yes; lock yes,Internal; ≤50k
Участник проекта,ProjectMember,ReBAC-отношение пользователя и проекта,Project aggregate,"project_id,user_id,project_role_id","joined_at,permission overrides","Project, User",Unique active member; owner cannot be removed before transfer,Audit/history yes; lock yes,Authorization data; ≤1m
Проектная роль,ProjectRole,Права внутри проекта,Authorization,"code,name",description,"ProjectMember, permissions",Fixed seed roles owner/manager/editor/executor/observer,Seed audit; lock yes,Internal; ≤20
Исключение повторения,RecurrenceException,Изменение/пропуск одного occurrence,Recurrence module,"series_id,occurrence_key,type",patch_json,Series,Unique occurrence; patch whitelist,History yes; lock yes,Internal; ≤5m
Экземпляр повторения,RecurrenceOccurrence,Материализованный occurrence key,Recurrence module,"series_id,occurrence_key,scheduled_local,scheduled_at,status","task_id,skip_reason","Series, Task","Unique(series,occurrence_key); exactly-once insert",Audit yes; lock no,Internal; ≤20m
Серия повторений,RecurrenceSeries,Правило генерации задач,Task module,"rrule/rule fields,timezone,status,template","until,count,generation_cursor","Occurrences, exceptions, tasks",Timezone required; exactly one termination mode; deterministic occurrence key,History yes; lock yes,Internal; ≤500k
Шаблон повторяющейся задачи,RecurrenceTaskTemplate,Полный воспроизводимый шаблон generated Task,Work Management,"series_id,title,author,priority,template_version","project,description,requester,counterparty,duration,deadline_offset","RecurrenceSeries,assignees,watchers,checklists,reminder rules",Required one-to-one with series; copied atomically into occurrence task,Series history; If-Match series,Internal; ≤series count
Refresh token,RefreshToken,Ротация долгой сессии,Identity,"session_id,token_hash,expires_at","replaced_by,revoked_at",Session,One-time rotation; reuse revokes token family,Security audit; no optimistic lock,Secret hash; ≤100k/year
Напоминание,Reminder,Правило времени уведомления,Owner object,"target_object,recipient,trigger_type","offset,absolute_at,snooze policy","Task/Event, occurrences",Exactly one trigger mode; only authorized recipient,History yes; lock yes,Internal; ≤5m
Срабатывание напоминания,ReminderOccurrence,Идемпотентный запуск,Notification worker,"reminder_id,due_at,dedupe_key,status","attempts,last_error",Notification,Unique dedupe key; terminal delivered/cancelled/expired,Audit yes; worker locking,Internal; ≤50m
Роль,Role,Набор разрешений в scope,Authorization,"code,name,scope_type,is_system",description,"Permissions, user_roles",System roles immutable except display name; unique code/org,Audit yes; lock yes,Internal; ≤100
Поисковый документ,SearchDocument,Авторизационно-фильтруемая поисковая проекция,Search,"object_id,type,title,search_vector","body,tags,scope keys",core.objects,No secret fields; updated transaction/outbox; tombstone on delete,Derived; no optimistic lock,Derived sensitive; ≤20m
Сессия,Session,Серверное состояние входа,Identity,"user_id,device_id,status,expires_at","last_seen_at,ip_hash",RefreshToken,Only active session accepts access token; revocation immediate,Audit login; lock no,Highly sensitive; ≤20k/year
Элемент sync snapshot,SnapshotItem,Стабильная страница авторизованного bootstrap dataset,Sync,"session,dataset,ordinal,object_id,type,version,payload",—,SnapshotSession,Unique dataset ordinal and object; immutable until session expiry,No history; session-owned,Sensitive authorized payload; high but short-lived
Сессия sync snapshot,SnapshotSession,Фиксированный snapshot cut и стабильное paging-состояние bootstrap,Sync,"organization,user,device,cut_sequence,scope_version,status,expires_at","manifest,ready_at,completed_at","SnapshotItems,ClientSyncState",Immutable cut/scope; expires; catch-up starts strictly after cut,Technical audit; lease/status CAS,Sensitive projection metadata; bounded
Тег,Tag,Организационный справочник,Collaboration,"name,normalized_name","color,description",ObjectTags,Unique normalized name among active,History yes; lock yes,Internal; ≤100k
Задача/подзадача,Task,Исполнимая единица работы,Project or creator; server authoritative,"title,status,priority,author,creator","description,project,parent,date/start/due/duration,contact","Assignees,watchers,checklists,reminders,files,comments",Depth ≤1; terminal status has completed/cancelled timestamp; overdue derived,History yes; lock yes,Internal; ≤2m active/history
Исполнитель задачи,TaskAssignee,M:N assignment,Task aggregate,"task_id,user_id,assignment_role",assigned_by,"Task, User",Unique active pair; at least one primary optionally,Audit/history yes; lock via Task,Internal; ≤5m
Зависимость задач,TaskDependency,Finish/start dependency,Task aggregate,"predecessor_id,successor_id,type",lag_minutes,Tasks,No self-edge or cycle; same organization,History yes; lock yes,Internal; ≤5m
Наблюдатель,TaskWatcher,Получатель visibility/notifications,Task aggregate,"task_id,user_id",notification override,"Task, User",Unique active pair; no edit permission by itself,Audit yes; lock via Task,Internal; ≤5m
Корзина,TrashEntry,Retention и восстановление soft-deleted объекта,Governance,"object_id,deleted_by,deleted_at,purge_after","reason,legal_hold",core.objects,One active entry/object; restore validates parent/uniqueness,Audit yes; lock yes,Internal; ≤5m
Учётная запись,UserAccount,Аутентификация и состояние доступа,Identity module,"login, password_hash, status, employee_profile_id","last_login_at, lock_until","EmployeeProfile, sessions, roles",login unique среди не удалённых; blocked disables sessions,Audit yes; lock yes,Highly sensitive; ≤500
Членство роли,UserRole,Назначение роли пользователю,Authorization,"user_id,role_id,scope",expires_at,"UserAccount, Department/Organization",Unique active assignment; expiry checked on every decision,Audit yes; no lock,Sensitive authorization; ≤10k
