AC ID,Related FR,Unified integration scenario,Same behavior / parameterization,Primary owner,Explicit rationale,Result,Evidence
AC-041,FR-057;FR-058,PASS,PASS,BR-041,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-041.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-042,FR-057;FR-252,PASS,PASS,BR-042,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-042.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-044,FR-063;FR-067,PASS,PASS,BR-044,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-044.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-045,FR-070;FR-253,PASS,PASS,BR-045,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-045.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-046,FR-063;FR-068;FR-070,PASS,PASS,BR-046,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-046.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-047,FR-071;FR-082,PASS,PASS,BR-047,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-047.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-050,FR-071;FR-073;FR-076,PASS,PASS,BR-050,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-050.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-051,FR-084;FR-095,PASS,PASS,BR-051,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-051.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-052,FR-087;FR-088;FR-096,PASS,PASS,BR-052,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-052.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-054,FR-093;FR-228,PASS,PASS,BR-054,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-054.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-055,FR-097;FR-098;FR-100;FR-101;FR-103;FR-104;FR-105;FR-106;FR-108;FR-112,PASS,PASS,BR-055,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-055.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-056,FR-103;FR-108;FR-112;FR-256;FR-257,PASS,PASS,BR-056,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-056.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-058,FR-099;FR-102;FR-109;FR-110;FR-169;FR-263,PASS,PASS,BR-058,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-058.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-059,FR-103;FR-104;FR-105;FR-106;FR-108;FR-112;FR-256,PASS,PASS,BR-059,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-059.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-060,FR-119;FR-123;FR-124,PASS,PASS,BR-060,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-060.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-061,FR-115;FR-118;FR-121;FR-122;FR-125;FR-129;FR-133;FR-134,PASS,PASS,BR-061,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-061.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-062,FR-130;FR-131;FR-132;FR-258,PASS,PASS,BR-062,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-062.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-063,FR-136;FR-141,PASS,PASS,BR-063,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-063.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-064,FR-135;FR-139,PASS,PASS,BR-064,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-064.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-065,FR-143;FR-146,PASS,PASS,BR-065,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-065.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-066,FR-149;FR-150;FR-151;FR-259,PASS,PASS,BR-066,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-066.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-067,FR-159;FR-275;FR-277,PASS,PASS,BR-067,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-067.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-068,FR-159;FR-278,PASS,PASS,BR-068,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-068.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-069,FR-159;FR-278,PASS,PASS,BR-069,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-069.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-070,FR-159;FR-275;FR-277,PASS,PASS,BR-070,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (preserved_normative_relation; confidence=High; verification AC=AC-070;AC-1805.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-071,FR-161;FR-162;FR-163;FR-164;FR-165,PASS,PASS,BR-071,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-071.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-074,FR-163;FR-164,PASS,PASS,BR-074,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-074.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-075,FR-166;FR-167;FR-262,PASS,PASS,BR-075,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-075.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-076,FR-166;FR-167;FR-262,PASS,PASS,BR-076,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-076.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-078,FR-168;FR-169;FR-170,PASS,PASS,BR-078,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-078.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-081,FR-168;FR-169;FR-227,PASS,PASS,BR-081,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-081.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-082,FR-171;FR-172;FR-173;FR-174;FR-175;FR-176,PASS,PASS,BR-082,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-082.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-083,FR-172;FR-174;FR-176,PASS,PASS,BR-083,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-083.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-085,FR-228;FR-265,PASS,PASS,BR-085,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-085.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-086,FR-210;FR-213;FR-214;FR-215;FR-216;FR-217;FR-218;FR-219,PASS,PASS,BR-086,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-086.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-087,FR-178;FR-179;FR-180,PASS,PASS,BR-087,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-087.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-088,FR-179;FR-181;FR-184;FR-186;FR-187;FR-212;FR-219;FR-220;FR-226;FR-227,PASS,PASS,BR-088,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-088.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-089,FR-231;FR-232;FR-233;FR-234;FR-267,PASS,PASS,BR-089,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-089.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-092,FR-231;FR-232;FR-233;FR-234,PASS,PASS,BR-092,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-092.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-093,FR-266;FR-267,PASS,PASS,BR-093,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-093.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-095,FR-237;FR-238;FR-239;FR-240;FR-241,PASS,PASS,BR-095,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-095.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-096,FR-235;FR-236;FR-269,PASS,PASS,BR-096,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-096.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1447,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.title → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1449,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.status → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1456,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.itemType → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1459,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.content → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1460,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.rawPath → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1461,FR-019;FR-023;FR-024;FR-025,PASS,PASS,DATA-004,PASS,PASS,Primary DATA-004; InboxItemCreate.rawUrl → POST_api_v1_inbox_items → FR trace relation. Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1467,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1468,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1469,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1470,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1471,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1472,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1473,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1474,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1475,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1476,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1477,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1478,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1479,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1480,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1481,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1482,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1483,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1484,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1485,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1486,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-1487,FR-026;FR-027;FR-028,PASS,PASS,DATA-005,PASS,PASS,Primary DATA-005; . → primary module FR text/contract relation (no unique direct operation schema reference). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
