Original AC,Owner,Atomic,Testable,Mapping complete,Coverage preserved,Valid references,Result,Evidence
AC-1825,DATA-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1897,AUDIT-007,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1898,AUDIT-008,PASS,PASS,PASS,PASS,PASS,PASS,10 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1899,AUDIT-009,PASS,PASS,PASS,PASS,PASS,PASS,13 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1900,AUDIT-010,PASS,PASS,PASS,PASS,PASS,PASS,15 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1901,AUDIT-011,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1902,AUDIT-012,PASS,PASS,PASS,PASS,PASS,PASS,23 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1903,AUDIT-013,PASS,PASS,PASS,PASS,PASS,PASS,25 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1904,AUDIT-014,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1905,AUDIT-015,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1906,AUDIT-016,PASS,PASS,PASS,PASS,PASS,PASS,3 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1907,AUDIT-017,PASS,PASS,PASS,PASS,PASS,PASS,4 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1908,AUDIT-018,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1909,AUDIT-019,PASS,PASS,PASS,PASS,PASS,PASS,55 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1910,AUDIT-020,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1911,AUDIT-021,PASS,PASS,PASS,PASS,PASS,PASS,8 mapped AC; retained=True; owner/reference/GWT recalculated
