schema,field_path,type,format,required,nullable,enum,default,minimum,maximum,min_length,max_length,min_items,max_items,unique_items,read_only,write_only,referenced_schema,date_time_semantics,patch_semantics,version_semantics,lifecycle_semantics,capability_semantics,partial_access,redaction,description,validation_rules
BackgroundJobRun,finishedAt,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackgroundJobRun,errorCode,string|null,,False,True,,,,,,100,,,,False,False,,,,,,,False,,,maxLength=100
BackgroundJobRunPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
BackgroundJobRunPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
BackgroundJobRunPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackupRequest,backupType,string,,True,False,"[""base"", ""incremental"", ""config""]",,,,,,,,,False,False,,,,,,,False,,,
BackupRun,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
BackupRun,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
BackupRun,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
BackupRun,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackupRun,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackupRun,backupType,string,,True,False,"[""base"", ""incremental"", ""wal_archive"", ""config"", ""restore_test""]",,,,,,,,,False,False,,,,,,,False,,,
BackupRun,status,string,,True,False,"[""running"", ""succeeded"", ""failed"", ""cancelled""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
BackupRun,startedAt,string,date-time,True,False,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackupRun,finishedAt,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackupRun,encrypted,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BackupRun,sizeBytes,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackupRun,checksum,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
BackupRunPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
BackupRunPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
BackupRunPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackupVerifyRequest,backupRunId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BackupVerifyRequest,deepVerify,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BlockUserRequest,reason,string,,True,False,,,,,1,2000,,,,False,False,,,,,,,False,,,minLength=1; maxLength=2000
BlockUserRequest,expectedVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
BulkOperationItemResult,itemId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BulkOperationItemResult,status,string,,True,False,"[""succeeded"", ""failed"", ""skipped""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
BulkOperationItemResult,code,string|null,,False,True,,,,,,100,,,,False,False,,,,,,,False,,,maxLength=100
BulkOperationItemResult,version,integer|null,int64,False,True,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
BulkOperationResult,items,array,,True,False,,,,,,,1,500,,False,False,,,,,,,False,,,minItems=1; maxItems=500
BulkTaskTransition,items,array,,True,False,,,,,,,1,500,,False,False,,,,,,,False,,,minItems=1; maxItems=500
BulkTaskTransition,items[].taskId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BulkTaskTransition,items[].expectedVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
BulkTaskTransition,items[].targetStatus,string,,True,False,"[""new"", ""in_progress"", ""review"", ""completed"", ""cancelled""]",,,,,,,,,False,False,,,,,,,False,,,
CalendarEvent,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
CalendarEvent,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
CalendarEvent,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
CalendarEvent,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEvent,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEvent,projectId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
CalendarEvent,title,string,,True,False,,,,,1,500,,,,False,False,,,,,,,False,,,minLength=1; maxLength=500
CalendarEvent,description,string|null,,False,True,,,,,,20000,,,,False,False,,,,,,,False,,,maxLength=20000
CalendarEvent,eventDate,string,date,True,False,,,,,,,,,,False,False,,Calendar date without a time zone,,,,,False,,Calendar date without a time zone.,
CalendarEvent,isAllDay,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
CalendarEvent,startAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEvent,endAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEvent,timeZone,string,,True,False,,,,,,64,,,,False,False,,,,,,,False,,,maxLength=64
CalendarEvent,status,string,,True,False,"[""scheduled"", ""cancelled""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
CalendarEvent,userAttendees,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CalendarEvent,contactAttendees,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CalendarEventCreate,projectId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
CalendarEventCreate,title,string,,True,False,,,,,1,500,,,,False,False,,,,,,,False,,,minLength=1; maxLength=500
CalendarEventCreate,description,string|null,,False,True,,,,,,20000,,,,False,False,,,,,,,False,,,maxLength=20000
CalendarEventCreate,eventDate,string,date,True,False,,,,,,,,,,False,False,,Calendar date without a time zone,,,,,False,,Calendar date without a time zone.,
CalendarEventCreate,isAllDay,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
CalendarEventCreate,startAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEventCreate,endAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEventCreate,timeZone,string,,True,False,,,,,,64,,,,False,False,,,,,,,False,,,maxLength=64
CalendarEventCreate,status,string,,False,False,"[""scheduled"", ""cancelled""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
CalendarEventCreate,userAttendees,array,,False,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CalendarEventCreate,contactAttendees,array,,False,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CalendarEventPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CalendarEventPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
CalendarEventPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
CalendarEventPatch,projectId,string|null,uuid,False,True,,,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,
CalendarEventPatch,title,string,,False,False,,,,,1,500,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,minLength=1; maxLength=500
CalendarEventPatch,description,string|null,,False,True,,,,,,20000,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=20000
CalendarEventPatch,eventDate,string,date,False,False,,,,,,,,,,False,False,,Calendar date without a time zone,omitted=unchanged; explicit null=clear when nullable,,,,False,,Calendar date without a time zone.,
CalendarEventPatch,isAllDay,boolean,,False,False,,,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,
CalendarEventPatch,startAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,omitted=unchanged; explicit null=clear when nullable,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEventPatch,endAtUtc,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,omitted=unchanged; explicit null=clear when nullable,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CalendarEventPatch,timeZone,string,,False,False,,,,,,64,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=64
CalendarEventPatch,status,string,,False,False,"[""scheduled"", ""cancelled""]",,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,canonical lifecycle/status literal,,False,,,
CalendarEventPatch,userAttendees,array,,False,False,,,,,,,,500,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxItems=500
CalendarEventPatch,contactAttendees,array,,False,False,,,,,,,,500,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxItems=500
CatalogItem,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
CatalogItem,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
CatalogItem,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
CatalogItem,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CatalogItem,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
CatalogItem,parentId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
CatalogItem,itemType,string,,True,False,"[""virtual_folder"", ""file_reference"", ""folder_reference"", ""web_link"", ""text_note""]",,,,,,,,,False,False,,,,,,,False,,,
CatalogItem,name,string,,True,False,,,,,1,500,,,,False,False,,,,,,,False,,,minLength=1; maxLength=500
CatalogItem,description,string|null,,False,True,,,,,,20000,,,,False,False,,,,,,,False,,,maxLength=20000
CatalogItem,noteContent,string|null,,False,True,,,,,,100000,,,,False,False,,,,,,,False,,,maxLength=100000
CatalogItem,webUrl,string|null,uri,False,True,,,,,,2048,,,,False,False,,,,,,,False,,,maxLength=2048
CatalogItem,mimeType,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
CatalogItem,fileExtension,string|null,,False,True,,,,,,32,,,,False,False,,,,,,,False,,,maxLength=32
CatalogItem,sortOrder,integer,int32,True,False,,,,,,,,,,False,False,,,,,,,False,,,
CatalogItemCreate,parentId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
CatalogItemCreate,itemType,string,,True,False,"[""virtual_folder"", ""file_reference"", ""folder_reference"", ""web_link"", ""text_note""]",,,,,,,,,False,False,,,,,,,False,,,
CatalogItemCreate,name,string,,True,False,,,,,1,500,,,,False,False,,,,,,,False,,,minLength=1; maxLength=500
CatalogItemCreate,description,string|null,,False,True,,,,,,20000,,,,False,False,,,,,,,False,,,maxLength=20000
CatalogItemCreate,noteContent,string|null,,False,True,,,,,,100000,,,,False,False,,,,,,,False,,,maxLength=100000
CatalogItemCreate,webUrl,string|null,uri,False,True,,,,,,2048,,,,False,False,,,,,,,False,,,maxLength=2048
CatalogItemCreate,mimeType,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
CatalogItemCreate,fileExtension,string|null,,False,True,,,,,,32,,,,False,False,,,,,,,False,,,maxLength=32
CatalogItemCreate,sortOrder,integer,int32,False,False,,,,,,,,,,False,False,,,,,,,False,,,
CatalogItemPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CatalogItemPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
CatalogItemPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
CatalogItemPatch,parentId,string|null,uuid,False,True,,,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,
CatalogItemPatch,itemType,string,,False,False,"[""virtual_folder"", ""file_reference"", ""folder_reference"", ""web_link"", ""text_note""]",,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,
CatalogItemPatch,name,string,,False,False,,,,,1,500,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,minLength=1; maxLength=500
CatalogItemPatch,description,string|null,,False,True,,,,,,20000,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=20000
CatalogItemPatch,noteContent,string|null,,False,True,,,,,,100000,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=100000
CatalogItemPatch,webUrl,string|null,uri,False,True,,,,,,2048,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=2048
CatalogItemPatch,mimeType,string|null,,False,True,,,,,,200,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=200
CatalogItemPatch,fileExtension,string|null,,False,True,,,,,,32,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,maxLength=32
CatalogItemPatch,sortOrder,integer,int32,False,False,,,,,,,,,,False,False,,,omitted=unchanged; explicit null=clear when nullable,,,,False,,,
CatalogMoveRequest,parentCatalogItemId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
CatalogMoveRequest,sortOrder,integer,int32,True,False,,,,,,,,,,False,False,,,,,,,False,,,
CatalogMoveRequest,expectedParentVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
CatalogTree,rootItems,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
CatalogTree,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
CatalogTreeNode,item,ref,,True,False,,,,,,,,,,False,False,CatalogItem,,,,,,False,,,
CatalogTreeNode,childIds,array,,True,False,,,,,,,,1000,,False,False,,,,,,,False,,,maxItems=1000
ChangePasswordRequest,currentPassword,string,,True,False,,,,,1,1024,,,,False,True,,,,,,,False,,,minLength=1; maxLength=1024
ChangePasswordRequest,newPassword,string,,True,False,,,,,12,1024,,,,False,True,,,,,,,False,,,minLength=12; maxLength=1024
ChangeRecord,sequence,integer,int64,True,False,,,1,,,,,,,False,False,,,,,,,False,,,minimum=1
ChangeRecord,sourceEventId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
ChangeRecord,objectType,string,,True,False,,,,,1,40,,,,False,False,,,,,,,False,,,minLength=1; maxLength=40
ChangeRecord,objectId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
ChangeRecord,operation,string,,True,False,"[""upsert"", ""tombstone"", ""scope_revoke""]",,,,,,,,,False,False,,,,,,,False,,,
ChangeRecord,version,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
ChangeRecord,changedFields,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
Checklist,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
Checklist,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
Checklist,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
Checklist,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
Checklist,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
Checklist,taskId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
Checklist,title,string,,True,False,,,,,1,300,,,,False,False,,,,,,,False,,,minLength=1; maxLength=300
Checklist,sortOrder,integer,int32,True,False,,,,,,,,,,False,False,,,,,,,False,,,
Checklist,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
